rnai,d1,d2,d3,date_screened
01c3,151,138,1,2016-05-15
01c3,228,111,0,2016-05-15
01c3,106,180,1,2016-05-15
01c1,256,150,,2016-05-15
01c1,201,150,0,2016-05-15
01c1,271,70,26,2016-05-15
01c4,159,157,0,2016-05-15
01c4,192,114,0,2016-05-15
01c4,208,78,0,2016-05-15
01b4,154,182,1,2016-05-15
01b4,165,118,16,2016-05-15
01b4,213,171,1,2016-05-15
gfp,159,177,10,2016-05-15
gfp,155,202,0,2016-05-15
gfp,188,153,2,2016-05-15
gfp,273,77,0,2016-05-15
gfp,200,119,0,2016-05-15
gfp,286,42,0,2016-05-15
