gene,mean_survival,sem,sigma,raw_means,delta,outliers
B0432.13,-1.0807031953828048,0.8610262524293942,0.10190039998913561,-0.6584435233270274,0.4222596720557774,True
C14C10.2,-0.134489328071246,0.7947545455414639,0.10686048909202707,-0.04232081026479676,0.09216851780644925,False
F11C1.5,0.319106873601115,0.7262716649615607,0.10215403466463813,0.31708139203301133,-0.002025481568103671,False
F21H7.2,-0.36054396734233835,0.7588873493303759,0.10248358549302139,-0.3739097712657186,-0.01336580392338027,False
F54E12.2,0.23438174034441536,0.42220652898464367,0.10276317065813798,0.2343974148263296,1.5674481914224048e-05,False
K07E3.4,-0.4121853857476616,0.8130200982071228,0.10160062260988822,-0.4038164036857376,0.00836898206192399,False
R08D7.4,-1.156444270989158,0.8115264285845658,0.10082050782603619,-1.396530753418432,-0.24008648242927388,True
T05E12.6,0.5246669178626409,1.3735886288984156,0.10655681533696469,-0.05186079760067238,-0.5765277154633133,False
T05E7.1,0.05870644160830729,0.5326318174688368,0.10481242719546818,0.06534331382914159,0.006636872220834297,False
T12G3.2,0.8243784409672479,0.30734800987746574,0.12405912252697332,0.8438990604181397,0.019520619450891785,True
Y105C5A.13,0.11045367188303354,0.7396371652991606,0.10138339030025131,0.077751089265261,-0.032702582617772535,False
Y39B6A.21,-0.9282885243621882,0.9715049358616946,0.1007154127752309,-1.2192184135349022,-0.290929889172714,True
acr-17,0.07207447276075046,1.175287195778117,0.10216864827576466,0.7271580439233154,0.6550835711625649,False
cnt-2,1.1288218702165367,0.7086883291813825,0.10050357077115196,1.3864457101629144,0.2576238399463777,True
egl-15,-1.0404937473271458,0.40420179543180595,0.10611137112550588,-1.0658215981867598,-0.025327850859613976,True
gei-4,1.1310372071491859,1.1868427820652339,0.10694757241832362,1.187226222459893,0.05618901531070719,True
gfp,-0.3683532264289431,0.14526612895004898,0.23178480987787098,-0.44504875556131995,-0.07669552913237687,False
haf-9,0.4598135180923963,0.7826437938747834,0.10091881067999212,0.17771231714866,-0.28210120094373625,False
ifb-1,0.472525681486373,1.1379658583959456,0.10544058849719315,0.626553830413199,0.15402814892682604,False
tsp-10,0.5453849726014616,4.425769269391672,0.10248569130267948,0.533364043981656,-0.012020928619805527,False
twk-1,0.4065326235237759,4.788099481454808,0.11246230179432792,0.33565748378880855,-0.07087513973496734,False
twk-8,2.0275207238679074,0.2214152319243711,0.1012657314785439,2.0068374642868396,-0.02068325958106776,True
unc-43,-0.5562932618374026,0.5933585301903239,0.11387326440356038,-0.5299898328268507,0.026303429010551826,False
unc-73,0.8704405755455741,1.3500953390173318,0.10088988592815296,0.19683495537634185,-0.6736056201692322,True
