#Age Beta< 0
Tissue,Expected,Observed,Fold Change,Q value
digestive tract(WBbt:0005743),602.8224076281288,671.0,1.1130973094383194,9.076116489072317e-06
intestine(WBbt:0005772),470.2646007151371,540.0,1.1482897057928994,9.228237438077318e-06
head muscle(WBbt:0006761),34.32300357568534,50.0,1.456748966906275,0.011994313083269518
non-striated muscle(WBbt:0005780),245.19249106078664,282.0,1.150116786937363,0.011738217058231075
body wall musculature(WBbt:0005813),244.40345649582838,315.0,1.2888524758052127,7.409686431498828e-07
alimentary system(WBbt:0005748),617.2222884386174,686.0,1.1114310238785594,7.684151832135006e-06
anal depressor muscle(WBbt:0004292),84.82121573301549,115.0,1.355792875711375,0.0011425050534453417
epithelial system(WBbt:0005730),325.67401668653156,373.0,1.1453170375548283,0.0020755522197683594
pharynx(WBbt:0003681),357.2353992848629,405.0,1.1337062363101624,0.0022281104616498305
mu_int_L(WBbt:0003833),23.27651966626937,42.0,1.8043934661272978,0.00033755475567131036
muscular system(WBbt:0005737),362.5613825983313,434.0,1.1970386831870976,5.589617031475011e-06
muscle cell(WBbt:0003675),270.44159713945174,319.0,1.1795522707089672,0.0010416637517391173
nerve ring(WBbt:0006749),124.2729439809297,160.0,1.2874886107514505,0.0011425050534453417
body muscle cell(WBbt:0007810),186.4094159713945,225.0,1.207020572579485,0.002536403888025921
vulval muscle(WBbt:0005821),128.41537544696067,156.0,1.2148078020799977,0.015452740405900039
hypodermis(WBbt:0005733),293.7181168057211,343.0,1.1677863242834159,0.0010596648245664833
mu_int_R(WBbt:0003822),23.27651966626937,42.0,1.8043934661272978,0.00033755475567131036
