#Age Beta> 2
Tissue,Expected,Observed,Fold Change,Q value
amphid neuron(WBbt:0005394),26.399284862932063,44.0,1.6667118154318479,0.0027013410345298754
nerve ring neuron(WBbt:0006974),17.72705601907032,32.0,1.8051502723055202,0.0036006707136585947
ASKR(WBbt:0003883),4.378625347636074,10.0,2.2838217947554673,0.022223895997937792
mechanosensory neuron(WBbt:0008431),14.156138259833135,28.0,1.9779405573798097,0.0025599620353621956
sensillum(WBbt:0006929),35.836710369487484,55.0,1.5347390827152694,0.003190990088431388
ASER(WBbt:0003903),5.526420341676599,17.0,3.0761322789360173,0.0009180553799299299
serotonergic neuron(WBbt:0006837),9.77751291219706,17.0,1.738683462007314,0.038299141574086294
inner labial neuron(WBbt:0005117),5.186332936034963,14.0,2.699402481997855,0.0027013410345298754
inner labial sensillum(WBbt:0005116),5.781485895907827,16.0,2.7674546454095657,0.001088423962604199
chemosensory neuron(WBbt:0005837),16.281684545093366,29.0,1.78114248066177,0.0070983673064910855
lumbar left ganglion neuron(WBbt:0005097),12.328168454509337,22.0,1.784531098936513,0.017130564537601204
ASIR(WBbt:0003887),5.866507747318236,13.0,2.215969118244616,0.017130564537601204
outer labial sensillum(WBbt:0005501),4.293603496225666,14.0,3.2606643841954286,0.0009180553799299299
ASEL(WBbt:0003904),5.526420341676599,16.0,2.8951833213515457,0.0009180553799299299
dopaminergic neuron(WBbt:0006746),4.378625347636074,10.0,2.2838217947554673,0.022223895997937792
carbon dioxide sensory neuron(WBbt:0008430),8.03456495828367,18.0,2.2403204272363153,0.004097097435573202
AWCL(WBbt:0003827),4.463647199046484,10.0,2.240320427236315,0.023414506023491374
oxygene sensory neuron(WBbt:0008432),4.378625347636074,11.0,2.512203974231014,0.012354077519178391
amphid right sensillum(WBbt:0005392),18.322208978943188,30.0,1.6373571567968428,0.017130564537601204
ASKL(WBbt:0003884),4.463647199046484,11.0,2.4643524699599464,0.013715888923453712
amphid left sensillum(WBbt:0005395),18.364719904648393,30.0,1.6335669781931463,0.017130564537601204
sensory neuron(WBbt:0005759),33.83869686134287,57.0,1.6844620297750434,0.0009180553799299299
blast cell(WBbt:0006783),9.69249106078665,24.0,2.4761436301032957,0.0009180553799299299
AWCR(WBbt:0003826),4.463647199046484,10.0,2.240320427236315,0.023414506023491374
AWC(WBbt:0005672),4.676201827572506,10.0,2.1384876805437556,0.031137830753225713
lumbar ganglion right(WBbt:0005601),13.305919745729042,23.0,1.7285539398644412,0.019374315415583054
male-specific(WBbt:0005757),8.162097735399284,16.0,1.960280373831776,0.019084424320782806
ciliated neuron(WBbt:0006816),34.00874056416369,58.0,1.7054439252336449,0.0009180553799299299
ASIL(WBbt:0003888),5.866507747318236,13.0,2.215969118244616,0.017130564537601204
interneuron(WBbt:0005113),22.190703218116806,34.0,1.5321731657535718,0.022223895997937792
lumbar right ganglion neuron(WBbt:0005600),12.753277711561383,22.0,1.7250467289719627,0.022223895997937792
lumbar ganglion left(WBbt:0005098),12.923321414382201,23.0,1.7797282341367437,0.017130564537601204
extracellular component(WBbt:0005732),6.3766388557806915,12.0,1.8818691588785046,0.04768948192080319
