#Genotype Beta> 0
Tissue,Expected,Observed,Fold Change,Q value
anterior ganglion (post)(WBbt:0005371),39.609654350417166,58.0,1.4642894756638831,0.00221688692315508
posterior lateral right ganglion(WBbt:0005463),19.710965435041718,35.0,1.7756613756613755,0.0006686043327381754
corpus(WBbt:0003733),32.66388557806913,43.0,1.3164386060937787,0.039757296382284285
GABAergic neuron(WBbt:0005190),29.28486293206198,44.0,1.5024827024827023,0.004134854321577693
neuron(WBbt:0003679),525.0625744934446,554.0,1.0551123369142676,0.03706925362218041
nerve ring neuron(WBbt:0006974),78.28069129916568,118.0,1.5073959879715273,9.242535961659789e-06
amphid left sensillum(WBbt:0005395),81.09654350417163,97.0,1.1961052322163432,0.039757296382284285
HSNR(WBbt:0004757),20.08641239570918,29.0,1.4437620531078474,0.02848025349790667
ASKR(WBbt:0003883),19.335518474374254,33.0,1.7067036523347203,0.0015904155138429666
mechanosensory neuron(WBbt:0008431),62.5119189511323,93.0,1.4877162877162877,0.00014012238488366645
pharyngeal segment(WBbt:0005789),51.43623361144219,68.0,1.3220252577916811,0.012229974632106391
phasmid left sensillum(WBbt:0005431),22.339094159713948,37.0,1.6562891823396022,0.0015904155138429666
phasmid neuron(WBbt:0006753),45.05363528009535,62.0,1.376137566137566,0.006709252141916254
preanal ganglion neuron(WBbt:0005447),27.595351609058405,37.0,1.3408055285606306,0.04011106124009084
head motor neuron(WBbt:0008610),25.342669845053635,38.0,1.4994473838918283,0.0075883073613858265
ventral nerve cord(WBbt:0005829),85.60190703218117,117.0,1.3667919799498747,0.00045575975133529365
anterior ganglion(WBbt:0005375),48.9958283671037,71.0,1.4491029617466398,0.0011647147110461524
sensillum(WBbt:0006929),158.25089392133492,190.0,1.2006251294507522,0.0038528830340067185
ASER(WBbt:0003903),24.40405244338498,43.0,1.762002442002442,0.00031121026516511276
dorsal nerve cord(WBbt:0006750),49.18355184743742,69.0,1.4029080334423847,0.002757076990586353
cholinergic neuron(WBbt:0006840),63.63825983313469,92.0,1.4456712085030667,0.00035193328038593405
Cell(WBbt:0004017),801.391537544696,827.0,1.0319549948502866,0.01113843952713161
serotonergic neuron(WBbt:0006837),43.17640047675805,64.0,1.4822912353347135,0.0011607442310608822
motor neuron(WBbt:0005409),81.84743742550656,118.0,1.4417067132663464,7.773452218281402e-05
inner labial sensillum(WBbt:0005116),25.530393325387365,46.0,1.8017740429505136,0.00012958824900777453
ventral ganglion (ant)(WBbt:0005266),19.523241954707984,31.0,1.587851037851038,0.00629939763121032
nerve ring(WBbt:0006749),118.26579261025032,137.0,1.15840765936004,0.039757296382284285
ganglion(WBbt:0005189),332.64600715137067,363.0,1.0912501343652585,0.025275936228916038
lateral ganglion left neuron(WBbt:0005102),89.73182359952324,109.0,1.2147306900444976,0.02154590128264314
accessory cell(WBbt:0005762),28.346245530393325,45.0,1.587511825922422,0.001390000373455819
lumbar left ganglion neuron(WBbt:0005097),54.43980929678188,78.0,1.4327750410509033,0.0010559725907180182
dorsal ganglion(WBbt:0005214),23.089988081048865,34.0,1.4724996773777264,0.015149069919138107
chemosensory neuron(WBbt:0005837),71.89809296781884,88.0,1.2239545774793814,0.03120735280520865
lateral ganglion right(WBbt:0005101),89.91954707985698,110.0,1.2233157702886304,0.01790297678669237
pharyngeal neuron(WBbt:0005439),48.80810488676996,72.0,1.4751648351648352,0.0007018530777422385
interfacial epithelial cell(WBbt:0005754),59.88379022646007,84.0,1.4027168234064786,0.0011647147110461524
ASIR(WBbt:0003887),25.905840286054826,41.0,1.5826547043938348,0.00221688692315508
outer labial sensillum(WBbt:0005501),18.960071513706794,39.0,2.056954266855257,2.0158812706503277e-05
phasmid right sensillum(WBbt:0005427),22.339094159713948,37.0,1.6562891823396022,0.0015904155138429666
male-specific(WBbt:0005757),36.04290822407628,59.0,1.6369378306878308,0.00022730348795813995
dopaminergic neuron(WBbt:0006746),19.335518474374254,38.0,1.965295114809678,7.773452218281402e-05
HSNL(WBbt:0004758),20.27413587604291,30.0,1.4797178130511464,0.01943821500256143
carbon dioxide sensory neuron(WBbt:0008430),35.47973778307509,51.0,1.4374401612496852,0.005671373349564188
metacorpus(WBbt:0003711),30.78665077473182,42.0,1.3642276422764228,0.0260779426216685
oxygene sensory neuron(WBbt:0008432),19.335518474374254,36.0,1.861858529819695,0.00031121026516511276
amphid right sensillum(WBbt:0005392),80.9088200238379,97.0,1.1988804183699775,0.038660287055988875
post-embryonic cell(WBbt:0007030),39.609654350417166,63.0,1.5905213270142178,0.00031121026516511276
ASKL(WBbt:0003884),19.710965435041718,34.0,1.724928193499622,0.0011647147110461524
blast cell(WBbt:0006783),42.80095351609059,75.0,1.752297410192147,2.8302222678761684e-06
tail ganglion(WBbt:0006977),251.1740166865316,277.0,1.102821078605832,0.03706925362218041
sensory neuron(WBbt:0005759),149.4278903456496,190.0,1.2715163117173167,0.00035193328038593405
inner labial neuron(WBbt:0005117),22.90226460071514,40.0,1.7465521727816808,0.0004634652629377713
lateral ganglion right neuron(WBbt:0005100),89.54410011918951,109.0,1.2172772952647166,0.020525549083399937
lumbar ganglion right(WBbt:0005601),58.75744934445768,85.0,1.4466250824078302,0.00046492454569779524
ASEL(WBbt:0003904),24.40405244338498,42.0,1.721025641025641,0.0004634652629377713
ciliated neuron(WBbt:0006816),150.1787842669845,181.0,1.2052301587301588,0.004099268120859565
pharyngeal nervous system(WBbt:0005440),48.9958283671037,73.0,1.4899227634859817,0.00048703534194325217
lateral ganglion left(WBbt:0005103),90.1072705601907,110.0,1.2207671957671957,0.018802049055917595
ASIL(WBbt:0003888),25.905840286054826,41.0,1.5826547043938348,0.00221688692315508
interneuron(WBbt:0005113),97.9916567342074,146.0,1.4899227634859817,1.852747799256496e-06
retrovesicular ganglion(WBbt:0005656),22.339094159713948,36.0,1.6115246098439373,0.002757076990586353
pharyngeal cell(WBbt:0005460),139.10309892729438,169.0,1.2149262043998887,0.004099268120859565
posterior lateral left ganglion(WBbt:0005464),30.974374255065555,49.0,1.581952861952862,0.0010987302838738847
muscle cell(WBbt:0003675),257.3688915375447,283.0,1.0995889919303485,0.038660287055988875
somatic nervous system(WBbt:0005760),262.24970202622166,304.0,1.1592005544761452,0.0015904155138429666
lumbar right ganglion neuron(WBbt:0005600),56.31704410011919,80.0,1.4205291005291005,0.0011105200880263306
lumbar ganglion left(WBbt:0005098),57.06793802145411,84.0,1.4719298245614034,0.00035193328038593405
terminal bulb(WBbt:0003732),36.981525625744936,49.0,1.3249858996051889,0.02848025349790667
extracellular component(WBbt:0005732),28.158522050059595,40.0,1.4205291005291005,0.016368229617246138
tail neuron(WBbt:0006759),246.29320619785457,272.0,1.1043747580332948,0.03706925362218041
embryonic cell(WBbt:0007028),175.70917759237187,237.0,1.3488196988196988,1.852747799256496e-06
