#genotypeXaging down (genes assoc. with a..g only)
Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
outer labial neuron WBbt:0006801,5.051383399209486,10.0,1.97965571205,0.044774009194279325,1.9796557120500782
midbody WBbt:0005740,39.96205533596838,53.0,1.32625811046,0.043640273649935946,1.326258110460516
anal depressor muscle WBbt:0004292,24.190513833992092,36.0,1.48818666057,0.026576500317415288,1.4881866605666483
interneuron WBbt:0005113,29.63478260869565,46.0,1.55223004695,0.008235698087893019,1.5522300469483568
hermaphrodite somatic gonadal cell WBbt:0007815,26.267193675889327,38.0,1.44667148188,0.032783759103994885,1.4466714818827495
neuronal sheath cell WBbt:0005811,4.321739130434783,11.0,2.54527162978,0.009224240521340741,2.545271629778672
muscle cell WBbt:0003675,77.45454545454545,104.0,1.34272300469,0.002966504537094528,1.3427230046948357
outer labial sensillum WBbt:0005501,5.724901185770752,11.0,1.92143054405,0.044774009194279325,1.921430544048605
body wall musculature WBbt:0005813,69.76521739130435,106.0,1.51938177739,4.0975348931867795e-05,1.5193817773900038
HSN WBbt:0006830,6.061660079051384,14.0,2.30959833073,0.00838722562012998,2.309598330725091
deirid neuron WBbt:0006928,3.3114624505928854,9.0,2.71783241824,0.010351468609811669,2.717832418238243
blast cell WBbt:0006783,15.60316205533597,35.0,2.24313506941,5.337161316284959e-05,2.243135069409261
pharyngeal interneuron WBbt:0003668,3.816600790513834,8.0,2.09610604805,0.048076495138588124,2.096106048053024
ALM WBbt:0005406,5.107509881422925,10.0,1.95790125368,0.046658659920116086,1.9579012536759015
muscular system WBbt:0005737,103.77786561264823,140.0,1.34903526078,7.195581653933761e-05,1.3490352607804752
deirid sensillum WBbt:0006926,3.816600790513834,11.0,2.88214581607,0.0039821866919408635,2.882145816072908
anal sphincter muscle WBbt:0005798,7.240316205533596,19.0,2.62419478109,0.0006916916081925468,2.624194781089639
smooth muscle WBbt:0005781,23.68537549407115,38.0,1.60436552967,0.009224240521340741,1.6043655296709163
mechanosensory neuron WBbt:0008431,19.195256916996048,42.0,2.18804052384,4.0975348931867795e-05,2.1880405238448235
syncytium precursor WBbt:0008073,5.444268774703557,11.0,2.0204733556,0.03392174868950827,2.0204733555975025
P11 WBbt:0004410,3.2553359683794465,8.0,2.45750364254,0.023722386293193464,2.457503642544925
PQR WBbt:0004096,3.1430830039525692,8.0,2.54527162978,0.020477622695020174,2.545271629778672
egg-laying apparatus WBbt:0008587,78.80158102766799,105.0,1.33246057542,0.0030568569442582095,1.3324605754183219
dopaminergic neuron WBbt:0006746,5.893280632411067,16.0,2.7149564051,0.0013746889102760234,2.71495640509725
dorsal nerve cord WBbt:0006750,14.705138339920948,26.0,1.76808945275,0.010351468609811669,1.7680894527470166
pharyngeal muscle cell WBbt:0005451,21.38418972332016,33.0,1.54319618498,0.021969259414199308,1.5431961849839193
reproductive system WBbt:0005747,120.8403162055336,146.0,1.2082060407,0.008235698087893019,1.2082060407031132
vulval muscle WBbt:0005821,36.650592885375495,66.0,1.8007894226,4.0975348931867795e-05,1.800789422599918
post-embryonic cell WBbt:0007030,11.730434782608695,21.0,1.79021497405,0.01862015496362251,1.7902149740548556
ventral nerve cord WBbt:0005829,25.59367588932806,43.0,1.6801025451,0.0030568569442582095,1.6801025450951323
nerve ring neuron WBbt:0006974,23.57312252964427,40.0,1.69684775319,0.0033260252455787898,1.6968477531857813
posterior lateral ganglion WBbt:0005465,9.541501976284586,21.0,2.20091135046,0.0030568569442582095,2.200911350455675
terminal bulb WBbt:0003732,11.169169960474308,20.0,1.79064335763,0.020477622695020174,1.7906433576332366
phasmid sensillum WBbt:0005425,14.592885375494072,23.0,1.57611050921,0.04306656952816252,1.5761105092091006
gonad WBbt:0005175,62.58102766798419,79.0,1.26236341818,0.03392174868950827,1.2623634181772247
serotonergic neuron WBbt:0006837,13.077470355731224,24.0,1.83521731246,0.009224240521340741,1.8352173124584419
PVQ WBbt:0006976,2.806324110671937,8.0,2.85070422535,0.010791662240875563,2.8507042253521124
CAN WBbt:0006827,4.153359683794466,11.0,2.64845831747,0.008235698087893019,2.648458317472402
sensory neuron WBbt:0005759,45.462450592885375,62.0,1.36376282386,0.01862015496362251,1.3637628238567205
vulval precursor cell WBbt:0007809,6.117786561264822,13.0,2.12495154413,0.01862015496362251,2.1249515441271485
sex organ WBbt:0008422,39.793675889328064,53.0,1.33186992193,0.04240851925244458,1.3318699219293193
ventral cord neuron WBbt:0005300,36.3699604743083,50.0,1.37476091115,0.03146326804824914,1.3747609111458876
