#aging_down (genes assoc. with aging only)
Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
muscle cell WBbt:0003675,198.27272727272725,254.0,1.28106373223,6.168425529904343e-06,1.2810637322329208
anal depressor muscle WBbt:0004292,61.92430830039525,107.0,1.72791594992,1.201746427503282e-08,1.7279159499197352
muscle of the reproductive system WBbt:0005786,33.907509881422925,52.0,1.53358356841,0.004929163432373899,1.5335835684144266
epithelial system WBbt:0005730,239.07667984189723,287.0,1.20045167178,0.0003469407589488725,1.2004516717807638
intestinal muscle WBbt:0005796,28.591501976284587,43.0,1.50394337575,0.015155909483534761,1.5039433757508311
hermaphrodite somatic gonadal cell WBbt:0007815,67.24031620553359,88.0,1.30873864024,0.017836772722511537,1.3087386402379526
intestine WBbt:0005772,343.5290513833992,471.0,1.37106308216,4.9192904942265406e-23,1.3710630821564362
smooth muscle WBbt:0005781,60.63122529644269,84.0,1.38542474755,0.004929163432373899,1.3854247475504735
excretory secretory system WBbt:0006850,70.11383399209485,92.0,1.31215189303,0.01512936525509708,1.3121518930254585
body wall musculature WBbt:0005813,178.58913043478262,282.0,1.57904346873,4.2475317284851234e-19,1.5790434687344037
muscular system WBbt:0005737,265.65671936758895,352.0,1.32501824474,1.597482457312038e-11,1.325018244740642
rectum WBbt:0005773,75.28616600790514,96.0,1.27513466405,0.02573150458636667,1.2751346640486365
reproductive system WBbt:0005747,309.33418972332015,352.0,1.13792788413,0.0031813168294659634,1.1379278841270075
alimentary system WBbt:0005748,451.8606719367589,560.0,1.23932007094,4.2475317284851234e-19,1.2393200709407524
vulval muscle WBbt:0005821,93.8203557312253,140.0,1.49221348511,9.983413512477777e-07,1.492213485110515
intestinal cell WBbt:0005792,19.10889328063241,34.0,1.77927625115,0.002555554448761498,1.7792762511505724
digestive tract WBbt:0005743,441.3723320158103,556.0,1.25970741632,8.645078543057037e-21,1.2597074163227877
pharynx WBbt:0003681,261.9211462450593,346.0,1.32100826894,4.4449045935137315e-11,1.3210082689401286
uterine muscle WBbt:0005342,18.965217391304346,31.0,1.63457129757,0.01512936525509708,1.6345712975699223
rectal epithelium WBbt:0005800,29.740909090909092,42.0,1.41219624026,0.048909764706125604,1.412196240256763
spermatheca WBbt:0005319,77.0102766798419,96.0,1.24658687306,0.048909764706125604,1.2465868730624732
egg-laying apparatus WBbt:0008587,201.7209486166008,236.0,1.16993302688,0.010909927045936636,1.1699330268793817
