#genotype down (genes assoc. with genotype only)
Tissue,Expected,Observed,Fold Change,Q value
pharynx(WBbt:0003681),123.03575685339689,156.0,1.2679240896277137,0.001362499361522633
excretory system(WBbt:0005736),30.232419547079857,45.0,1.488468361916026,0.02058771929993143
epithelial system(WBbt:0005730),112.16567342073897,140.0,1.2481536973870169,0.005271969267425443
gonadal sheath cell(WBbt:0005828),14.199046483909415,24.0,1.6902543439939564,0.025054559448245483
body muscle cell(WBbt:0007810),64.20143027413587,84.0,1.308382066276803,0.02058771929993143
body region(WBbt:0005738),288.3969010727056,311.0,1.0783749715867998,0.0013878365236413713
mu_int_R(WBbt:0003822),8.01668653158522,16.0,1.9958370502527505,0.02058771929993143
digestive tract(WBbt:0005743),207.61859356376638,276.0,1.3293607054284928,3.1839186282265394e-15
mu_int_L(WBbt:0003833),8.01668653158522,16.0,1.9958370502527505,0.02058771929993143
Anatomy(WBbt:0005766),292.8128724672229,316.0,1.0791875279846947,0.0006899792728187055
rectum(WBbt:0005773),35.531585220500595,55.0,1.5479185535540572,0.004406787524974159
alimentary system(WBbt:0005748),212.57806912991657,283.0,1.3312756163338997,1.925572372288797e-16
hermaphrodite-specific(WBbt:0005758),128.0631704410012,150.0,1.1712969426218063,0.030173695356655643
intestine(WBbt:0005772),161.9642431466031,239.0,1.4756343459319439,1.222497818188804e-16
hypodermis(WBbt:0005733),101.15971394517283,127.0,1.2554404816608344,0.008379565629870942
uterine muscle(WBbt:0005342),8.899880810488677,16.0,1.797776884960493,0.037402675741202894
excretory secretory system(WBbt:0006850),32.74612634088201,48.0,1.4658222319283685,0.02058771929993143
intestinal cell(WBbt:0005792),8.831942789034564,16.0,1.8116059379217277,0.03596983817935564
muscle of the reproductive system(WBbt:0005786),15.897497020262216,26.0,1.635477582846004,0.027821357594202456
pharyngeal-intestinal valve(WBbt:0005767),10.870083432657927,19.0,1.7479166666666666,0.03170936680442095
muscle cell(WBbt:0003675),93.1430274135876,127.0,1.3634944399657056,0.00047737337548140287
rectal gland cell(WBbt:0005799),17.595947556615016,29.0,1.6481067533699114,0.02058771929993143
smooth muscle(WBbt:0005781),28.53396901072706,46.0,1.6121136173767752,0.0044983674077105195
non-striated muscle(WBbt:0005780),84.44696066746125,111.0,1.3144345175085745,0.0044983674077105195
muscular system(WBbt:0005737),124.87008343265792,158.0,1.2653150831376592,0.001362499361522633
anal depressor muscle(WBbt:0004292),29.213349225268175,44.0,1.5061607507139945,0.01929166974359102
excretory cell(WBbt:0005812),27.175208581644814,40.0,1.4719298245614036,0.027821357594202456
