#genotype up (genes assoc. with genotype only)
Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
P5.p WBbt:0006893,2.1047430830039526,9.0,4.27605633803,0.0008461614184388006,4.276056338028169
germ cell WBbt:0006796,6.818181818181818,16.0,2.34666666667,0.005712641861570962,2.3466666666666667
P3.p WBbt:0006891,1.8972332015810276,9.0,4.74375,0.0007739043937805491,4.74375
post-embryonic cell WBbt:0007030,6.195652173913043,15.0,2.42105263158,0.005712641861570962,2.4210526315789473
apoptotic cell WBbt:0006925,1.6304347826086956,5.0,3.06666666667,0.04410427150425555,3.066666666666667
ventral cord blast cell WBbt:0008115,2.430830039525692,10.0,4.11382113821,0.0007739043937805491,4.113821138211382
oocyte WBbt:0006797,4.32806324110672,11.0,2.54155251142,0.013264768328106897,2.541552511415525
anal sphincter muscle WBbt:0005798,3.824110671936759,9.0,2.35348837209,0.0403295260778626,2.3534883720930235
blast cell WBbt:0006783,8.24110671936759,23.0,2.79088729017,0.00012203050458632034,2.7908872901678654
vulB2 WBbt:0006764,1.6897233201581026,5.0,2.95906432749,0.04996972334824346,2.9590643274853803
P4.p WBbt:0006892,1.8972332015810276,9.0,4.74375,0.0007739043937805491,4.74375
vulval precursor cell WBbt:0007809,3.231225296442688,11.0,3.40428134557,0.0012156625157415065,3.404281345565749
egg-laying apparatus WBbt:0008587,41.6205533596838,57.0,1.36951566952,0.02067756535361114,1.3695156695156694
P7.p WBbt:0006895,2.1343873517786562,9.0,4.21666666667,0.0008461614184388006,4.216666666666667
P6.p WBbt:0006894,2.1343873517786562,9.0,4.21666666667,0.0008461614184388006,4.216666666666667
reproductive system WBbt:0005747,63.82411067193676,104.0,1.62947824741,7.859279418694364e-10,1.6294782474067193
gonadal primordium WBbt:0008366,1.6007905138339922,6.0,3.74814814815,0.01154480798915428,3.748148148148148
gonad WBbt:0005175,33.05335968379447,48.0,1.45219730942,0.015567934639638502,1.4521973094170402
P8.p WBbt:0006896,1.9268774703557312,9.0,4.67076923077,0.0007739043937805491,4.670769230769231
smooth muscle WBbt:0005781,12.509881422924902,22.0,1.75860979463,0.026268156906376045,1.7586097946287518
