target_id,Unnamed: 0,pval,qval,b,se_b,mean,var,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
T01G9.6b.1,26,7.04732251519117e-14,5.7308284591802607e-11,-7.267505741232541,0.9706851004423709,4.43467407194337,10.7161157012116,1.33855481248827,-0.5610946763747111,0.0747895338429514,0.0747895338429514,WBGene00002196,kin-10
C44B7.10.1,526,0.000129300881593857,0.00519119488777881,-6.29078581718768,1.6434526734108201,2.9706984636863702,10.4795190582833,1.16989113824933,2.88151389636241,0.216965541492813,2.88151389636241,WBGene00016630,C44B7.10
C07G2.3b.2,177,1.14713461951048e-06,0.000137027498645819,-6.122355817435441,1.2585639046027601,4.3121971658079,8.26186971196038,0.975944962115024,1.40002969083841,0.0814316761226897,1.40002969083841,WBGene00000380,cct-5
F56H11.4b.2,166,8.889997272178709e-07,0.00011322964597932199,-6.09282870411761,1.2397049783954,5.437320895825519,8.70860854506081,0.563405254550897,1.7418973956366202,0.0397024245447944,1.7418973956366202,WBGene00001239,elo-1
R31.2b.1,477,9.23912473807635e-05,0.004095237197843779,-5.67983193701177,1.45273489350607,2.0385390980534197,6.61683983357266,2.70766004213619,-0.897735019076745,0.457997964078954,0.457997964078954,WBGene00011270,R31.2
F07C6.4c.1,1612,0.00520440920146744,0.0681764707228167,-5.54033948156407,1.9828695850534999,2.9350616866357004,8.987454282645981,2.56527451693586,3.33238317005952,0.223151747391674,3.33238317005952,WBGene00008555,F07C6.4
F11A10.6b.2,37,1.29164239169923e-11,7.38086353721537e-09,-5.41143433530266,0.799376181917287,3.91645208851122,8.01306806818296,0.8514861155092159,-0.7995179100910731,0.10701730481577301,0.10701730481577301,WBGene00008687,F11A10.6
T26E3.3a.2,859,0.000722892766597263,0.0177929240560721,-5.38748388422088,1.59357832270618,3.1465202016998304,8.01018805884174,3.6202820490827996,-1.40949866153144,0.188955756815755,0.188955756815755,WBGene00003921,par-6
F42A10.7.2,1496,0.00416614127983915,0.0588408317165259,-5.288600781484099,1.84574057637678,2.82309228897801,7.80507491324018,0.9972722716856041,4.11286514123994,0.24381447400341,4.11286514123994,WBGene00018343,F42A10.7
K08C7.2.1,1751,0.0065548889820446,0.079149067816887,-5.2642963915274406,1.93636401341039,2.6310603267243398,8.61994121362862,2.43193552428078,3.19232286436539,0.28403817965042,3.19232286436539,WBGene00001476,fmo-1
Y69A2AR.7b.1,1402,0.00346534008148368,0.052343610671965995,-5.24134163547865,1.79305921697222,3.8434912726056405,8.02518348667184,1.52060015897479,3.30199187437877,0.11257977519803901,3.30199187437877,WBGene00022078,epg-9
ZC376.7b.1,1238,0.0023432522963691897,0.0400188879661825,-5.23539221568731,1.7205381264258799,1.88106712688448,7.192153025964661,2.8599385224838705,1.58043864424377,0.5205563167513,1.58043864424377,WBGene00013878,atfs-1
C07G2.3b.1,117,1.33218078655786e-07,2.40737592907631e-05,-5.18847392795639,0.9837157673751329,2.3538444910220804,5.87663046950143,0.675091375430294,0.776453691043376,0.354770946033561,0.776453691043376,WBGene00000380,cct-5
T01C8.5.1,1231,0.00229208523657887,0.0393676345710699,-5.0397994645771504,1.65265417526695,3.2598137610719706,6.537178548926799,3.33983286727211,0.7570658672688142,0.17292169928211998,0.7570658672688142,WBGene00020146,got-1.2
F09F7.5c.2,457,7.658918506298659e-05,0.00353564441001468,-5.01646839911467,1.26844106354989,1.9451427682833897,4.6477771181266,1.91929155859527,-0.7160646542357301,0.49412253895408703,0.49412253895408703,WBGene00017302,F09F7.5
K05B2.2b.2,617,0.00024395228042001202,0.00835961598852562,-4.81294268088238,1.31195522246719,2.58481285049914,6.208926099966919,2.28711412125552,-0.108727846101708,0.294725637382893,0.294725637382893,WBGene00019403,K05B2.2
C37A2.5c,532,0.000132397886037178,0.0052618204971504896,-4.80291675168684,1.25666493372198,3.32816220186111,5.39995245510373,2.20485194276364,-1.8428746052226201,0.16395819070607098,0.16395819070607098,WBGene00004111,pqn-21
F56A6.4d,501,0.00011495263798704399,0.004851184880159821,-4.76746775279007,1.2361688413527399,3.66673610172099,7.58835231505433,2.16463761918384,-1.7756408523743898,0.12753248731322098,0.12753248731322098,WBGene00018923,eme-1
C56C10.13b,1240,0.00235646993367604,0.0401797127481552,-4.6556168654866505,1.5308548983188701,5.12670875536426,7.687540628288269,0.916616912475003,2.5986581670853304,0.048406197634319005,2.5986581670853304,WBGene00001026,dnj-8
C06G3.5b,1818,0.00736151758077947,0.0856130727230034,-4.55039732871941,1.6978893314332602,3.6224267427491004,7.7078820078997,2.9039409112922203,1.42030136140011,0.131657673665777,1.42030136140011,WBGene00015551,C06G3.5
ZK1128.6b.1,1230,0.0022897847582861,0.0393600968654009,-4.40431353929752,1.44412240354168,3.74682562587687,10.3146700017714,1.6193236018701398,1.50891067274634,0.12047678613538199,1.50891067274634,WBGene00014232,ttll-4
C56C10.8.1,161,7.470530155029241e-07,9.74996413998662e-05,-4.39024752345011,0.8871491142821841,7.488158965596419,5.4927915471485695,0.5145317021713289,0.666018624286167,0.00990596359561065,0.666018624286167,WBGene00002045,icd-1
R05G6.10e,1291,0.00275002666873239,0.0450236340577967,-4.20693550628844,1.4049434819811601,2.63867902823208,4.81978439718988,2.6784824507561202,-1.7031154183198203,0.28231683058588697,0.28231683058588697,WBGene00019902,R05G6.10
ZC239.6.1,1256,0.00252352999031803,0.0424800912303296,-4.14119123025531,1.3710258177539199,3.5425398249577498,5.67139187637489,2.68003320724641,-1.55786370802879,0.139534482175303,0.139534482175303,WBGene00022569,ZC239.6
F08G5.1c,1258,0.00253058123582386,0.0424906632963016,-4.11712226483104,1.3634387658212501,4.62108965772262,6.6835886390215595,0.8760737242405758,1.9123741779756698,0.0661301464188479,1.9123741779756698,WBGene00008580,dsb-1
