,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
1162,1163,ZK1127.5,0.00452538347770808,0.0822701486407411,0.3741867565672629,0.13180187666277698,7.09389737487267,0.037666682981197,0.0007733171564882269,0.0081659947841968,0.0122554838623842,0.0122554838623842,WBGene00022852,ZK1127.5
1248,1249,ZK1127.7,0.0053622046018715,0.0908449365816611,0.35601662585423904,0.127859828914778,7.216073410496381,0.0509119602413878,0.000874485027320286,0.0105974556528547,0.0113866168602669,0.0113866168602669,WBGene00022854,cin-4
1002,1003,ZK1236.5,0.00317250554184375,0.0668969806456154,0.44910999256147993,0.152214399585198,6.69742839707759,0.0223804733071908,0.00134976489308452,0.00673537455726746,0.0160271526877272,0.0160271526877272,WBGene00022864,ZK1236.5
1185,1186,ZK1248.16.2,0.00472083393815538,0.0841590151386334,-0.649412809897693,0.22984076225290398,7.012635844803739,0.0620237558590155,0.0263809885135295,0.0132390934812175,0.0129126923805271,0.0132390934812175,WBGene00002268,lec-5
509,510,ZK131.1,0.000481514365298562,0.0200225027588595,-1.8291951154077,0.5239993751702829,3.1703833657802303,0.722838914606452,0.0204767589219948,0.127851519749271,0.18545474996214104,0.18545474996214104,WBGene00001900,his-26
889,890,ZK131.3,0.0023715333776838103,0.056275342541379,-1.2668630150086202,0.416831546100238,3.8258773888954503,0.21919890425305102,0.0163394012972067,0.0544215494224132,0.113972002071029,0.113972002071029,WBGene00001883,his-9
510,511,ZK131.4,0.000481514365298562,0.0200225027588595,-1.8291951154077,0.5239993751702829,3.1703833657802303,0.722838914606452,0.0204767589219948,0.127851519749271,0.18545474996214104,0.18545474996214104,WBGene00001884,his-10
890,891,ZK131.7,0.0023715333776838103,0.056275342541379,-1.2668630150086202,0.416831546100238,3.8258773888954503,0.21919890425305102,0.0163394012972067,0.0544215494224132,0.113972002071029,0.113972002071029,WBGene00001887,his-13
511,512,ZK131.8,0.000481514365298562,0.0200225027588595,-1.8291951154077,0.5239993751702829,3.1703833657802303,0.722838914606452,0.0204767589219948,0.127851519749271,0.18545474996214104,0.18545474996214104,WBGene00001888,his-14
712,713,ZK1320.3.2,0.00134015278598935,0.0397860387151587,1.2833297901546599,0.40013529045370205,7.48589673296664,0.31691727792301,0.00401120224768675,0.116069985752165,0.0099166126924066,0.116069985752165,WBGene00014253,ZK1320.3
