target_id,axonogenesis genes in Aging::Genotype,reg. value
F45E10.1a,WBGene00006788,-7.632939047889611
F27E11.3b,WBGene00000478,-7.213781064422831
K08C7.3c.1,WBGene00001328,-6.07914617614665
K08C7.3c.2,WBGene00001328,-5.2277458515322195
ZK524.2d,WBGene00006752,-4.751733848961839
B0350.2e.1,WBGene00006780,-4.6371090255146
F15A2.6a,WBGene00004719,-3.5789637380239703
F14F3.1c,WBGene00006870,-3.53688770303976
F14F3.1a,WBGene00006870,-3.46373562804011
F55C7.7c,WBGene00006805,-3.39597151320298
F56A12.1,WBGene00006775,-3.0326661844143503
W02B9.1b,WBGene00001980,-2.06287909515087
F15B9.7,WBGene00001475,-1.91860613218714
B0350.2f.1,WBGene00006780,-1.91092354757837
K04B12.1,WBGene00004048,-1.8106905693467
C53D6.2,WBGene00006852,-1.6089033100052699
C44H4.3,WBGene00006366,-1.54157505233161
F40E10.4,WBGene00004854,-1.5158949835217101
T22E5.5.2,WBGene00003495,-1.38987584118579
F15C11.1,WBGene00004773,-1.29798478388403
F42E11.4,WBGene00006584,-1.2103786509088998
F25F2.2b,WBGene00000396,-0.874868727691251
Y105E8A.6,WBGene00006824,-0.8703113609469592
Y71G12B.20b,WBGene00003111,-0.815286159048317
ZK721.2,WBGene00006764,-0.7824128279682792
Y37E11C.1a,WBGene00006769,-0.720082051450633
K08A8.1b,WBGene00003185,-0.680413461176385
K11C4.3c,WBGene00006803,-0.666747300918508
F55C7.7b,WBGene00006805,-0.604962935926465
F57C7.3a,WBGene00004749,-0.561046830202095
R09E10.7,WBGene00004140,-0.536075891719582
C34F6.4,WBGene00002029,-0.5298164425842671
F53C11.8,WBGene00009977,-0.49586864909139394
T27C10.6,WBGene00003068,-0.480199777255649
K01G5.7.2,WBGene00006536,-0.449593230835746
F54G8.3,WBGene00002081,-0.4082355116304339
Y48G8AL.8b,WBGene00004429,0.353332301561247
B0041.8.1,WBGene00015011,0.418440850848853
C41D11.2,WBGene00001231,0.43257679522484005
Y48G8AL.8a,WBGene00004429,0.617858962737542
K04D7.1.2,WBGene00010556,0.7986556479427409
F47G4.7.1,WBGene00004875,0.936303043300889
