target_id,ion transport genes in Aging::Genotype,reg. value
Y39B6A.19a,WBGene00006696,-5.389293225722111
F08A10.1b,WBGene00008570,-5.3331293432717
M01F1.5.2,WBGene00010811,-4.9535928750300195
R04F11.4b,WBGene00006668,-4.8548696242164695
F57F10.1c,WBGene00019018,-4.4490283079581205
F16B3.1,WBGene00001171,-2.56237819428264
K11H3.7,WBGene00010784,-1.97880786254845
T13G4.3,WBGene00020490,-1.6473307260056
Y67D8C.10a.2,WBGene00003153,-1.61171382380622
T03F7.1,WBGene00004910,-1.36645833859978
Y71A12B.4,WBGene00006616,-1.11723780045928
Y38F2AL.1,WBGene00021415,-1.04146844862566
F20D1.1,WBGene00008973,-0.369414837639345
R53.4,WBGene00011273,0.29879823810033096
C30F8.2.2,WBGene00016258,0.30850080518610196
W09C5.8,WBGene00012354,0.336534657995992
F49C12.13,WBGene00009882,0.34114717302892306
F26E4.9.1,WBGene00000371,0.34217510952145
H28O16.1d.1,WBGene00010419,0.449268478644923
Y71H2AM.5.1,WBGene00022170,0.4705281570478279
F27C1.7a.1,WBGene00000230,0.47175411615371793
T01H3.1.1,WBGene00006913,0.6224944252264829
Y69A2AR.18a,WBGene00022089,0.6277698524650029
Y69H2.2,WBGene00013480,1.51363238267053
C29F4.2,WBGene00007808,1.59863696379416
