target_id,neuropeptide genes in Genotype,reg. value
F07D3.2,WBGene00001449,-1.58789631305846
T24D8.5,WBGene00003740,-1.4444632921217502
T06C10.4,WBGene00001453,-0.630138387179304
Y74C9A.2a.1,WBGene00022276,-0.613247047978147
Y48D7A.2.1,WBGene00001461,0.528433829397362
C36H8.3,WBGene00001452,0.5357841520447401
Y37D8A.15,WBGene00001457,0.5676161715188821
E03D2.1,WBGene00003751,0.6800819005726129
F15D4.8,WBGene00001459,0.715927795682104
D1009.4a,WBGene00003752,0.798646532323172
ZC334.11.1,WBGene00002110,0.8415099903081229
F37A8.4,WBGene00003748,0.9003708917621029
F49E10.3,WBGene00001450,0.967648462628542
M01D7.5,WBGene00003750,1.03142957896649
C03G5.7.2,WBGene00001448,1.04150032918372
F33D4.3,WBGene00001456,1.0658045756069199
K04H4.7,WBGene00010575,1.06755906604596
ZK525.1,WBGene00001458,1.16906903028236
F48B9.4,WBGene00018590,1.2594861512726598
Y47D3B.2a,WBGene00003759,1.4888893720348702
ZK84.3,WBGene00002088,1.4954595196797902
F45E4.8.1,WBGene00003758,1.6130138900284299
ZK75.2,WBGene00002085,2.95613659080301
