,Tissue,Expected,Observed,Fold Change,Q value
0,mu_int_R(WBbt:0003822),5.5085419149781485,11.0,1.9968986657050127,0.08872729385061906
1,excretory cell(WBbt:0005812),18.67302344060389,38.0,2.035021276595745,0.00020325950615428915
2,gonadal sheath cell(WBbt:0005828),9.756654747715533,18.0,1.844894635040212,0.060750980291162375
3,body wall musculature(WBbt:0005813),57.83969010727056,75.0,1.296687445262995,0.060750980291162375
4,digestive tract(WBbt:0005743),142.66189908621374,194.0,1.3598585273476664,1.9476124504151213e-12
5,mu_int_L(WBbt:0003833),5.5085419149781485,11.0,1.9968986657050127,0.08872729385061906
6,anal depressor muscle(WBbt:0004292),20.073500198649185,31.0,1.5443245917862445,0.06609202306121705
7,alimentary system(WBbt:0005748),146.06972586412397,197.0,1.348670977744232,1.9476124504151213e-12
8,epithelial system(WBbt:0005730),77.07290425109257,94.0,1.2196244700181709,0.08076517583807745
9,intestine(WBbt:0005772),111.29121970599921,174.0,1.5634656575753247,6.526860248792575e-16
10,muscular system(WBbt:0005737),85.80254270957488,104.0,1.2120852915981757,0.06609202306121705
11,excretory system(WBbt:0005736),20.773738577671832,38.0,1.8292326081759502,0.0015648256966697897
12,hypodermis(WBbt:0005733),69.510329757648,90.0,1.294771587385508,0.02392257918101805
13,excretory secretory system(WBbt:0006850),22.500993245927692,41.0,1.8221417851152115,0.0011255941594532869
14,pharynx(WBbt:0003681),84.54211362733412,112.0,1.3247835332542266,0.0015648256966697897
