,Tissue,Expected,Observed,Fold Change,Q value
0,inner labial neuron(WBbt:0005117),1.8176400476758046,5.0,2.7508196721311475,0.05390518860350333
1,sensory neuron(WBbt:0005759),11.859356376638857,24.0,2.023718592964824,0.008069101619990991
2,blast cell(WBbt:0006783),3.3969010727056017,11.0,3.2382456140350877,0.008069101619990991
3,Cell(WBbt:0004017),63.60250297973778,70.0,1.1005856172405717,0.050600232895390534
4,posterior lateral right ganglion(WBbt:0005463),1.564362336114422,5.0,3.196190476190476,0.04112241725019303
5,tail ganglion(WBbt:0006977),19.93444576877235,29.0,1.4547683109118086,0.050600232895390534
6,anterior ganglion (post)(WBbt:0005371),3.1436233611442193,7.0,2.226729857819905,0.0625067652759525
7,pharyngeal cell(WBbt:0005460),11.039928486293206,18.0,1.6304453441295546,0.0589692597251021
8,neuron(WBbt:0003679),41.67163289630513,50.0,1.1998569896317484,0.07655188345971504
9,ciliated neuron(WBbt:0006816),11.918951132300357,21.0,1.7619,0.03329599978210442
10,tail neuron(WBbt:0006759),19.547079856972584,29.0,1.48359756097561,0.04446921085890581
11,HSNL(WBbt:0004758),1.6090584028605484,4.0,2.4859259259259257,0.0795185878591494
12,extracellular component(WBbt:0005732),2.234803337306317,6.0,2.6848,0.050600232895390534
13,muscle cell(WBbt:0003675),20.426102502979738,31.0,1.5176659372720642,0.033372651641388223
14,somatic nervous system(WBbt:0005760),20.8134684147795,34.0,1.6335576234788833,0.008069101619990991
15,oxygene sensory neuron(WBbt:0008432),1.534564958283671,6.0,3.9099029126213596,0.012588067007224478
16,anal sphincter muscle(WBbt:0005798),1.9219308700834328,5.0,2.601550387596899,0.06242100331440169
17,posterior lateral left ganglion(WBbt:0005464),2.458283671036949,6.0,2.4407272727272726,0.05906137014646966
18,post-embryonic cell(WBbt:0007030),3.1436233611442193,8.0,2.5448341232227487,0.03974299606625537
19,vulval cell(WBbt:0007831),1.5792610250297974,4.0,2.5328301886792453,0.07804596458532463
20,anterior ganglion(WBbt:0005375),3.8885578069129916,8.0,2.0573180076628352,0.06851036773238482
21,outer labial sensillum(WBbt:0005501),1.5047675804529201,7.0,4.651881188118812,0.008069101619990991
22,HSNR(WBbt:0004757),1.5941597139451729,4.0,2.509158878504673,0.07867359317954227
23,vulval muscle(WBbt:0005821),9.699046483909417,18.0,1.8558525345622119,0.033372651641388223
24,accessory cell(WBbt:0005762),2.2497020262216925,6.0,2.667019867549669,0.050600232895390534
25,dorsal nerve cord(WBbt:0006750),3.903456495828367,8.0,2.049465648854962,0.06851036773238482
26,pharyngeal muscle cell(WBbt:0005451),5.587008343265793,12.0,2.14784,0.035928799923889254
27,nerve ring(WBbt:0006749),9.386174016686532,17.0,1.8111746031746032,0.04112241725019303
28,non-striated muscle(WBbt:0005780),18.51907032181168,28.0,1.5119549477071603,0.041577338625846186
29,muscular system(WBbt:0005737),27.38379022646007,37.0,1.351164309031556,0.050600232895390534
30,sensillum(WBbt:0006929),12.559594755661502,19.0,1.5127876631079478,0.07804596458532463
31,ventral cord neuron(WBbt:0005300),9.62455303933254,16.0,1.6624148606811144,0.0625067652759525
32,nerve ring neuron(WBbt:0006974),6.2127532777115615,11.0,1.7705515587529976,0.07804596458532463
33,dopaminergic neuron(WBbt:0006746),1.534564958283671,7.0,4.561553398058253,0.008069101619990991
34,head neuron(WBbt:0006751),32.225864123957095,40.0,1.2412390198797965,0.09196254026351018
35,male-specific(WBbt:0005757),2.860548271752086,9.0,3.14625,0.008973702605976595
36,ganglion(WBbt:0005189),26.40047675804529,35.0,1.3257336343115125,0.06851036773238482
37,mechanosensory neuron(WBbt:0008431),4.961263408820024,18.0,3.628108108108108,3.218791397383515e-05
38,uterine epithelial cell(WBbt:0008435),1.6537544696066746,4.0,2.418738738738739,0.08620109734526851
39,inner labial sensillum(WBbt:0005116),2.026221692491061,5.0,2.467647058823529,0.06851036773238482
40,ventral nerve cord(WBbt:0005829),6.793802145411203,13.0,1.9135087719298247,0.050600232895390534
41,touch receptor neuron(WBbt:0005237),2.622169249106079,9.0,3.432272727272727,0.008069101619990991
