,Tissue,Expected,Observed,Fold Change,Q value
0,head muscle(WBbt:0006761),1.6591179976162098,5.0,3.0136494252873565,0.06749256432112047
1,ventral ganglion (post)(WBbt:0005264),1.2300357568533968,4.0,3.251937984496124,0.06749256432112047
2,sensory neuron(WBbt:0005759),7.589988081048868,12.0,1.5810301507537687,0.09799718457769918
3,blast cell(WBbt:0006783),2.1740166865315853,9.0,4.139802631578947,0.0031907783420886985
4,Cell(WBbt:0004017),40.705601907032175,45.0,1.105498945888967,0.0788705521960499
5,somatic nervous system(WBbt:0005760),13.320619785458879,21.0,1.5765032211882606,0.06749256432112047
6,ASKL(WBbt:0003884),1.0011918951132301,3.0,2.996428571428571,0.0788705521960499
7,tail ganglion(WBbt:0006977),12.758045292014303,19.0,1.4892563527653213,0.0788705521960499
8,head motor neuron(WBbt:0008610),1.2872467222884385,4.0,3.1074074074074076,0.06749256432112047
9,dorsal ganglion(WBbt:0005214),1.1728247914183552,3.0,2.557926829268293,0.09165847573401183
10,lumbar left ganglion neuron(WBbt:0005097),2.765196662693683,7.0,2.5314655172413794,0.06749256432112047
11,lumbar ganglion right(WBbt:0005601),2.9845053635280094,7.0,2.345447284345048,0.06749256432112047
12,ciliated neuron(WBbt:0006816),7.628128724672228,15.0,1.9664062500000001,0.044219854796283715
13,interneuron(WBbt:0005113),4.977353992848629,10.0,2.009099616858238,0.06749256432112047
14,tail neuron(WBbt:0006759),12.510131108462454,18.0,1.4388338414634148,0.08880921258432864
15,coelomocyte(WBbt:0005751),1.6495828367103695,5.0,3.0310693641618496,0.06749256432112047
16,HSNL(WBbt:0004758),1.029797377830751,3.0,2.913194444444444,0.0788705521960499
17,extracellular component(WBbt:0005732),1.430274135876043,4.0,2.796666666666667,0.07254449092536772
18,muscle cell(WBbt:0003675),13.072705601907032,19.0,1.4534099197665937,0.0805505330314446
19,posterior lateral right ganglion(WBbt:0005463),1.0011918951132301,4.0,3.995238095238095,0.05057240866729426
20,oxygene sensory neuron(WBbt:0008432),0.9821215733015494,4.0,4.072815533980583,0.05057240866729426
21,smooth muscle(WBbt:0005781),4.004767580452921,9.0,2.2473214285714285,0.06749256432112047
22,anal sphincter muscle(WBbt:0005798),1.2300357568533968,4.0,3.251937984496124,0.06749256432112047
23,body muscle cell(WBbt:0007810),9.01072705601907,14.0,1.5537037037037038,0.0872150547576605
24,posterior lateral left ganglion(WBbt:0005464),1.5733015494636473,6.0,3.8136363636363635,0.024761118886879933
25,anal depressor muscle(WBbt:0004292),4.1001191895113225,8.0,1.9511627906976747,0.0788705521960499
26,tail(WBbt:0005741),15.933253873659119,24.0,1.5062836624775582,0.06749256432112047
27,HSNR(WBbt:0004757),1.0202622169249107,3.0,2.9404205607476634,0.0788705521960499
28,lumbar right ganglion neuron(WBbt:0005600),2.860548271752086,7.0,2.4470833333333335,0.06749256432112047
29,lumbar ganglion left(WBbt:0005098),2.898688915375447,7.0,2.4148848684210527,0.06749256432112047
30,vulval muscle(WBbt:0005821),6.207389749702027,11.0,1.7720814132104454,0.0788705521960499
31,embryonic cell(WBbt:0007028),8.924910607866508,14.0,1.5686431623931623,0.08440292410100833
32,accessory cell(WBbt:0005762),1.4398092967818832,4.0,2.7781456953642385,0.07254449092536772
33,non-striated muscle(WBbt:0005780),11.852205005959476,17.0,1.4343322606596942,0.099299538148579
34,coelomic system(WBbt:0005749),1.6877234803337307,5.0,2.9625706214689265,0.06749256432112047
35,sensillum(WBbt:0006929),8.038140643623361,13.0,1.6172894424673785,0.08075493621521211
36,ventral cord neuron(WBbt:0005300),6.159713945172825,11.0,1.7857972136222908,0.0788705521960499
37,nerve ring neuron(WBbt:0006974),3.9761620977353997,9.0,2.2634892086330933,0.06749256432112047
38,dopaminergic neuron(WBbt:0006746),0.9821215733015494,6.0,6.109223300970874,0.0031907783420886985
39,muscle of the reproductive system(WBbt:0005786),2.231227651966627,7.0,3.1372863247863245,0.035336148219085886
40,serotonergic neuron(WBbt:0006837),2.193087008343266,5.0,2.279891304347826,0.0805505330314446
41,male-specific(WBbt:0005757),1.8307508939213348,8.0,4.369791666666667,0.0031907783420886985
42,ganglion(WBbt:0005189),16.896305125148984,23.0,1.3612443566591423,0.08440292410100833
43,mechanosensory neuron(WBbt:0008431),3.1752085816448155,8.0,2.5195195195195192,0.05337594275098168
44,retrovesicular ganglion(WBbt:0005656),1.134684147794994,3.0,2.64390756302521,0.0872150547576605
45,ASKR(WBbt:0003883),0.9821215733015494,3.0,3.054611650485437,0.0788705521960499
46,post-embryonic cell(WBbt:0007030),2.0119189511323006,9.0,4.4733412322274875,0.0031907783420886985
47,touch receptor neuron(WBbt:0005237),1.6781883194278904,5.0,2.979403409090909,0.06749256432112047
