Accession,Unigene,Gene,Ratio,ttest
NM_214775,407613,a2bp1l,0.96976,6.53E-05
NM_001172642,569798,aadacl4,0.617063,3.52E-02
AW076835,558335,abca12,5.061814,8.41E-10
AI658217,566515,abcb7,1.157824,2.20E-02
NM_001017544,548340,abcb8,0.789823,4.03E-05
NM_001007038,368620,abcc4,1.116853,2.57E-08
NM_213186,406467,abcf1,0.666712,1.25E-03
NM_200914,393888,abhd2a,0.885447,2.64E-04
NM_001017613,550276,abhd4,1.129835,3.26E-06
NM_001089495,558995,abhd6b,0.735689,2.07E-02
AI878796,393711,abi1a,1.295004,8.08E-05
NM_201181,394156,acadl,1.233477,2.66E-06
NM_213089,406283,acadm,0.878493,1.56E-02
NM_212611,573723,acadvl,1.044397,3.52E-03
NM_001003746,445290,acat1,0.734284,5.13E-04
BI892068,550266,acer1,2.333822,9.34E-05
BC045312,327495,acin1b,1.00767,3.68E-03
NM_001002649,436922,aclya,1.722408,7.72E-06
NM_001034983,568448,aco1,2.108286,5.31E-07
NM_001099975,554842,acot11,1.951621,3.12E-08
NM_001080803,564010,acot13,1.182405,1.78E-03
NM_001005933,449662,acox1,0.727839,1.43E-02
NM_213147,406421,acox3,0.865381,4.08E-04
NM_001014302,541489,acp1,0.818501,8.14E-03
NM_001031837,555308,acsl1,0.606345,2.71E-03
NM_001080656,541435,acss1,0.962675,1.84E-04
NM_001002641,436914,acss2,0.809109,1.17E-02
NM_001017750,550445,acta1a,1.184833,1.23E-05
NM_131591,58114,actc1b,1.502472,5.51E-06
NM_001168286,560400,actn1,1.201992,4.14E-05
NM_001037573,641575,actn2,0.92433,1.29E-05
AF047837,58037,actn3a,3.353053,6.91E-09
NM_205544,323320,actn3b,1.207192,4.37E-05
NM_199586,322221,actn4,0.982587,3.05E-04
NM_213499,406820,actr2,1.057221,3.01E-05
NM_001003944,406250,actr3,1.331473,1.15E-06
AF435024,266753,acvrl1,1.082909,2.28E-05
