Acc#,Symbol,B sig,E sig,FC
FBgn0034211,CG30101,30,2,-16.29
FBgn0036504,yellow-k,1239,110,-11.27
FBgn0035948,CG5644,594,68,-8.76
FBgn0004635,rho,54,7,-8.18
FBgn0034797,nahoda,102,13,-8.11
FBgn0027528,CG9634,1251,157,-7.97
FBgn0036612,CG4998,256,41,-6.28
FBgn0036779,gk,200,33,-6
FBgn0031210,CG31973,280,51,-5.48
FBgn0038023,CG11512,783,158,-4.96
FBgn0039423,CG31085,1006,203,-4.94
FBgn0035961,Tequila,898,196,-4.59
FBgn0039778,CG18030,260,60,-4.33
FBgn0036299,Tsf2,1649,411,-4.01
FBgn0038562,cpo,177,45,-3.91
FBgn0032523,CG16956,372,101,-3.69
FBgn0040903,CG32774,441,126,-3.5
FBgn0039414,CG31324,207,60,-3.44
FBgn0029569,CG14624,403,122,-3.29
FBgn0001078,ftz-f1,187,57,-3.28
FBgn0014073,Tie,178,54,-3.27
FBgn0000490,dpp,121,38,-3.22
FBgn0035697,CG10163,223,70,-3.18
FBgn0027570,Nep2,627,199,-3.16
FBgn0037906,PGRP-LB,575,187,-3.08
FBgn0039594,CG9990,521,174,-3
FBgn0041573,CG4015,2935,985,-2.98
FBgn0031828,CG31637,33,11,-2.96
FBgn0035574,Gef64C,501,169,-2.96
FBgn0015766,Msr-110,466,159,-2.94
FBgn0032694,MESR3,154,53,-2.92
FBgn0037236,CG9772,3540,1228,-2.88
FBgn0031268,CG2813,357,125,-2.85
FBgn0031914,CG5973,509,180,-2.83
FBgn0038022,CG4381,4087,1463,-2.79
FBgn0034623,CG9822,105,38,-2.79
FBgn0003867,tsl,201,73,-2.76
FBgn0031674,CG31919,990,359,-2.76
FBgn0036756,CG5582,1454,528,-2.75
FBgn0038021,CG4181,4789,1740,-2.75
FBgn0033032,CG1298,552,202,-2.74
FBgn0023546,Hr4,741,273,-2.72
FBgn0036597,CG4962,1314,488,-2.69
FBgn0000489,Pka-C3,285,106,-2.69
FBgn0038545,CG7713,356,132,-2.69
FBgn0000116,Argk,2040,761,-2.68
FBgn0035765,CG8600,864,324,-2.67
FBgn0039606,CG1448,2533,960,-2.64
FBgn0031734,CG11147,695,268,-2.59
FBgn0037680,CG8121,563,218,-2.58
FBgn0031461,Alp23B,624,242,-2.57
FBgn0038963,CG31170,225,88,-2.55
FBgn0033887,CG6704,2185,858,-2.55
FBgn0038589,CG18598,209,83,-2.53
FBgn0037240,Cont,471,188,-2.5
FBgn0036938,CG14187,866,350,-2.47
FBgn0001987,Gli,672,272,-2.47
FBgn0000634,Fas1,781,318,-2.46
FBgn0038638,CG7702,195,80,-2.45
FBgn0020240,Mcr,87,36,-2.44
FBgn0039529,CG5612,152,63,-2.4
FBgn0039113,CG10217,540,225,-2.4
FBgn0039045,CG17119,1564,661,-2.37
FBgn0035230,CG1049,1136,481,-2.36
FBgn0010238,Lac,855,362,-2.36
FBgn0035744,CG8628,223,95,-2.35
FBgn0038611,CG14309,4589,1970,-2.33
FBgn0030044,CG15350,1977,854,-2.31
FBgn0002778,mnd,141,61,-2.3
FBgn0003870,ttk,282,122,-2.3
FBgn0035694,CG13299,443,193,-2.3
FBgn0039905,CG2052,72,32,-2.28
FBgn0002121,l(2)gl,165,73,-2.26
FBgn0034117,CG7997,1138,503,-2.26
FBgn0034577,CG10540,811,363,-2.24
FBgn0027607,CG8230,150,67,-2.23
FBgn0038803,CG5191,362,163,-2.22
FBgn0013997,Nrx,319,144,-2.22
FBgn0016031,lama,400,181,-2.21
FBgn0034145,CG5065,279,126,-2.21
FBgn0015737,Hmu,2333,1058,-2.2
FBgn0023407,B4,103,47,-2.19
FBgn0031630,CG15629,379,174,-2.19
FBgn0030045,CG15351,6089,2789,-2.18
FBgn0040594,CG11957,242,111,-2.18
FBgn0035768,CG14834,2421,1114,-2.17
FBgn0004364,18w,1757,810,-2.17
FBgn0032167,CG5853,350,162,-2.16
FBgn0032403,CG12317,975,454,-2.15
FBgn0035146,CG13893,499,233,-2.14
FBgn0011710,1-Sep,1507,708,-2.13
FBgn0033635,CG7777,821,390,-2.1
FBgn0029570,CG11382,627,298,-2.1
FBgn0038395,CG10407,1423,680,-2.09
FBgn0034115,Hmgs,1614,772,-2.09
FBgn0035087,CG2765,448,215,-2.08
FBgn0030130,CG12139,365,177,-2.07
FBgn0023023,CRMP,211,103,-2.06
FBgn0005654,lat,998,490,-2.04
FBgn0034772,jbug,138,68,-2.03
FBgn0039327,CG10618,390,192,-2.03
FBgn0035327,CG5717,1826,903,-2.02
FBgn0037900,CG5276,212,105,-2.02
FBgn0032449,CG17036,646,320,-2.02
FBgn0035835,CG7915,321,159,-2.01
FBgn0032480,CG5682,208,104,-2.01
FBgn0019643,Dat,203,101,-2.01
FBgn0003502,Btk29A,70,35,-1.98
FBgn0039704,CG7802,106,53,-1.98
FBgn0030854,CG8289,251,127,-1.98
FBgn0027558,pgant3,311,157,-1.97
FBgn0039709,Cad99C,772,392,-1.97
FBgn0026084,cib,6606,3353,-1.97
FBgn0036144,CG6207,210,106,-1.97
FBgn0004133,blow,469,239,-1.96
FBgn0038469,CG4009,229,117,-1.96
FBgn0032514,CG9302,674,344,-1.96
FBgn0015777,Nrv2,50,26,-1.96
FBgn0039776,PH4aEFB,2920,1496,-1.95
FBgn0031754,CG13997,4597,2358,-1.95
FBgn0005634,zip,1205,618,-1.95
FBgn0038149,CG9796,1520,784,-1.94
FBgn0025456,CREG,287,149,-1.92
FBgn0029561,CG11378,1525,798,-1.91
FBgn0029744,CG11706,653,342,-1.91
FBgn0030726,CG9216,158,83,-1.9
FBgn0000368,crb,512,269,-1.9
FBgn0034494,CG10444,480,253,-1.9
FBgn0034724,CG3624,4657,2453,-1.9
FBgn0038178,CG9322,377,200,-1.89
FBgn0015790,Rab11,619,329,-1.88
FBgn0032297,CG17124,442,236,-1.88
FBgn0034275,CG5002,459,245,-1.87
FBgn0028916,CG33090,112,60,-1.87
FBgn0010435,emp,544,291,-1.87
FBgn0032783,CG10237,2278,1221,-1.87
FBgn0032420,CG6583,280,151,-1.86
FBgn0039754,CG9747,1677,905,-1.85
FBgn0032977,CG6448,257,139,-1.85
FBgn0038671,gukh,115,62,-1.85
FBgn0035833,CG7565,145,79,-1.84
FBgn0011584,Trp1,411,224,-1.84
FBgn0033313,CG9266,259,142,-1.83
FBgn0037875,CG6672,448,244,-1.83
FBgn0010300,brat,873,477,-1.83
FBgn0038831,Synd,171,93,-1.83
FBgn0026787,Nhe1,110,60,-1.83
FBgn0034143,CG8303,3667,2014,-1.82
FBgn0037848,Tsp86D,195,107,-1.82
FBgn0038338,CG5166,1663,917,-1.81
FBgn0035289,CG12026,2956,1631,-1.81
FBgn0035506,CG11589,213,118,-1.81
FBgn0033853,CG6145,327,181,-1.81
FBgn0039094,CG10184,364,201,-1.81
FBgn0034392,CG15094,186,103,-1.81
FBgn0040949,CG13998,889,494,-1.8
FBgn0003514,sqh,3939,2191,-1.8
FBgn0031111,Obp19c,1131,630,-1.79
FBgn0032263,CG7400,245,137,-1.79
FBgn0003447,sn,479,269,-1.78
FBgn0024994,Csat,1756,985,-1.78
FBgn0035909,CG6822,1373,771,-1.78
FBgn0002741,Mhc,798,450,-1.78
FBgn0000083,AnnIX,439,248,-1.77
FBgn0032643,CG6453,817,462,-1.77
FBgn0038610,CG7675,4039,2288,-1.77
FBgn0030043,CG15349,968,550,-1.76
FBgn0028683,spt4,98,56,-1.76
FBgn0025865,Cortactin,370,211,-1.75
FBgn0000317,ck,373,214,-1.75
FBgn0037925,CG17309,231,133,-1.74
FBgn0031897,CG13784,363,209,-1.74
FBgn0037269,CG31534,183,106,-1.73
FBgn0035904,CG6776,731,422,-1.73
FBgn0015933,didum,363,209,-1.73
FBgn0002926,ndl,2471,1434,-1.72
FBgn0025549,unc-119,154,90,-1.72
FBgn0015286,Rala,273,159,-1.72
FBgn0033630,CG13200,702,409,-1.72
FBgn0024211,mfas,6004,3507,-1.71
FBgn0033844,CG6016,542,317,-1.71
FBgn0003205,Ras85D,974,571,-1.71
FBgn0038407,CG6126,653,383,-1.7
FBgn0010348,Arf79F,1469,865,-1.7
FBgn0005638,slbo,213,126,-1.7
FBgn0027108,inx2,1625,958,-1.7
FBgn0035499,Chd64,1972,1164,-1.69
FBgn0034583,CG10527,2459,1452,-1.69
FBgn0039637,CG11880,375,222,-1.69
FBgn0013770,Cp1,5933,3519,-1.69
FBgn0038256,CG7530,383,227,-1.69
FBgn0000711,flw,410,243,-1.68
FBgn0013750,Arf51F,302,180,-1.68
FBgn0020294,ko,67,40,-1.68
FBgn0039567,CG4869,1381,823,-1.68
FBgn0039433,CG5467,218,130,-1.68
FBgn0010288,Uch,916,546,-1.68
FBgn0033764,CG8776,829,497,-1.67
FBgn0020626,Osbp,1071,642,-1.67
FBgn0039562,Gp93,5031,3017,-1.67
FBgn0004687,Mlc-c,1082,650,-1.66
FBgn0031285,CG3662,1593,958,-1.66
FBgn0000448,Hr46,173,104,-1.66
FBgn0036099,CG11811,274,166,-1.66
FBgn0035165,CG13887,1642,992,-1.65
