#GABAergic-motor-neurons_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell WBbt:0003675,43.63636363636363,63.0,1.44375,0.000871386553441739,1.44375
1,cholinergic neuron WBbt:0006840,10.75098814229249,37.0,3.44154411765,2.6935904739127285e-11,3.4415441176470587
2,touch receptor neuron WBbt:0005237,5.691699604743084,17.0,2.98680555556,5.6763432707677915e-05,2.9868055555555553
3,embryonic cell WBbt:0007028,29.91304347826087,57.0,1.90552325581,5.000924701921402e-07,1.9055232558139534
4,anterior ganglion (post) WBbt:0005371,6.798418972332016,29.0,4.26569767442,2.6935904739127285e-11,4.265697674418605
5,post-embryonic cell WBbt:0007030,6.608695652173912,15.0,2.26973684211,0.002556169184859713,2.2697368421052633
6,inner labial sensillum WBbt:0005116,4.33201581027668,11.0,2.53923357664,0.003348581309590709,2.539233576642336
7,interneuron WBbt:0005113,16.695652173913043,44.0,2.63541666667,1.4524073212197446e-09,2.6354166666666665
8,hermaphrodite somatic gonadal cell WBbt:0007815,14.798418972332016,23.0,1.55422008547,0.027594625289023865,1.5542200854700854
9,nervous system WBbt:0005735,94.2608695652174,140.0,1.4852398524,5.81499210085503e-15,1.4852398523985237
10,sensory neuron WBbt:0005759,25.61264822134387,46.0,1.79598765432,5.6763432707677915e-05,1.7959876543209878
11,HSN WBbt:0006830,3.41501976284585,11.0,3.22106481481,0.0005050346766343037,3.2210648148148144
12,serotonergic neuron WBbt:0006837,7.367588932806324,19.0,2.57886266094,0.0001580572155404517,2.578862660944206
13,head motor neuron WBbt:0008610,4.300395256916996,24.0,5.58088235294,6.327662106505183e-12,5.580882352941177
14,corpus WBbt:0003733,5.533596837944664,14.0,2.53,0.0011744039470430814,2.53
15,ventral ganglion (post) WBbt:0005264,4.1106719367588935,16.0,3.89230769231,2.804409790888961e-06,3.8923076923076922
16,motor neuron WBbt:0005409,13.849802371541502,51.0,3.6823630137,1.2156770420040592e-16,3.6823630136986303
17,muscular system WBbt:0005737,58.466403162055336,71.0,1.21437263386,0.03718854599491683,1.2143726338561385
18,retrovesicular ganglion WBbt:0005656,3.7628458498023716,14.0,3.72058823529,2.0705745333525163e-05,3.7205882352941178
19,anal sphincter muscle WBbt:0005798,4.079051383399209,12.0,2.94186046512,0.0006435010491846877,2.9418604651162794
20,ventral ganglion (ant) WBbt:0005266,3.2885375494071143,22.0,6.68990384615,1.1966825713103998e-12,6.689903846153847
21,anterior ganglion WBbt:0005375,8.379446640316207,33.0,3.93820754717,1.0984748718316527e-11,3.9382075471698106
22,smooth muscle WBbt:0005781,13.343873517786562,24.0,1.79857819905,0.003952445717937227,1.7985781990521326
23,mechanosensory neuron WBbt:0008431,10.814229249011857,23.0,2.12682748538,0.0005666431071282234,2.126827485380117
24,lateral ganglion WBbt:0005105,16.063241106719367,31.0,1.92987204724,0.00035677008577591574,1.9298720472440944
25,chemosensory neuron WBbt:0005837,12.173913043478262,20.0,1.64285714286,0.022938472546917794,1.6428571428571428
26,dopaminergic neuron WBbt:0006746,3.320158102766799,12.0,3.61428571429,9.8308653013791e-05,3.614285714285714
27,dorsal nerve cord WBbt:0006750,8.284584980237154,31.0,3.74188931298,1.3709481595217338e-10,3.7418893129770994
28,head WBbt:0005739,82.30830039525692,119.0,1.4457837111,3.7609732470794605e-09,1.445783711102574
29,tail WBbt:0005741,52.93280632411067,71.0,1.34132317802,0.002725565162607176,1.3413231780167265
30,ciliated neuron WBbt:0006816,25.61264822134387,35.0,1.36651234568,0.041967069702426814,1.3665123456790125
31,vulval muscle WBbt:0005821,20.64822134387352,31.0,1.50133996937,0.017730870356674623,1.5013399693721285
32,ventral nerve cord WBbt:0005829,14.418972332015809,39.0,2.70476973684,7.331695149356588e-09,2.7047697368421058
33,nerve ring neuron WBbt:0006974,13.280632411067195,37.0,2.78601190476,8.220719235405902e-09,2.7860119047619043
34,posterior lateral ganglion WBbt:0005465,5.375494071146245,11.0,2.04632352941,0.018403493629625612,2.0463235294117648
35,preanal ganglion neuron WBbt:0005447,4.616600790513834,14.0,3.03253424658,0.000197711514808564,3.0325342465753424
36,terminal bulb WBbt:0003732,6.292490118577075,16.0,2.54271356784,0.0005666431071282234,2.542713567839196
37,uterine muscle WBbt:0005342,4.173913043478261,11.0,2.63541666667,0.0025606951544546092,2.6354166666666665
38,GABAergic neuron WBbt:0005190,4.996047430830039,37.0,7.40585443038,2.639469924067612e-22,7.4058544303797476
39,oxygene sensory neuron WBbt:0008432,3.3517786561264824,7.0,2.08844339623,0.041967069702426814,2.088443396226415
40,dorsal ganglion WBbt:0005214,3.9209486166007905,16.0,4.08064516129,1.4880579754675185e-06,4.080645161290323
41,ventral cord neuron WBbt:0005300,20.4901185770751,53.0,2.58661265432,2.909674374687073e-11,2.5866126543209873
