#GABAergic-motor-neurons_larva_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,sensory neuron WBbt:0005759,8.16403162055336,16.0,1.95981602518,0.008912349321581988,1.9598160251755024
1,nervous system WBbt:0005735,30.045652173913044,44.0,1.46443817379,5.977341606232907e-05,1.4644381737935026
2,cholinergic neuron WBbt:0006840,3.4268774703557314,14.0,4.08535178777,1.548006594364741e-05,4.0853517877739325
3,embryonic cell WBbt:0007028,9.534782608695652,16.0,1.67806657547,0.036694331287440055,1.6780665754673962
4,anterior ganglion (post) WBbt:0005371,2.16699604743083,11.0,5.07615139079,1.773864159094374e-05,5.076151390788874
5,inner labial sensillum WBbt:0005116,1.3808300395256916,4.0,2.89680835838,0.04478660637649794,2.8968083583798485
6,nerve ring neuron WBbt:0006974,4.233201581027668,11.0,2.59850606909,0.004619766357706378,2.5985060690943045
7,interneuron WBbt:0005113,5.321739130434782,17.0,3.19444444444,2.651789938964451e-05,3.1944444444444446
8,outer labial sensillum WBbt:0005501,1.0280632411067194,4.0,3.89081122645,0.015367841665607762,3.8908112264513646
9,serotonergic neuron WBbt:0006837,2.348418972332016,6.0,2.55491037617,0.03547799263015753,2.5549103761676344
10,head motor neuron WBbt:0008610,1.3707509881422926,7.0,5.10668973472,0.00045971849441816853,5.106689734717416
11,ventral ganglion (post) WBbt:0005264,1.3102766798418972,6.0,4.57918552036,0.0019254442152054716,4.579185520361991
12,retrovesicular ganglion WBbt:0005656,1.199407114624506,6.0,5.00247157687,0.0012962628372819788,5.00247157686604
13,ventral ganglion (ant) WBbt:0005266,1.0482213438735177,7.0,6.67797888386,8.839508343156696e-05,6.677978883861237
14,dorsal nerve cord WBbt:0006750,2.640711462450593,10.0,3.78685825475,0.00041330997365049307,3.7868582547522824
15,motor neuron WBbt:0005409,4.414624505928853,18.0,4.07735697019,7.441190637818386e-07,4.077356970185335
16,mechanosensory neuron WBbt:0008431,3.4470355731225295,9.0,2.61093911249,0.009175296721454661,2.6109391124871
17,head WBbt:0005739,26.235770750988145,38.0,1.44840417919,0.001481219198216775,1.448404179189924
18,tail WBbt:0005741,16.872332015810276,24.0,1.42244711505,0.04688312822946529,1.4224471150467357
19,ciliated neuron WBbt:0006816,8.16403162055336,14.0,1.71483902203,0.04478660637649794,1.7148390220285645
20,ventral nerve cord WBbt:0005829,4.596047430830039,11.0,2.39336085311,0.008434590183059403,2.3933608531131756
21,preanal ganglion neuron WBbt:0005447,1.4715415019762845,5.0,3.39779747515,0.015268660152672798,3.3977974751544453
22,terminal bulb WBbt:0003732,2.0057312252964428,5.0,2.49285643906,0.04974971094294278,2.492856439058035
23,GABAergic neuron WBbt:0005190,1.592490118577075,15.0,9.41921072226,1.0137473057345062e-10,9.419210722263589
24,dorsal ganglion WBbt:0005214,1.249802371541502,5.0,4.00063251107,0.008319371857384177,4.000632511068943
25,ventral cord neuron WBbt:0005300,6.531225296442688,21.0,3.2153231663,2.134164459871371e-06,3.215323166303558
26,anterior ganglion WBbt:0005375,2.6709486166007905,11.0,4.11838697743,8.892241738729852e-05,4.118386977432483
