#GABAergic_neuron_specific_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,nervous system WBbt:0005735,78.94347826086957,114.0,1.44407115713,9.558728123571777e-11,1.4440711571294818
1,cholinergic neuron WBbt:0006840,9.003952569169961,39.0,4.33143107989,3.1950264395420623e-15,4.331431079894644
2,touch receptor neuron WBbt:0005237,4.766798418972332,16.0,3.35655058043,1.3805058682806567e-05,3.3565505804311773
3,embryonic cell WBbt:0007028,25.05217391304348,50.0,1.99583477959,4.073305686744342e-07,1.9958347795904199
4,anterior ganglion (post) WBbt:0005371,5.693675889328063,25.0,4.3908365151,3.082719309618277e-10,4.390836515098925
5,glutamatergic neuron WBbt:0006829,3.01897233201581,9.0,2.98114689709,0.0020357647729910607,2.9811468970934802
6,interneuron WBbt:0005113,13.982608695652173,48.0,3.4328358209,6.236300848218223e-15,3.4328358208955225
7,outer labial sensillum WBbt:0005501,2.7011857707509885,6.0,2.22124670764,0.04249175775638527,2.221246707638279
8,HSN WBbt:0006830,2.8600790513833996,10.0,3.49640685462,0.00032110997569256085,3.4964068546158096
9,serotonergic neuron WBbt:0006837,6.170355731225296,20.0,3.24130420857,2.5237476161720087e-06,3.2413042085708796
10,amphid sensillum WBbt:0005391,17.769565217391307,35.0,1.96965989724,5.0069593756285314e-05,1.9696598972351356
11,corpus WBbt:0003733,4.634387351778656,19.0,4.09978678038,1.196472012669461e-07,4.099786780383795
12,ventral ganglion (post) WBbt:0005264,3.4426877470355732,18.0,5.22847301952,5.60405410424579e-09,5.2284730195177955
13,motor neuron WBbt:0005409,11.599209486166007,54.0,4.65548967491,4.6340880176523667e-23,4.655489674913106
14,retrovesicular ganglion WBbt:0005656,3.151383399209486,18.0,5.71177724821,1.3768776856272726e-09,5.7117772482127185
15,ASE WBbt:0005663,3.8134387351778654,11.0,2.88453565506,0.0010050186888521668,2.8845356550580434
16,ventral ganglion (ant) WBbt:0005266,2.7541501976284586,16.0,5.80941446613,7.4148836034338e-09,5.8094144661308835
17,dorsal nerve cord WBbt:0006750,6.938339920948617,22.0,3.17078728495,1.195251779116472e-06,3.170787284949299
18,mechanosensory neuron WBbt:0008431,9.05691699604743,25.0,2.76032120101,2.5843720933497103e-06,2.7603212010124816
19,lateral ganglion WBbt:0005105,13.45296442687747,38.0,2.82465624633,2.4647939405603217e-09,2.824656246327418
20,head motor neuron WBbt:0008610,3.6015810276679843,23.0,6.38608428446,8.646703863245763e-13,6.386084284460052
21,chemosensory neuron WBbt:0005837,10.195652173913045,27.0,2.64818763326,2.5237476161720087e-06,2.6481876332622596
22,ADL WBbt:0005661,2.780632411067194,6.0,2.15778251599,0.045654385636551754,2.157782515991471
23,carbon dioxide sensory neuron WBbt:0008430,5.11106719367589,16.0,3.13046168123,3.434703660380656e-05,3.1304616812311497
24,sensillum WBbt:0006929,22.483399209486166,43.0,1.91252219468,1.0778360093246815e-05,1.9125221946803088
25,head WBbt:0005739,68.93320158102767,98.0,1.42166616017,3.264529823414971e-07,1.4216661601710998
26,pharyngeal muscle cell WBbt:0005451,10.089723320158102,16.0,1.58577192776,0.0483236638587375,1.585771927762761
27,tail WBbt:0005741,44.33122529644268,70.0,1.57902245047,4.299349366225255e-06,1.5790224504716563
28,odorsensory neuron WBbt:0005839,5.614229249011858,11.0,1.9593072374,0.024205602353964073,1.959307237397916
29,nociceptor neuron WBbt:0008434,2.7276679841897233,6.0,2.19968120562,0.04352528288344673,2.1996812056223733
30,ventral nerve cord WBbt:0005829,12.07588932806324,27.0,2.23586017282,5.0069593756285314e-05,2.23586017282011
31,nerve ring neuron WBbt:0006974,11.122529644268775,36.0,3.23667377399,1.9260507184670437e-10,3.2366737739872065
32,posterior lateral ganglion WBbt:0005465,4.5019762845849804,14.0,3.10974539069,0.00010191354489612708,3.1097453906935906
33,preanal ganglion neuron WBbt:0005447,3.866403162055336,13.0,3.36229809855,7.670161615527528e-05,3.3622980985483544
34,terminal bulb WBbt:0003732,5.2699604743083,14.0,2.65656641416,0.0005820238069177788,2.656566414160354
35,ASK WBbt:0005668,2.780632411067194,8.0,2.87704335466,0.0042748450889739135,2.877043354655295
36,GABAergic neuron WBbt:0005190,4.184189723320158,32.0,7.64783676554,6.07898880174554e-20,7.647836765539391
37,oxygene sensory neuron WBbt:0008432,2.807114624505929,13.0,4.63108983385,2.5237476161720087e-06,4.63108983384962
38,ciliated neuron WBbt:0006816,21.450592885375492,47.0,2.19108162889,6.780772052150355e-08,2.1910816288925745
39,sensory neuron WBbt:0005759,21.450592885375492,53.0,2.47079417726,9.558728123571777e-11,2.470794177261839
40,osmosensory neuron WBbt:0008433,2.7276679841897233,6.0,2.19968120562,0.04352528288344673,2.1996812056223733
41,dorsal ganglion WBbt:0005214,3.283794466403162,14.0,4.26336061627,2.618279672755139e-06,4.263360616273471
42,ventral cord neuron WBbt:0005300,17.160474308300397,48.0,2.79712548369,1.5658094725921342e-11,2.7971254836926476
43,anterior ganglion WBbt:0005375,7.017786561264822,25.0,3.56237679527,2.179191237181841e-08,3.5623767952689382
