#all-neurons_larva_enriched_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,sensory neuron WBbt:0005759,60.3498023715415,191.0,3.16488194649,6.265699944382343e-60,3.164881946491142
1,nervous system WBbt:0005735,222.1021739130435,363.0,1.63438292208,1.3236645685803904e-67,1.6343829220785575
2,ASI WBbt:0005666,10.356324110671936,37.0,3.57269621968,1.367492931005194e-12,3.5726962196820793
3,cholinergic neuron WBbt:0006840,25.33201581027668,72.0,2.8422530816,3.142922518187267e-17,2.8422530816039946
4,touch receptor neuron WBbt:0005237,13.41106719367589,32.0,2.38608900678,1.6851687934825495e-06,2.3860890067786618
5,embryonic cell WBbt:0007028,70.48260869565217,165.0,2.34100302264,2.50300609568027e-31,2.3410030226389487
6,anterior ganglion (post) WBbt:0005371,16.018774703557312,54.0,3.3710443526,1.8380615090801662e-16,3.3710443526000864
7,glutamatergic neuron WBbt:0006829,8.493675889328063,38.0,4.47391688771,2.1283763186403329e-16,4.473916887709991
8,inner labial sensillum WBbt:0005116,10.207312252964426,40.0,3.9187593177,6.697458289638759e-15,3.9187593177021824
9,nerve ring neuron WBbt:0006974,31.292490118577078,94.0,3.00391562461,1.6585508158171665e-24,3.0039156246052796
10,interneuron WBbt:0005113,39.339130434782604,127.0,3.2283377542,1.1916367347514524e-37,3.2283377541998237
11,outer labial sensillum WBbt:0005501,7.599604743083004,30.0,3.94757372445,9.747716685981541e-12,3.947573724449992
12,serotonergic neuron WBbt:0006837,17.3598814229249,44.0,2.53457952437,2.7153876581470997e-09,2.534579524367892
13,amphid sensillum WBbt:0005391,49.99347826086957,147.0,2.94038352829,3.232357454867874e-39,2.9403835282862976
14,corpus WBbt:0003733,13.038537549407115,32.0,2.4542629784,8.764060398235936e-07,2.454262978400909
15,ventral ganglion (post) WBbt:0005264,9.685770750988143,37.0,3.8200367272,1.4354948809614354e-13,3.8200367271985307
16,motor neuron WBbt:0005409,32.633596837944665,100.0,3.06432663542,6.26038414049555e-27,3.064326635417802
17,retrovesicular ganglion WBbt:0005656,8.866205533596839,32.0,3.60921026235,3.0008854082526756e-11,3.6092102623542783
18,ASE WBbt:0005663,10.728853754940712,41.0,3.82147067492,7.843131843818818e-15,3.8214706749189506
19,ventral ganglion (ant) WBbt:0005266,7.7486166007905135,34.0,4.38788002448,1.3720622179628562e-14,4.387880024484799
20,anterior ganglion WBbt:0005375,19.74407114624506,55.0,2.78564636405,5.210017795549242e-13,2.7856463640458435
21,mechanosensory neuron WBbt:0008431,25.48102766798419,82.0,3.21808056835,2.2144228609339848e-23,3.2180805683528004
22,lateral ganglion WBbt:0005105,37.84901185770751,130.0,3.43469997285,7.841959342857694e-42,3.4346999728482217
23,head motor neuron WBbt:0008610,10.132806324110673,44.0,4.34233109689,3.604497928293743e-18,4.342331096894991
24,chemosensory neuron WBbt:0005837,28.684782608695652,96.0,3.34672224327,5.538180335666826e-29,3.3467222432739674
25,dopaminergic neuron WBbt:0006746,7.8231225296442695,29.0,3.70695970696,1.1546100588415998e-10,3.7069597069597067
26,ADL WBbt:0005661,7.8231225296442695,27.0,3.45130731338,2.7153876581470997e-09,3.4513073133762786
27,carbon dioxide sensory neuron WBbt:0008430,14.379644268774705,58.0,4.03347947389,8.265310879514876e-22,4.033479473893982
28,sensillum WBbt:0006929,63.25553359683794,175.0,2.76655637933,1.9311702360899092e-44,2.766556379325966
29,head WBbt:0005739,193.93893280632412,322.0,1.66031644776,1.6535579858531844e-46,1.6603164477632928
30,tail WBbt:0005741,124.72292490118576,225.0,1.80399874504,7.513202061964869e-28,1.8039987450443513
31,odorsensory neuron WBbt:0005839,15.795256916996047,60.0,3.79860867824,4.658044472480727e-21,3.798608678244332
32,nociceptor neuron WBbt:0008434,7.674110671936759,34.0,4.43048080142,1.0567144993574615e-14,4.430480801421544
33,AWC WBbt:0005672,8.493675889328063,29.0,3.41430499325,9.846634161081542e-10,3.4143049932523617
34,ventral nerve cord WBbt:0005829,33.97470355731225,63.0,1.8543208153,4.883110637096447e-07,1.8543208153008517
35,posterior lateral ganglion WBbt:0005465,12.66600790513834,43.0,3.39491340303,1.548990894729331e-13,3.3949134030269934
36,preanal ganglion neuron WBbt:0005447,10.877865612648222,34.0,3.12561316813,5.521864360873018e-10,3.125613168126158
37,terminal bulb WBbt:0003732,14.826679841897233,25.0,1.6861495808,0.0063934279357433805,1.6861495807952227
38,ASK WBbt:0005668,7.8231225296442695,30.0,3.83478590375,2.2207801917287846e-11,3.8347859037514205
39,phasmid sensillum WBbt:0005425,19.371541501976285,64.0,3.30381554785,7.092390359401634e-19,3.303815547847378
40,GABAergic neuron WBbt:0005190,11.77193675889328,39.0,3.31296377128,4.77575216146388e-12,3.3129637712789175
41,oxygene sensory neuron WBbt:0008432,7.897628458498024,29.0,3.67198838897,1.43363683240513e-10,3.6719883889695213
42,ciliated neuron WBbt:0006816,60.3498023715415,186.0,3.08203163376,5.338208631062236e-56,3.0820316337557716
43,dorsal nerve cord WBbt:0006750,19.520553359683795,34.0,1.74175390285,0.000869132287809217,1.7417539028489277
44,dorsal ganglion WBbt:0005214,9.238735177865612,37.0,4.004877214,2.6914649276927114e-14,4.00487721399846
45,ventral cord neuron WBbt:0005300,48.279841897233204,92.0,1.90555719291,1.1546100588415998e-10,1.9055571929135147
46,osmosensory neuron WBbt:0008433,7.674110671936759,34.0,4.43048080142,1.0567144993574615e-14,4.430480801421544
