#dopaminergic-neurons_larva_enriched_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,nervous system WBbt:0005735,240.36521739130436,307.0,1.27722306635,4.91336486212537e-12,1.2772230663483104
1,ASI WBbt:0005666,11.207905138339921,22.0,1.96290026802,0.0015149171289120225,1.9629002680208774
2,cholinergic neuron WBbt:0006840,27.41501976284585,52.0,1.8967704729,5.194886728779668e-06,1.8967704728950403
3,touch receptor neuron WBbt:0005237,14.513833992094863,32.0,2.20479302832,1.72042224401342e-05,2.20479302832244
4,embryonic cell WBbt:0007028,76.27826086956522,112.0,1.46830825353,8.456506143373243e-06,1.4683082535339718
5,anterior ganglion (post) WBbt:0005371,17.33596837944664,41.0,2.3650250798,2.6564988173306296e-07,2.3650250797993615
6,glutamatergic neuron WBbt:0006829,9.192094861660077,20.0,2.17578259374,0.0007268396479948334,2.1757825937392505
7,inner labial sensillum WBbt:0005116,11.046640316205533,29.0,2.62523257478,1.3856879638929557e-06,2.6252325747817378
8,nerve ring neuron WBbt:0006974,33.865612648221344,65.0,1.91935107376,2.6564988173306296e-07,1.9193510737628385
9,interneuron WBbt:0005113,42.57391304347826,79.0,1.85559640523,5.680166283818559e-08,1.8555964052287583
10,muscle cell WBbt:0003675,111.27272727272727,134.0,1.20424836601,0.008447607189283775,1.204248366013072
11,outer labial sensillum WBbt:0005501,8.224505928853755,26.0,3.16128412149,1.3664700300942317e-07,3.1612841214917338
12,sensory neuron WBbt:0005759,65.31225296442688,127.0,1.94450496248,2.027951412527538e-14,1.9445049624788187
13,HSN WBbt:0006830,8.708300395256918,18.0,2.06699346405,0.0019191830895717438,2.0669934640522873
14,serotonergic neuron WBbt:0006837,18.787351778656127,37.0,1.96941008163,5.3905883192246476e-05,1.9694100816292182
15,head motor neuron WBbt:0008610,10.96600790513834,22.0,2.00619953864,0.001289650812480953,2.006199538638985
16,corpus WBbt:0003733,14.110671936758894,26.0,1.84257703081,0.0015986804670861476,1.8425770308123248
17,ventral ganglion (post) WBbt:0005264,10.482213438735178,27.0,2.5757918552,4.263717250627097e-06,2.57579185520362
18,motor neuron WBbt:0005409,35.31699604743083,63.0,1.78384367446,4.263717250627097e-06,1.783843674456084
19,retrovesicular ganglion WBbt:0005656,9.595256916996048,25.0,2.60545394628,7.001014807161203e-06,2.605453946284396
20,ASE WBbt:0005663,11.611067193675888,23.0,1.98086873638,0.0012548122832176582,1.9808687363834425
21,ventral ganglion (ant) WBbt:0005266,8.385770750988142,18.0,2.14649321267,0.001374246099329187,2.146493212669683
22,anterior ganglion WBbt:0005375,21.367588932806324,42.0,1.96559378468,1.72042224401342e-05,1.9655937846836848
23,mechanosensory neuron WBbt:0008431,27.576284584980236,69.0,2.5021499828,1.1534228532244164e-12,2.502149982800138
24,lateral ganglion WBbt:0005105,40.96126482213439,71.0,1.73334491277,2.7834844810363005e-06,1.7333449127682568
25,chemosensory neuron WBbt:0005837,31.043478260869566,61.0,1.9649859944,2.684872363883083e-07,1.964985994397759
26,dopaminergic neuron WBbt:0006746,8.466403162055336,37.0,4.37021475257,1.9446878519880985e-14,4.370214752567693
27,ADL WBbt:0005661,8.466403162055336,18.0,2.12605042017,0.0015149171289120225,2.1260504201680672
28,carbon dioxide sensory neuron WBbt:0008430,15.562055335968381,30.0,1.92776592502,0.000405288273358043,1.9277659250228587
29,dorsal nerve cord WBbt:0006750,21.125691699604744,38.0,1.79875767101,0.00033366071936211296,1.798757671007334
30,head WBbt:0005739,209.88616600790516,265.0,1.26258916936,4.1286082808714086e-08,1.2625891693596376
31,tail WBbt:0005741,134.9786561264822,182.0,1.3483613278,9.063397596210387e-07,1.3483613278047182
32,ciliated neuron WBbt:0006816,65.31225296442688,115.0,1.76077221012,4.4552196545630715e-10,1.7607722101186154
33,nociceptor neuron WBbt:0008434,8.30513833992095,18.0,2.1673329526,0.001289650812480953,2.1673329525985148
34,vulval muscle WBbt:0005821,52.652964426877475,67.0,1.27248295949,0.026204854391860082,1.2724829594931386
35,ventral nerve cord WBbt:0005829,36.76837944664031,58.0,1.57744238046,0.0003657115648765292,1.5774423804609565
36,posterior lateral ganglion WBbt:0005465,13.707509881422926,36.0,2.62629757785,1.110437326413443e-07,2.6262975778546713
37,ASK WBbt:0005668,8.466403162055336,18.0,2.12605042017,0.0015149171289120225,2.1260504201680672
38,phasmid sensillum WBbt:0005425,20.964426877470355,44.0,2.0987933635,2.2419385897431446e-06,2.098793363499246
39,sensillum WBbt:0006929,68.45691699604743,115.0,1.67988868103,7.3141863519354505e-09,1.6798886810318947
40,GABAergic neuron WBbt:0005190,12.7399209486166,23.0,1.80534872177,0.0036448945682479345,1.805348721767188
41,amphid sensillum WBbt:0005391,54.104347826086965,91.0,1.68193506911,3.3552308474445143e-07,1.6819350691096109
42,oxygene sensory neuron WBbt:0008432,8.54703557312253,15.0,1.75499445061,0.02100211645465543,1.7549944506104327
43,odorsensory neuron WBbt:0005839,17.09407114624506,30.0,1.75499445061,0.0016416935563132182,1.7549944506104327
44,dorsal ganglion WBbt:0005214,9.998418972332017,32.0,3.20050600886,5.060346091561935e-09,3.2005060088551547
45,ventral cord neuron WBbt:0005300,52.249802371541506,88.0,1.68421689664,5.124600931966316e-07,1.6842168966351971
46,osmosensory neuron WBbt:0008433,8.30513833992095,18.0,2.1673329526,0.001289650812480953,2.1673329525985148
