#24hr_muscle_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,smooth muscle(WBbt:0005781),29.814763506827628,66.0,2.213668405750926,4.461969421821618e-09
1,hermaphrodite-specific(WBbt:0005758),133.8838313872947,167.0,1.2473500218029163,0.004582261203791619
2,anal sphincter muscle(WBbt:0005798),9.113991688106076,38.0,4.169413501834843,8.482765974399177e-14
3,vulval muscle(WBbt:0005821),46.135167227389665,116.0,2.514350916476851,3.906140920887065e-22
4,diagonal muscle(WBbt:0005815),1.7662774589352859,10.0,5.661624649859944,2.5398558639193928e-05
5,uterine muscle(WBbt:0005342),9.32594498317831,25.0,2.6806934895170187,6.925512828889164e-05
6,pharyngeal muscle cell(WBbt:0005451),26.91806847417376,52.0,1.9317879382724217,4.737669900239252e-05
7,body wall musculature(WBbt:0005813),87.81931525826242,232.0,2.6417878494921703,1.4675362757279489e-61
8,body muscle cell(WBbt:0007810),66.90659014446864,140.0,2.092469511563865,1.550421668170962e-19
9,muscular system(WBbt:0005737),130.63388086285374,255.0,1.9520203971258596,5.63390608189509e-42
10,non-striated muscle(WBbt:0005780),88.45517514347912,169.0,1.9105722161068899,2.709812009244254e-20
11,anal depressor muscle(WBbt:0004292),30.45062339204433,95.0,3.1198047664541453,1.0447506550133954e-24
