#BAG-neuron_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,male-specific(WBbt:0005757),7.789432020581833,25.0,3.20947662601626,2.0529872482743183e-07
1,embryonic cell(WBbt:0007028),38.37918068474174,78.0,2.0323518795441653,1.2700761671181102e-10
2,ray 9 left(WBbt:0006967),1.5416584207401542,13.0,8.43247753530167,7.476398969287239e-10
3,AFDR(WBbt:0003991),2.1907777557886403,15.0,6.8468834688346885,1.1480053054592965e-09
4,serotonergic neuron(WBbt:0006837),9.452800316643579,26.0,2.7505076939181405,2.758758898447843e-06
5,IL sensillum left(WBbt:0005123),1.7850781713833366,5.0,2.8009977827051,0.03258967732921515
6,ganglion(WBbt:0005189),72.29566594102513,128.0,1.7705072404259397,1.7535829702344943e-14
7,lateral ganglion right neuron(WBbt:0005100),19.554719968335643,50.0,2.556927436494282,4.663010451519823e-10
8,R3AL(WBbt:0004036),1.0142489610132595,10.0,9.859512195121951,6.56121195197765e-09
9,Cell(WBbt:0004017),174.08569166831583,194.0,1.1143937111708568,1.2357244777313182e-05
10,AWCR(WBbt:0003826),4.422125470017811,16.0,3.61816961288879,6.972556515921333e-06
11,ASJR(WBbt:0003885),3.2455966752424303,19.0,5.854085365853658,2.785261684882535e-10
12,ray 8 right(WBbt:0006966),1.5416584207401542,13.0,8.43247753530167,7.476398969287239e-10
13,AWBL(WBbt:0003829),3.002176924599248,16.0,5.329466051417271,1.9914870810043956e-08
14,R9AR(WBbt:0003970),1.1359588363348505,12.0,10.56376306620209,1.563638159454354e-10
15,ray 5 right(WBbt:0006960),1.6227983376212152,12.0,7.394634146341463,1.542147432228595e-08
16,R6AR(WBbt:0004016),1.0548189194537898,11.0,10.428330206378988,7.476398969287239e-10
17,PHBL(WBbt:0004364),3.529586384326143,23.0,6.516344266890944,8.863508648184818e-13
18,post-embryonic cell(WBbt:0007030),8.479121314070849,15.0,1.7690512311821684,0.04029644044345904
19,P0(WBbt:0004422),1.1359588363348505,4.0,3.521254355400697,0.019988021106635827
20,OL lateral left sensillum(WBbt:0005510),1.8662180882643975,13.0,6.965959703075291,1.0145312870165564e-08
21,ADFL(WBbt:0004003),3.286166633682961,15.0,4.564588979223125,5.209602270116884e-07
22,OL quadrant dorsal right sensillum(WBbt:0005507),1.7850781713833366,17.0,9.52339246119734,8.863508648184818e-13
23,R1AR(WBbt:0004050),1.0142489610132595,11.0,10.845463414634146,4.866908323064284e-10
24,R7AL(WBbt:0004006),1.0548189194537898,11.0,10.428330206378988,7.476398969287239e-10
25,R8AR(WBbt:0003992),1.0953888778943202,11.0,10.042095754290877,1.0842273438795298e-09
26,AB(WBbt:0004015),1.3388086285375025,6.0,4.4815964523281595,0.0012680988523830746
27,ray 2 right(WBbt:0006947),1.5416584207401542,13.0,8.43247753530167,7.476398969287239e-10
28,lateral ganglion left neuron(WBbt:0005102),19.59528992677617,50.0,2.5516335908700705,4.866908323064284e-10
29,tail(WBbt:0005741),67.91411042944785,110.0,1.6196928635953027,1.4147917531543077e-09
30,amphid left sensillum(WBbt:0005395),17.729071838511775,47.0,2.6510130044092204,4.98059741618194e-10
31,ray 4 right(WBbt:0006958),1.4605185038590935,13.0,8.900948509485096,4.135843484596542e-10
32,ventral ganglion (ant)(WBbt:0005266),4.219275677815159,11.0,2.607082551594747,0.004061390359840937
33,ADER(WBbt:0004007),1.298238670096972,7.0,5.391920731707318,0.00014120021917529238
34,PDER(WBbt:0004382),1.8256481298238671,15.0,8.216260162601625,9.434487614564769e-11
35,R7BL(WBbt:0004001),1.2576687116564418,12.0,9.541463414634146,5.432905653600918e-10
36,R1BL(WBbt:0004048),1.2170987532159112,13.0,10.681138211382114,2.7626156653181167e-11
37,R5BL(WBbt:0004022),1.298238670096972,12.0,9.24329268292683,7.476398969287239e-10
38,FLPL(WBbt:0004798),1.4199485454185632,4.0,2.8170034843205576,0.04913249415546426
39,cephalic sensillum ventral left(WBbt:0006924),1.7039382545022759,7.0,4.108130081300813,0.001055338418741484
40,retrovesicular ganglion neuron(WBbt:0005403),3.975855927171977,9.0,2.2636635141861623,0.024433738536983527
41,lateral ganglion left(WBbt:0005103),19.676429843657235,50.0,2.541111390495348,5.312654065579909e-10
42,ray 3 left(WBbt:0006955),1.4605185038590935,12.0,8.216260162601627,3.6884012200654464e-09
43,phasmid left sensillum(WBbt:0005431),4.827825054423116,26.0,5.385447837671653,2.6086449728144767e-12
44,BDUR(WBbt:0003811),1.501088462299624,5.0,3.3309162821357945,0.01426705960677315
45,glutamatergic neuron(WBbt:0006829),4.624975262220463,25.0,5.4054343175010695,5.099249170184078e-12
46,BAGL(WBbt:0003824),1.5822283791806848,15.0,9.48030018761726,1.0456796084906862e-11
