#FLP_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,embryonic cell(WBbt:0007028),19.657629131209184,44.0,2.238316722037652,2.693413879912766e-07
1,pharyngeal segment(WBbt:0005789),5.755986542647932,18.0,3.1271789582258895,7.744282595654565e-05
2,g1(WBbt:0003712),0.6026123095190976,3.0,4.978325123152709,0.033587089927025374
3,ADEL(WBbt:0004009),0.6649515139521076,3.0,4.511607142857144,0.045251295739298536
4,ganglion(WBbt:0005189),37.02948743320799,67.0,1.8093688204799319,2.0870879142199656e-08
5,ALML(WBbt:0003954),1.890955867801306,23.0,12.163160648874936,5.144627067676822e-19
6,Cell(WBbt:0004017),89.16584207401543,101.0,1.1327207555126455,0.0008040345968738131
7,PVDR(WBbt:0004088),1.413021967148229,11.0,7.784733893557422,3.352960505583906e-07
8,SIA(WBbt:0005361),0.5610528398970908,3.0,5.347089947089948,0.029891359835522303
9,postdeirid sensillum right(WBbt:0006970),0.9974272709281615,4.0,4.01031746031746,0.03490537060843705
10,PLML(WBbt:0004104),1.8493963981792994,27.0,14.599357945425362,3.2027352090027685e-24
11,tail(WBbt:0005741),34.78527607361963,62.0,1.7823633156966492,3.442328275133905e-07
12,ventral ganglion (ant)(WBbt:0005266),2.16109242034435,7.0,3.239102564102564,0.02053776518431003
13,ADER(WBbt:0004007),0.6649515139521076,3.0,4.511607142857144,0.045251295739298536
14,RMER(WBbt:0005023),0.5610528398970908,3.0,5.347089947089948,0.029891359835522303
15,PDER(WBbt:0004382),0.9350880664951514,4.0,4.2776719576719575,0.029891359835522303
16,FLPL(WBbt:0004798),0.7272907183851177,11.0,15.124625850340136,1.0741001189602088e-10
17,BDUR(WBbt:0003811),0.7688501880071245,6.0,7.803861003861004,0.00018874184260430702
18,motor neuron(WBbt:0005409),9.101523847219473,17.0,1.8678190911067623,0.040617021356671806
19,PVDL(WBbt:0004090),1.413021967148229,11.0,7.784733893557422,3.352960505583906e-07
20,interneuron(WBbt:0005113),10.971699980209776,32.0,2.916594516594517,9.563142925380094e-08
21,DB neuron(WBbt:0005274),1.1636651494161885,5.0,4.296768707482993,0.01635980580452935
22,nerve ring neuron(WBbt:0006974),8.727488620621413,17.0,1.9478684807256235,0.029891359835522303
23,head neuron(WBbt:0006751),45.0920245398773,60.0,1.3306122448979592,0.018166296053013876
24,AIAL(WBbt:0003989),0.5194933702750841,3.0,5.774857142857143,0.024265836118222625
25,PVM(WBbt:0004086),1.2260043538491985,13.0,10.603551251008879,3.4083336225672167e-10
26,pharyngeal motor neuron(WBbt:0003677),1.371462497526222,7.0,5.104040404040404,0.0011447320238375687
27,SIAVL(WBbt:0004985),0.5402731050860875,3.0,5.552747252747253,0.027596896685370846
28,BDUL(WBbt:0003812),0.7688501880071245,6.0,7.803861003861004,0.00018874184260430702
29,lumbar ganglion right(WBbt:0005601),6.524836730655056,38.0,5.823900515620261,2.9433239839356584e-19
30,PVCR(WBbt:0004092),0.8935285968731447,5.0,5.59579180509413,0.003919504993954225
31,sensory neuron(WBbt:0005759),16.831585196912727,51.0,3.030017636684303,4.047619333089049e-14
32,lumbar ganglion left(WBbt:0005098),6.337819117356026,37.0,5.837970335675254,6.356766171279433e-19
33,male gonad(WBbt:0006794),2.0779734811003365,7.0,3.3686666666666665,0.016663842854947528
34,cholinergic neuron(WBbt:0006840),7.0651098357411435,17.0,2.4061904761904764,0.0034127804708202134
35,VB neuron(WBbt:0005336),0.976647536117158,4.0,4.09564336372847,0.0334159053016904
36,pharyngeal neuron(WBbt:0005439),5.423510785671878,17.0,3.1345010034665206,0.00013080170742252109
37,FLPR(WBbt:0004797),0.7272907183851177,11.0,15.124625850340136,1.0741001189602088e-10
38,pharyngeal nervous system(WBbt:0005440),5.444290520482881,17.0,3.122537259178481,0.00013314631818437005
39,posterior lateral right ganglion(WBbt:0005463),2.2649910943993667,15.0,6.6225425950196595,2.0646810457270414e-08
40,ALMR(WBbt:0003953),1.8701761329903028,23.0,12.298306878306878,4.489279876287697e-19
41,DA neuron(WBbt:0005278),1.413021967148229,5.0,3.5385154061624644,0.0334159053016904
42,AVM(WBbt:0003832),1.4961409063922422,21.0,14.036111111111111,6.356766171279433e-19
43,NSML(WBbt:0004457),1.0182070057391648,8.0,7.856948493683188,1.535801988746343e-05
44,posterior lateral left ganglion(WBbt:0005464),3.5117751830595685,26.0,7.403663003663004,1.1546561356938874e-15
45,VA neuron(WBbt:0005339),1.080546210172175,4.0,3.7018315018315016,0.04561823481029532
46,CEPVL(WBbt:0004933),0.685731248763111,3.0,4.3748917748917755,0.04826815652526693
47,sperm(WBbt:0006798),1.9117356026123096,8.0,4.184679089026915,0.0020592923402112866
48,neuron(WBbt:0003679),58.37027508410845,83.0,1.4219566359829798,3.2077425915673954e-06
49,lumbar right ganglion neuron(WBbt:0005600),6.254700178112013,38.0,6.075431102673628,1.0067908862135329e-19
50,lumbar left ganglion neuron(WBbt:0005097),6.046902830001979,37.0,6.118834887907052,2.290223781978885e-19
51,NSMR(WBbt:0004446),1.0182070057391648,8.0,7.856948493683188,1.535801988746343e-05
52,AIAR(WBbt:0003987),0.5402731050860875,3.0,5.552747252747253,0.027596896685370846
53,SIAVR(WBbt:0004983),0.5402731050860875,3.0,5.552747252747253,0.027596896685370846
54,PDEL(WBbt:0004383),0.9350880664951514,4.0,4.2776719576719575,0.029891359835522303
55,postdeirid sensillum left(WBbt:0006969),0.9974272709281615,4.0,4.01031746031746,0.03490537060843705
56,PVCL(WBbt:0004094),0.8727488620621413,5.0,5.729024943310658,0.003615226913127071
57,anterior ganglion (post)(WBbt:0005371),4.467642984365724,10.0,2.238316722037652,0.049448813456655916
58,terminal bulb(WBbt:0003732),4.13516722738967,15.0,3.627422828427853,6.966178535433539e-05
59,body region(WBbt:0005738),88.52167029487433,100.0,1.1296668902302707,0.0020592923402112866
60,PLMR(WBbt:0004103),1.8286166633682959,27.0,14.765259740259742,3.2027352090027685e-24
61,metacorpus(WBbt:0003711),3.4286562438155554,13.0,3.791572871572871,0.0001446418218703741
62,RMEL(WBbt:0005025),0.5610528398970908,3.0,5.347089947089948,0.029891359835522303
63,dorsal ganglion(WBbt:0005214),2.5766871165644174,9.0,3.4928571428571424,0.003906235657550747
