#GABAergic_neuron_specific_
,Tissue,Expected,Observed,Fold Change,Q value
0,SMDDL(WBbt:0004972),0.9016425885612508,7.0,7.7636084284460045,3.297585020931017e-05
1,male-specific(WBbt:0005757),5.0916287354047105,13.0,2.5532105099502487,0.0036144354970550976
2,AS neuron(WBbt:0005334),0.7690480902434198,6.0,7.801852804940813,9.571189380331855e-05
3,embryonic cell(WBbt:0007028),25.086879081733624,50.0,1.9930737433340695,2.1201469248225382e-06
4,serotonergic neuron(WBbt:0006837),6.1789036216109245,20.0,3.2368201908910383,1.3248686874644518e-05
5,pharyngeal segment(WBbt:0005789),7.345735206807837,20.0,2.7226682472115953,0.0001210933734596476
6,RMDVL(WBbt:0005031),0.6894913912527212,6.0,8.702066590126291,5.0778340714382455e-05
7,uterine-vulval cell(WBbt:0006790),0.8220858895705522,4.0,4.865671641791045,0.007659135101231288
8,PVDL(WBbt:0004090),1.8032851771225016,5.0,2.7727172958735733,0.04827986241043858
9,ganglion(WBbt:0005189),47.25667920047496,86.0,1.8198485686047876,1.0507367579453575e-10
10,lateral ganglion right neuron(WBbt:0005100),12.782109637838909,38.0,2.972905183625441,2.734969639567271e-09
11,ALML(WBbt:0003954),2.4132198693845237,7.0,2.900688863375431,0.01616523714269892
12,Cell(WBbt:0004017),113.79259845636255,126.0,1.1072776411579948,0.002145802203104358
13,RIMR(WBbt:0005053),0.6894913912527212,5.0,7.251722158438576,0.0004632281199618056
14,PVDR(WBbt:0004088),1.8032851771225016,5.0,2.7727172958735733,0.04827986241043858
15,SIA(WBbt:0005361),0.7160102909162873,3.0,4.189883913764511,0.03041148563697906
16,RIML(WBbt:0003926),0.6894913912527212,5.0,7.251722158438576,0.0004632281199618056
17,lateral ganglion left neuron(WBbt:0005102),12.808628537502473,38.0,2.9667501004295294,2.7440291226087733e-09
18,tail(WBbt:0005741),44.392638036809814,70.0,1.5768380320619126,2.2753044388401927e-05
19,amphid left sensillum(WBbt:0005395),11.58875915297843,27.0,2.32984391543427,9.302311493770083e-05
20,RMED(WBbt:0005027),0.7955669899069859,10.0,12.569651741293532,3.6073646912419098e-09
21,ventral ganglion (ant)(WBbt:0005266),2.7579655650108847,16.0,5.801377726750861,3.5650127822866094e-08
22,RMER(WBbt:0005023),0.7160102909162873,8.0,11.173023770038697,4.523768046690493e-07
23,OL lateral left sensillum(WBbt:0005510),1.2198693845240451,6.0,4.918559377027904,0.001492765780131185
