#dopaminergic-neurons_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,SMDDL(WBbt:0004972),1.271719770433406,4.0,3.1453470276999687,0.02482095771974001
1,male-specific(WBbt:0005757),7.181476350682764,28.0,3.8989197530864192,1.0494360920825291e-09
2,ABalapapp(WBbt:0006132),1.0472986344745696,3.0,2.8645124716553285,0.049209476670205164
3,embryonic cell(WBbt:0007028),35.38373243617653,67.0,1.8935255098045796,6.860026280407689e-08
4,MSpppa(WBbt:0006479),1.0847021571343758,4.0,3.687648239372377,0.014383292697372076
5,ray 9 left(WBbt:0006967),1.42133386107263,12.0,8.442773600668337,5.8354050915133146e-09
6,AFDR(WBbt:0003991),2.019790223629527,6.0,2.9706055261610818,0.013334386490406325
7,serotonergic neuron(WBbt:0006837),8.715020779734811,23.0,2.6391216477053385,2.404769093362351e-05
8,PVDL(WBbt:0004090),2.543439540866812,6.0,2.3590102707749763,0.03696381768263379
9,IL sensillum left(WBbt:0005123),1.6457549970314664,6.0,3.645743145743146,0.004786195277955821
10,ganglion(WBbt:0005189),66.65307737977439,123.0,1.845376160190975,3.1197838208639987e-16
11,lateral ganglion right neuron(WBbt:0005100),18.02849792202652,44.0,2.440580473775494,2.9365273410782792e-08
12,ABalppppa(WBbt:0006316),1.0098951118147634,3.0,2.9706055261610818,0.04514008407319533
13,R3AL(WBbt:0004036),0.9350880664951514,9.0,9.624761904761904,6.860026280407689e-08
14,nerve ring(WBbt:0006749),23.60162279833762,51.0,2.160868362136191,8.50528328115708e-08
15,Cell(WBbt:0004017),160.49851573322778,177.0,1.102813936885249,0.0002355489095200307
16,ASJR(WBbt:0003885),2.9922818127844844,12.0,4.01031746031746,3.364335299035043e-05
17,ray 8 right(WBbt:0006966),1.42133386107263,11.0,7.739209133945977,5.194326929668801e-08
18,AWBL(WBbt:0003829),2.767860676825648,8.0,2.8903188903188903,0.00663383383228374
19,PVDR(WBbt:0004088),2.543439540866812,6.0,2.3590102707749763,0.03696381768263379
20,R9AR(WBbt:0003970),1.0472986344745696,10.0,9.548374905517763,1.9095937905257705e-08
21,SIA(WBbt:0005361),1.0098951118147634,6.0,5.9412110523221635,0.00020212561605295625
22,AUAL(WBbt:0003872),1.2343162477735998,5.0,4.050825717492384,0.005213342089034338
23,ray 5 right(WBbt:0006960),1.4961409063922422,12.0,8.02063492063492,1.0149970938676398e-08
24,R9AL(WBbt:0003971),1.0472986344745696,10.0,9.548374905517763,1.9095937905257705e-08
25,PHBL(WBbt:0004364),3.254106471403127,16.0,4.91686431916317,1.003342114831087e-07
26,post-embryonic cell(WBbt:0007030),7.817336235899465,22.0,2.814257866889446,1.2740549283681073e-05
27,ADFL(WBbt:0004003),3.0296853354442908,14.0,4.620941929583904,1.23282034182761e-06
28,OL quadrant dorsal right sensillum(WBbt:0005507),1.6457549970314664,15.0,9.114357864357865,3.2252879339538525e-11
29,R1AR(WBbt:0004050),0.9350880664951514,9.0,9.624761904761904,6.860026280407689e-08
30,Dpp(WBbt:0006199),0.9724915891549575,3.0,3.0848595848595846,0.04022092249955297
31,R1BL(WBbt:0004048),1.1221056797941817,11.0,9.802998236331568,3.967469900555011e-09
32,R7AL(WBbt:0004006),0.9724915891549575,10.0,10.282865282865282,8.516478344216265e-09
33,R8AR(WBbt:0003992),1.0098951118147634,9.0,8.911816578483245,1.433704054683823e-07
34,MSapp(WBbt:0006036),1.271719770433406,4.0,3.1453470276999687,0.02482095771974001
35,postdeirid sensillum left(WBbt:0006969),1.795369087670691,19.0,10.582782186948853,3.3928560546739488e-15
36,ray 2 right(WBbt:0006947),1.42133386107263,11.0,7.739209133945977,5.194326929668801e-08
37,tail(WBbt:0005741),62.61349693251533,104.0,1.6609837350578092,1.6398871514309477e-09
38,amphid left sensillum(WBbt:0005395),16.34533940233525,37.0,2.263642197280641,2.6099738292094147e-06
39,ABalpapaa(WBbt:0006386),1.0098951118147634,3.0,2.9706055261610818,0.04514008407319533
40,RMED(WBbt:0005027),1.1221056797941817,4.0,3.564726631393298,0.016219725557144068
41,Cppp(WBbt:0006268),1.4587373837324362,4.0,2.7420974087640753,0.038963880929544586
42,ray 4 right(WBbt:0006958),1.3465268157530181,11.0,8.169165196942973,2.9365273410782792e-08
43,ventral ganglion (ant)(WBbt:0005266),3.88996635661983,17.0,4.370217745217745,2.4053099518226233e-07
44,ADER(WBbt:0004007),1.1969127251137937,12.0,10.025793650793652,7.505610453842576e-10
45,AWCR(WBbt:0003826),4.07698396991886,10.0,2.452793553710985,0.00927506424343862
46,PDER(WBbt:0004382),1.6831585196912726,19.0,11.28830099941211,8.26763709133363e-16
47,R7BL(WBbt:0004001),1.1595092024539877,11.0,9.486772486772487,5.49656368242388e-09
48,OL lateral left sensillum(WBbt:0005510),1.7205620423510786,13.0,7.555670577409708,6.896471541359855e-09
49,PLML(WBbt:0004104),3.328913516722739,8.0,2.403186493074134,0.018759755877467234
50,R5BL(WBbt:0004022),1.1969127251137937,11.0,9.190310846560848,7.721669578885692e-09
51,Caapa(WBbt:0006123),1.42133386107263,4.0,2.814257866889446,0.03696381768263379
52,FLPL(WBbt:0004798),1.309123293093212,7.0,5.347089947089947,0.0001609363845837391
53,cephalic sensillum ventral left(WBbt:0006924),1.5709479517118545,21.0,13.367724867724867,3.634916437481607e-19
54,retrovesicular ganglion neuron(WBbt:0005403),3.6655452206609938,8.0,2.182485692689774,0.0312943226414179
55,lateral ganglion left(WBbt:0005103),18.140708490005938,44.0,2.4254840997109035,3.315269363017392e-08
56,Caap(WBbt:0005921),1.383930338412824,5.0,3.6128986128986127,0.008969911905582493
57,HSNR(WBbt:0004757),4.002176924599248,8.0,1.998912129753251,0.04671871308471008
58,CANR(WBbt:0004947),2.6930536315060363,7.0,2.5992798353909463,0.017671720570837345
59,ray 3 left(WBbt:0006955),1.3465268157530181,11.0,8.169165196942973,2.9365273410782792e-08
60,phasmid left sensillum(WBbt:0005431),4.451019196516921,18.0,4.044017607042817,3.5897094213105264e-07
61,ABprpapa(WBbt:0006259),1.271719770433406,4.0,3.1453470276999687,0.02482095771974001
62,Cppa(WBbt:0006168),1.7579655650108845,5.0,2.8441967803669934,0.02373363150308916
63,IL sensillum ventral right(WBbt:0005120),1.42133386107263,5.0,3.5178223336118073,0.010026357490744682
64,glutamatergic neuron(WBbt:0006829),4.26400158321789,14.0,3.2833008447043537,9.034605966357346e-05
65,CEPVR(WBbt:0004931),1.271719770433406,20.0,15.726735138499842,4.812600663880175e-20
66,R9BR(WBbt:0003966),1.0847021571343758,11.0,10.141032658274035,2.712514453558769e-09
67,motor neuron(WBbt:0005409),16.38274292499505,33.0,2.0143147060955284,0.00012434953248215106
68,OL lateral right sensillum(WBbt:0005509),1.7579655650108845,13.0,7.3949116289541825,8.516478344216265e-09
69,R5AL(WBbt:0004024),0.9724915891549575,10.0,10.282865282865282,8.516478344216265e-09
70,ADEL(WBbt:0004009),1.1969127251137937,12.0,10.025793650793652,7.505610453842576e-10
71,posterior lateral left ganglion(WBbt:0005464),6.321195329507224,30.0,4.7459378228609,1.6469243749156093e-12
72,interneuron(WBbt:0005113),19.749059964377597,39.0,1.9747775372775374,3.833677258816397e-05
73,MSappp(WBbt:0006125),1.271719770433406,5.0,3.9316837846249606,0.006097364337511099
74,ABprappa(WBbt:0006269),1.42133386107263,4.0,2.814257866889446,0.03696381768263379
75,ADLL(WBbt:0003997),3.9273698792796354,17.0,4.328596623834719,2.7278840391318926e-07
76,DB neuron(WBbt:0005274),2.0945972689491392,7.0,3.3419312169312168,0.004491400570507167
77,OLLL(WBbt:0004445),1.4587373837324362,13.0,8.911816578483245,8.773637729298867e-10
78,ABplapaa(WBbt:0006730),1.1969127251137937,4.0,3.341931216931217,0.020005604665548717
79,Capp(WBbt:0006098),1.4587373837324362,4.0,2.7420974087640753,0.038963880929544586
80,IL sensillum dorsal right(WBbt:0005124),1.309123293093212,5.0,3.819349962207105,0.006827408203222135
81,ABpraapa(WBbt:0006302),1.4587373837324362,5.0,3.4276217609550943,0.011100555335903314
82,neuronal sheath cell(WBbt:0005811),2.880071244805066,10.0,3.472136329279187,0.0005306104036601818
83,ray 7 right(WBbt:0006964),1.4961409063922422,12.0,8.02063492063492,1.0149970938676398e-08
84,ALNR(WBbt:0003937),1.1595092024539877,4.0,3.4497354497354498,0.018284655999257597
85,Cpap(WBbt:0006628),1.0472986344745696,4.0,3.819349962207105,0.01254039215064869
86,R5AR(WBbt:0004023),0.9724915891549575,10.0,10.282865282865282,8.516478344216265e-09
87,ASIR(WBbt:0003887),5.199089649713042,11.0,2.11575501503559,0.01849819587492985
88,R6BL(WBbt:0004014),1.0847021571343758,10.0,9.219120598430942,2.8882399876067677e-08
89,ventral nerve cord(WBbt:0005829),17.05600633287156,27.0,1.5830200501253133,0.01849819587492985
90,head neuron(WBbt:0006751),81.16564417177915,126.0,1.5523809523809522,1.4469319301462253e-10
91,head motor neuron(WBbt:0008610),5.086879081733624,17.0,3.3419312169312168,1.2638154494404649e-05
92,ALML(WBbt:0003954),3.4037205620423507,7.0,2.0565730565730567,0.04921248879423464
93,PHAR(WBbt:0004365),3.254106471403127,15.0,4.609560299215471,5.405957680867127e-07
94,ABplaaap(WBbt:0006478),1.1221056797941817,4.0,3.564726631393298,0.016219725557144068
95,ABprpappp(WBbt:0005847),1.383930338412824,4.0,2.8903188903188903,0.03380682304853468
96,AIAL(WBbt:0003989),0.9350880664951514,3.0,3.208253968253968,0.03696381768263379
97,ALNL(WBbt:0003939),1.1595092024539877,4.0,3.4497354497354498,0.018284655999257597
98,IL sensillum right(WBbt:0005122),1.6457549970314664,6.0,3.645743145743146,0.004786195277955821
99,ASIL(WBbt:0003888),5.199089649713042,11.0,2.11575501503559,0.01849819587492985
100,Capa(WBbt:0006444),1.5335444290520481,4.0,2.608336559556072,0.045536859280820685
101,SDQL(WBbt:0004993),1.3465268157530181,6.0,4.455908289241622,0.0013792997731637508
102,sensillum(WBbt:0006929),31.75559073817534,83.0,2.6137129894491498,5.850835081942048e-18
103,diagonal muscle(WBbt:0005815),0.9350880664951514,3.0,3.208253968253968,0.03696381768263379
104,AUAR(WBbt:0003871),1.1969127251137937,5.0,4.177414021164021,0.004516806991707805
105,AIMR(WBbt:0003969),1.0098951118147634,4.0,3.960807368214776,0.010981956812088918
106,ABarapap(WBbt:0006334),1.1969127251137937,4.0,3.341931216931217,0.020005604665548717
107,ray 1 left(WBbt:0006944),1.383930338412824,11.0,7.948376948376948,3.768378094683021e-08
108,OLQDR(WBbt:0004438),1.309123293093212,14.0,10.694179894179895,1.1106930264407473e-11
109,OLLR(WBbt:0004444),1.4961409063922422,13.0,8.689021164021165,1.2313787996933145e-09
110,R5BR(WBbt:0004021),1.1969127251137937,11.0,9.190310846560848,7.721669578885692e-09
111,AIML(WBbt:0003983),1.0098951118147634,4.0,3.960807368214776,0.010981956812088918
112,AVDR(WBbt:0003865),1.0847021571343758,4.0,3.687648239372377,0.014383292697372076
