#dopaminergic-neurons_larva_enriched_W
,Tissue,Expected,Observed,Fold Change,Q value
0,SMDDL(WBbt:0004972),2.7452998218879876,7.0,2.5498125720876583,0.018900789996396376
1,male-specific(WBbt:0005757),15.502869582426282,29.0,1.8706214256535947,0.0026364921494420384
2,embryonic cell(WBbt:0007028),76.38393033841282,112.0,1.4662769970567509,3.63915492731895e-05
3,ray 9 left(WBbt:0006967),3.068276271521868,8.0,2.607327141382869,0.011841099298650782
4,AFDR(WBbt:0003991),4.360182070057391,10.0,2.2934822076978945,0.013967699052228194
5,serotonergic neuron(WBbt:0006837),18.81337819117356,37.0,1.9666856012791385,0.00023912316829688678
6,pharyngeal segment(WBbt:0005789),22.36611913714625,34.0,1.5201564380264743,0.018747242933504944
7,uterine-vulval cell(WBbt:0006790),2.503067484662577,7.0,2.7965686274509802,0.01155806898751862
8,ADEL(WBbt:0004009),2.5838115970710467,15.0,5.805376838235294,1.7459805157670335e-08
9,ganglion(WBbt:0005189),143.8860083118939,218.0,1.515088246297397,1.1102635905217423e-13
10,lateral ganglion right neuron(WBbt:0005100),38.91866218088265,68.0,1.7472337482710925,1.4177252454537296e-05
11,ALML(WBbt:0003954),7.347714229170789,16.0,2.177547942253825,0.00473853120285855
12,Cell(WBbt:0004017),346.47298634474566,368.0,1.062131867428864,0.0035009795555896455
13,ASJR(WBbt:0003885),6.459528992677617,14.0,2.16734068627451,0.007955232821518715
14,ray 8 right(WBbt:0006966),3.068276271521868,7.0,2.28141124871001,0.0347683240248689
15,AWBL(WBbt:0003829),5.975064318226796,12.0,2.0083465818759936,0.02234175570910213
16,PVDR(WBbt:0004088),5.490599643775975,13.0,2.3676831026528258,0.0049744161589223455
17,R9AR(WBbt:0003970),2.260835147437166,8.0,3.538515406162465,0.002305290999930248
18,R9AL(WBbt:0003971),2.260835147437166,8.0,3.538515406162465,0.002305290999930248
19,PHBL(WBbt:0004364),7.024737779536909,17.0,2.4200191570881224,0.0016480278968519595
20,ADFL(WBbt:0004003),6.540273105086087,13.0,1.9876845800048415,0.01931872333233202
21,OL quadrant dorsal right sensillum(WBbt:0005507),3.552740945972689,14.0,3.940619429590018,1.4732679429245694e-05
22,R1AR(WBbt:0004050),2.0186028102117555,7.0,3.4677450980392157,0.0038526902509907522
23,R7AL(WBbt:0004006),2.0993469226202257,7.0,3.334370286576169,0.004551919498608223
24,R8AR(WBbt:0003992),2.1800910350286955,7.0,3.2108750907770522,0.00535234722123683
25,posterior lateral left ganglion(WBbt:0005464),13.645754997031466,36.0,2.6381830838844413,2.861950759732607e-07
26,postdeirid sensillum left(WBbt:0006969),3.8757173956065705,18.0,4.6443014705882355,4.762413859360594e-08
27,ray 2 right(WBbt:0006947),3.068276271521868,8.0,2.607327141382869,0.011841099298650782
28,lateral ganglion left neuron(WBbt:0005102),38.999406293291116,68.0,1.743616287094548,1.4732679429245694e-05
29,tail(WBbt:0005741),135.16564417177912,182.0,1.3464960058097315,4.103964078255303e-06
30,amphid left sensillum(WBbt:0005395),35.28517712250149,58.0,1.6437497195674606,0.00047755737375342565
31,ray 4 right(WBbt:0006958),2.9067880467049276,7.0,2.408156318082789,0.025923947355300108
32,ventral ganglion (ant)(WBbt:0005266),8.397387690480903,18.0,2.1435237556561084,0.0038526902509907522
33,ADER(WBbt:0004007),2.5838115970710467,15.0,5.805376838235294,1.7459805157670335e-08
34,PDER(WBbt:0004382),3.6334850583811598,18.0,4.953921568627451,1.7459805157670335e-08
35,R7BL(WBbt:0004001),2.503067484662577,8.0,3.1960784313725488,0.0038526902509907522
36,OL lateral left sensillum(WBbt:0005510),3.71422917078963,11.0,2.9615835464620632,0.002083973466108735
37,R1BL(WBbt:0004048),2.422323372254106,8.0,3.3026143790849676,0.0035009795555896455
38,uv1(WBbt:0006791),2.1800910350286955,6.0,2.7521786492374734,0.018747242933504944
39,R5BL(WBbt:0004022),2.5838115970710467,8.0,3.0962009803921573,0.004551919498608223
40,FLPL(WBbt:0004798),2.8260439342964574,7.0,2.4769607843137256,0.02234175570910213
