#enriched_in_PVD_OLL_W
,Tissue,Expected,Observed,Fold Change,Q value
0,SMDDL(WBbt:0004972),6.641203245596675,13.0,1.9574766076643424,0.007179136021778741
1,ABplpaap(WBbt:0006077),7.031862260043539,12.0,1.7065180682201957,0.02569919222834457
2,ABalpappp(WBbt:0006459),5.273896695032653,11.0,2.085744305602462,0.006753648024817643
3,ABprpaapa(WBbt:0006047),6.445873738373243,14.0,2.171932086825704,0.0024168413524700287
4,ABplaapap(WBbt:0005887),7.031862260043539,14.0,1.9909377462568951,0.005133561994043253
5,MSaapa(WBbt:0006536),5.664555709479518,11.0,1.9418998707333261,0.011948556218417861
6,pm3(WBbt:0003740),7.422521274490402,12.0,1.616701327787554,0.03927663932203448
7,ABalapapp(WBbt:0006132),5.469226202256086,12.0,2.194094659140252,0.003690818800717709
8,ABarpppap(WBbt:0006251),6.641203245596675,14.0,2.1080517313308302,0.0031847742502411945
9,ABplpapap(WBbt:0006177),5.859885216702948,14.0,2.3891252955082742,0.0010284080555374758
10,embryonic cell(WBbt:0007028),184.78171383336633,218.0,1.1797704192558225,0.003799624876095744
11,smooth muscle(WBbt:0005781),82.42905204828814,109.0,1.3223493087867395,0.0017220244214288265
12,ABprppppp(WBbt:0005983),6.836532752820107,14.0,2.047821681864235,0.0039454983791947
13,intestine(WBbt:0005772),467.032851771225,508.0,1.0877179155029606,0.004605458707090909
14,ABalpappa(WBbt:0005924),5.664555709479518,14.0,2.4715089263878696,0.0007546296999915208
15,P3.p hermaphrodite(WBbt:0008112),12.305758955076191,23.0,1.8690435985268814,0.0019908891906779275
16,P5.pp(WBbt:0007255),5.859885216702948,13.0,2.218473488686255,0.0025527378208775355
17,ABprppapa(WBbt:0006092),5.078567187809222,12.0,2.36287117138181,0.0019908891906779275
18,ABplaaapa(WBbt:0006680),8.203839303384129,15.0,1.8284122159502096,0.009018883120432874
19,hyp7 syncytium(WBbt:0005734),28.71343756184445,40.0,1.3930759740573027,0.01595725128976473
20,V6R(WBbt:0004874),4.883237680585791,12.0,2.457386018237082,0.0013860230106770624
21,PVDL(WBbt:0004090),13.28240649119335,38.0,2.8609273496632697,3.2847164695530343e-10
22,Eplp(WBbt:0006496),9.180486839501286,17.0,1.8517536484942552,0.005601570878501438
23,P5.p(WBbt:0006893),13.868395012863646,27.0,1.9468727257159981,0.0006209294429551027
24,MSpapa(WBbt:0006672),5.664555709479518,12.0,2.118436222618174,0.004719773068792807
25,ganglion(WBbt:0005189),348.0771818721551,446.0,1.2813250141855344,2.9377894167602914e-11
26,ABalapap(WBbt:0006562),6.0552147239263805,12.0,1.9817629179331306,0.008158595171621189
27,ABalppppa(WBbt:0006316),5.273896695032653,11.0,2.085744305602462,0.006753648024817643
28,ABarpaaap(WBbt:0006499),4.883237680585791,12.0,2.457386018237082,0.0013860230106770624
29,ALML(WBbt:0003954),17.774985157332278,35.0,1.9690593094848414,0.00010102906432237463
