#excretory-cell_larva_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,excretory system(WBbt:0005736),15.49574510191965,80.0,5.162707535121329,3.766990966500341e-38
1,rectal gland cell(WBbt:0005799),8.918662180882643,20.0,2.242488794212932,0.013976781896991253
2,amphid sheath cell(WBbt:0006754),1.101919651692064,7.0,6.352550287356323,0.0011710321123241496
3,rectum(WBbt:0005773),18.04393429645755,43.0,2.3830722997279987,1.4534249539642398e-06
4,socket cell(WBbt:0005750),2.961409063922422,9.0,3.039093825180433,0.03712300433072692
5,neuronal sheath cell(WBbt:0005811),2.6514941618840293,11.0,4.148604269293925,0.0011710321123241496
6,extracellular component(WBbt:0005732),5.302988323768059,30.0,5.657187639946261,6.060998475304428e-14
7,virL(WBbt:0004511),1.274094597268949,6.0,4.709226467847158,0.014657465853498962
8,virR(WBbt:0004510),1.274094597268949,6.0,4.709226467847158,0.014657465853498962
9,excretory canal(WBbt:0005775),2.8925390856916686,27.0,9.33435960591133,1.2191330893633601e-18
10,interfacial epithelial cell(WBbt:0005754),11.122501484266772,24.0,2.157787979075478,0.00784481795912931
11,accessory cell(WBbt:0005762),5.234118345537304,15.0,2.865812159709619,0.00538692233033299
