#germline-precursors_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,hyp7 syncytium(WBbt:0005734),7.942014644765486,17.0,2.140514813984202,0.033548769547281296
1,Z3(WBbt:0004575),2.4852562833960024,14.0,5.633221850613155,5.032363329644497e-06
2,P0(WBbt:0004422),1.5127646942410449,8.0,5.288330716902146,0.0009178358493255571
3,oocyte(WBbt:0006797),7.887987334256877,17.0,2.1551758743539566,0.03285394679642905
4,germ cell(WBbt:0006796),12.426281416980013,26.0,2.0923395445134574,0.004737567357224081
5,Z2(WBbt:0004576),2.4852562833960024,14.0,5.633221850613155,5.032363329644497e-06
6,somatic blastomere(WBbt:0008447),2.59331090441322,12.0,4.627289377289377,0.00014783755015009085
7,ABa(WBbt:0005906),1.5127646942410449,8.0,5.288330716902146,0.0009178358493255571
8,EMS(WBbt:0006876),1.5127646942410449,6.0,3.966248037676609,0.024691781226672007
9,hypodermis(WBbt:0005733),81.04096576291313,110.0,1.3573382173382171,0.0025578200907693006
10,Psub3(WBbt:0006875),1.5127646942410449,8.0,5.288330716902146,0.0009178358493255571
11,ABp(WBbt:0005994),1.5127646942410449,8.0,5.288330716902146,0.0009178358493255571
12,epithelial system(WBbt:0005730),89.90144468632496,116.0,1.290301845590307,0.012967894613393103
13,Psub1(WBbt:0006874),1.72887393627548,9.0,5.205700549450549,0.0004497712457982423
14,AB(WBbt:0004015),1.7829012467840886,10.0,5.6088356088356095,0.00013990262403351534
15,Psub2(WBbt:0006873),1.5667920047496537,8.0,5.10597448528483,0.0009178358493255571
16,Psub4(WBbt:0004421),1.3506827627152187,8.0,5.922930402930403,0.0004388847941069849
