#germline_specific_W
,Tissue,Expected,Observed,Fold Change,Q value
0,ABplaapap(WBbt:0005887),3.9255887591529786,9.0,2.292649727767695,0.029362030874827364
1,P3.p hermaphrodite(WBbt:0008112),6.869780328517712,14.0,2.03791086912684,0.029273064729632838
2,ABplaaapa(WBbt:0006680),4.579853552345142,11.0,2.4018235243280612,0.023793814601627186
3,P5.p(WBbt:0006893),7.742133386107263,14.0,1.8082871092252242,0.044229778962653725
4,MSpapa(WBbt:0006672),3.162279833762122,8.0,2.529820389260905,0.029273064729632838
5,ABplaaaaa(WBbt:0006348),3.9255887591529786,9.0,2.292649727767695,0.029362030874827364
6,ABalapap(WBbt:0006562),3.3803680981595092,9.0,2.6624319419237747,0.023793814601627186
7,ABarpppaa(WBbt:0006041),3.598456362556897,10.0,2.7789693669911455,0.02072408589123205
8,ABarppapp(WBbt:0006240),3.8165446269542844,10.0,2.6201711174487947,0.023072237826206307
9,ABarpppa(WBbt:0006689),3.162279833762122,8.0,2.529820389260905,0.029273064729632838
10,ABpraapap(WBbt:0006062),3.7075004947555907,8.0,2.157787979075478,0.045634586552753695
11,ABplaapaa(WBbt:0005866),3.9255887591529786,9.0,2.292649727767695,0.029362030874827364
12,Z3(WBbt:0004575),5.016030081139917,17.0,3.389134380178332,3.6530115202259066e-05
13,P0(WBbt:0004422),3.0532357015634277,11.0,3.6027352864920923,0.0007609266486882073
14,ABpraaap(WBbt:0006534),3.598456362556897,9.0,2.501072430292031,0.026500528042493296
15,oocyte(WBbt:0006797),15.920443301009302,40.0,2.512492852348159,1.0212984372792035e-06
16,ABarppapa(WBbt:0006529),3.271323965960815,8.0,2.4454930429522084,0.029273064729632838
17,ABarpaapp(WBbt:0006620),3.7075004947555907,9.0,2.4275114764599124,0.029273064729632838
18,P8.p(WBbt:0006896),7.0878685929151,14.0,1.9752059193075526,0.029273064729632838
19,MSaappa(WBbt:0006200),2.83514743716604,7.0,2.469007399134441,0.03306744418839874
20,ABarpapa(WBbt:0006603),3.7075004947555907,8.0,2.157787979075478,0.045634586552753695
21,ABplaaaap(WBbt:0006625),3.7075004947555907,9.0,2.4275114764599124,0.029273064729632838
22,ABarpaaa(WBbt:0006398),4.906985948941223,10.0,2.03791086912684,0.04058870504509059
23,germ cell(WBbt:0006796),25.080150405699584,70.0,2.7910518424998028,1.4428841758030815e-14
24,ABprapaa(WBbt:0006163),3.3803680981595092,9.0,2.6624319419237747,0.023793814601627186
25,ABplppap(WBbt:0006028),4.143677023550366,9.0,2.1719839526220266,0.036952548920048595
26,ABalaaap(WBbt:0005982),4.034632891351672,10.0,2.4785402462353465,0.023793814601627186
27,ABaraaaa(WBbt:0006360),4.034632891351672,10.0,2.4785402462353465,0.023793814601627186
28,P7.p(WBbt:0006895),7.851177518305957,14.0,1.783172010485985,0.04816152824802063
29,P3.p(WBbt:0006891),6.978824460716406,14.0,2.0060685117967334,0.029273064729632838
30,P4.p hermaphrodite(WBbt:0008117),6.869780328517712,14.0,2.03791086912684,0.029273064729632838
31,ABa(WBbt:0005906),3.0532357015634277,14.0,4.58529945553539,4.9588115845153835e-06
32,ABprpapa(WBbt:0006259),3.7075004947555907,9.0,2.4275114764599124,0.029273064729632838
33,AB(WBbt:0004015),3.598456362556897,17.0,4.724247923884947,2.6418483618544854e-07
34,ABplpaapa(WBbt:0006115),3.598456362556897,8.0,2.223175493592916,0.040491545718064646
