#hypodermis_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,MSaapa(WBbt:0006536),1.1019196516920642,4.0,3.630028735632184,0.027640252514825447
1,Cppp(WBbt:0006268),1.4818919453789827,5.0,3.374065170940171,0.023492831046207457
2,MSpppa(WBbt:0006479),1.1019196516920642,4.0,3.630028735632184,0.027640252514825447
3,hyp7 syncytium(WBbt:0005734),5.585592717197704,22.0,3.9387046485260773,5.732935018382297e-07
4,MSpp(WBbt:0006255),1.0259251929546802,5.0,4.873649691358025,0.006885219405524052
5,ABalapap(WBbt:0006562),1.177914110429448,5.0,4.244791666666666,0.011291565670381086
6,Capa(WBbt:0006444),1.5578864041163665,5.0,3.20947662601626,0.027123837270268368
7,ABarpppa(WBbt:0006689),1.1019196516920642,4.0,3.630028735632184,0.027640252514825447
8,hyp6(WBbt:0004679),2.165842074015436,8.0,3.6937134502923983,0.00499673200141375
9,P1(WBbt:0006770),1.2159113397981396,5.0,4.112141927083334,0.012768081801433562
10,Dpp(WBbt:0006199),0.9879279635859886,6.0,6.0733173076923075,0.0016315908812791532
11,syncytium(WBbt:0008074),17.250742133386108,34.0,1.9709296989720997,0.001534849706301284
12,MSapp(WBbt:0006036),1.2919057985355236,7.0,5.418351715686274,0.001534849706301284
13,epithelial cell(WBbt:0003672),39.13714624975262,74.0,1.890786812297735,1.7945714703676602e-07
14,P3(WBbt:0006772),1.177914110429448,5.0,4.244791666666666,0.011291565670381086
15,ABplpapa(WBbt:0006087),1.4438947160102908,6.0,4.155427631578948,0.006885219405524052
16,MSaaa(WBbt:0006438),0.9879279635859886,5.0,5.061097756410256,0.006077053581955646
17,MSpaap(WBbt:0005878),1.2539085691668315,5.0,3.987531565656566,0.01437616729361022
18,Eal(WBbt:0006441),1.367900257272907,7.0,5.1173321759259265,0.0019073004338705651
19,ABarpaaa(WBbt:0006398),1.709875321591134,5.0,2.924189814814815,0.03731234768449571
20,ABprapaa(WBbt:0006163),1.177914110429448,5.0,4.244791666666666,0.011291565670381086
21,ABalaaap(WBbt:0005982),1.405897486641599,7.0,4.9790259009009015,0.002216635708124591
22,extracellular component(WBbt:0005732),5.851573322778547,12.0,2.0507305194805197,0.031226538186407877
23,ABaraaaa(WBbt:0006360),1.405897486641599,7.0,4.9790259009009015,0.002216635708124591
24,ABa(WBbt:0005906),1.0639224223233723,6.0,5.639508928571428,0.002216635708124591
25,ABprpapa(WBbt:0006259),1.2919057985355236,5.0,3.870251225490196,0.014531607397803181
26,Cppa(WBbt:0006168),1.7858697803285177,5.0,2.799756205673759,0.04309805042902366
27,seam cell(WBbt:0005753),20.02453987730061,39.0,1.9476102941176472,0.0008953493815458049
28,ABplpppp(WBbt:0006647),1.4438947160102908,5.0,3.462856359649123,0.021213819982012633
29,P11(WBbt:0004410),2.2038393033841284,7.0,3.176275143678161,0.01437616729361022
30,MSappp(WBbt:0006125),1.2919057985355236,4.0,3.0962009803921564,0.04435865650543864
31,MSapap(WBbt:0006475),1.1399168810607558,4.0,3.5090277777777783,0.029846363225215194
32,ABplaaap(WBbt:0006478),1.1399168810607558,5.0,4.386284722222223,0.00994123969464038
33,P4(WBbt:0006773),1.2919057985355236,5.0,3.870251225490196,0.014531607397803181
34,ABplapaa(WBbt:0006730),1.2159113397981396,6.0,4.934570312500001,0.0036838584727904647
35,Capp(WBbt:0006098),1.4818919453789827,5.0,3.374065170940171,0.023492831046207457
36,ABarppap(WBbt:0005859),1.1019196516920642,4.0,3.630028735632184,0.027640252514825447
37,ABpraapa(WBbt:0006302),1.4818919453789827,5.0,3.374065170940171,0.023492831046207457
38,neuronal sheath cell(WBbt:0005811),2.9257866613892736,8.0,2.7343073593073592,0.018834748115737737
39,ABprppap(WBbt:0006346),1.4438947160102908,5.0,3.462856359649123,0.021213819982012633
40,Cpapp(WBbt:0005897),1.7858697803285177,5.0,2.799756205673759,0.04309805042902366
41,MSpa(WBbt:0006142),0.9879279635859886,4.0,4.048878205128205,0.02011107657443962
42,Cpap(WBbt:0006628),1.0639224223233723,4.0,3.759672619047619,0.025309279250394008
43,MSppap(WBbt:0006383),1.1019196516920642,4.0,3.630028735632184,0.027640252514825447
44,MSaaap(WBbt:0006160),1.3299030279042152,5.0,3.7596726190476195,0.015272222476136967
45,MSaaaa(WBbt:0005894),1.2159113397981396,4.0,3.289713541666667,0.03731234768449571
46,MSppp(WBbt:0006710),1.1399168810607558,4.0,3.5090277777777783,0.029846363225215194
47,ABarpppp(WBbt:0006532),1.1399168810607558,4.0,3.5090277777777783,0.029846363225215194
48,Caap(WBbt:0005921),1.405897486641599,6.0,4.267736486486487,0.006885219405524052
49,ABarapap(WBbt:0006334),1.2159113397981396,4.0,3.289713541666667,0.03731234768449571
50,Cpapa(WBbt:0005962),1.709875321591134,5.0,2.924189814814815,0.03731234768449571
51,ABplapap(WBbt:0006424),1.1019196516920642,6.0,5.445043103448276,0.002509468551842715
52,MSaa(WBbt:0006699),0.9879279635859886,4.0,4.048878205128205,0.02011107657443962
53,somatic blastomere(WBbt:0008447),1.8238670096972096,10.0,5.482855902777778,0.00013209022111472892
