#intestine_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,intestine(WBbt:0005772),134.8575103898674,237.0,1.7574104646811508,5.821361445460179e-36
1,Eplp(WBbt:0006496),2.6509004551751434,8.0,3.0178424785367675,0.04980367159303538
2,digestive tract(WBbt:0005743),173.26736592123493,255.0,1.4717139528508771,6.191929509708954e-27
3,Eal(WBbt:0006441),2.0304769443894717,7.0,3.447465886939571,0.042838117962612686
4,Ealp(WBbt:0006546),2.3688897684543835,8.0,3.377109440267335,0.041793724787368945
5,Epr(WBbt:0006547),2.0304769443894717,7.0,3.447465886939571,0.042838117962612686
6,Eara(WBbt:0006161),2.4252919057985354,8.0,3.298572011423909,0.041793724787368945
7,alimentary system(WBbt:0005748),177.384721947358,255.0,1.4375533428165008,7.401524771110474e-25
8,Epl(WBbt:0006000),2.0304769443894717,7.0,3.447465886939571,0.042838117962612686
9,Eala(WBbt:0006104),2.2560854937660797,8.0,3.5459649122807013,0.03303387525969047
10,Ear(WBbt:0006370),1.9176726697011677,7.0,3.6502579979360164,0.041793724787368945
11,Earp(WBbt:0006646),2.4252919057985354,8.0,3.298572011423909,0.041793724787368945
12,intestinal cell(WBbt:0005792),7.501484266772215,22.0,2.9327529349690016,0.000170465540698597
13,body region(WBbt:0005738),240.27310508608747,264.0,1.0987496911292316,0.0006495729601964502
