#pharyngeal_enriched_
,Tissue,Expected,Observed,Fold Change,Q value
0,ABplpaap(WBbt:0006077),0.9404314268751237,4.0,4.2533670033670035,0.02542852246810039
1,ABalpappp(WBbt:0006459),0.7053235701563427,4.0,5.6711560044893385,0.011311842235070108
2,ABprpaapa(WBbt:0006047),0.8620621413021967,5.0,5.800045913682277,0.005363102429467395
3,pm3(WBbt:0003740),0.992677617257075,7.0,7.051634768740032,0.0002704111876560193
4,MSpapaa(WBbt:0006351),0.6792004749653672,3.0,4.416958041958042,0.039127508741750076
5,ABalpappa(WBbt:0005924),0.7575697605382942,4.0,5.280041797283176,0.01356328643423119
6,serotonergic neuron(WBbt:0006837),6.086681179497329,15.0,2.4643971907920403,0.008756736132714407
7,pharyngeal segment(WBbt:0005789),7.236097367900257,25.0,3.454900995514714,1.2410157908641557e-06
8,g1(WBbt:0003712),0.7575697605382942,6.0,7.920062695924764,0.0003278676600672875
9,ABprpapaa(WBbt:0006446),0.9404314268751237,4.0,4.2533670033670035,0.02542852246810039
10,ABalaapp(WBbt:0006553),0.8620621413021967,4.0,4.6400367309458215,0.02121720667813765
11,procorpus(WBbt:0003713),1.5412626162675638,12.0,7.785824345146379,7.116024965774629e-07
12,ABalpapaa(WBbt:0006386),0.7053235701563427,4.0,5.6711560044893385,0.011311842235070108
13,ABarapppa(WBbt:0006325),0.6530773797743914,3.0,4.593636363636364,0.03626632854155999
14,MSaaa(WBbt:0006438),0.6792004749653672,3.0,4.416958041958042,0.039127508741750076
15,ABarpaaa(WBbt:0006398),1.1755392835939047,4.0,3.4026936026936023,0.047594794480556396
16,ABaraaaa(WBbt:0006360),0.9665545220660993,4.0,4.138411138411139,0.026742021160688297
17,syncytium precursor(WBbt:0008073),2.5339402335246386,9.0,3.551780693533271,0.005594023837701536
18,marginal cell(WBbt:0003673),1.7763704729863448,10.0,5.62945632798574,8.188604176944692e-05
19,MSaapap(WBbt:0006533),0.7314466653473184,3.0,4.101461038961039,0.04638825360325407
20,MSappp(WBbt:0006125),0.8881852364931724,4.0,4.503565062388592,0.0220185271027062
21,ABpraapa(WBbt:0006302),1.0188007124480507,4.0,3.926184926184926,0.0318573632880712
22,AVKR(WBbt:0003844),0.7314466653473184,4.0,5.4686147186147185,0.012065750029209786
23,ABpraaaa(WBbt:0006442),1.0188007124480507,5.0,4.907731157731157,0.009859127650969642
24,MSppap(WBbt:0006383),0.7575697605382942,5.0,6.60005224660397,0.003243547708743036
25,MSaaap(WBbt:0006160),0.914308331684148,4.0,4.374891774891775,0.02295055205773309
26,ABprpappp(WBbt:0005847),0.9665545220660993,4.0,4.138411138411139,0.026742021160688297
27,MSaaaa(WBbt:0005894),0.835939046111221,4.0,4.785037878787879,0.01919985539121255
28,ABarapap(WBbt:0006334),0.835939046111221,5.0,5.981297348484849,0.004931465539457325
29,ABprpaaap(WBbt:0006490),0.835939046111221,5.0,5.981297348484849,0.004931465539457325
30,V cell(WBbt:0008597),1.1232930932119534,4.0,3.5609584214235377,0.04282249099204417
31,MSpppp(WBbt:0006409),0.8620621413021967,4.0,4.6400367309458215,0.02121720667813765
32,ABprpaapp(WBbt:0006605),0.8098159509202454,4.0,4.9393939393939394,0.017723936647333696
