#total_muscle_enriched_W
,Tissue,Expected,Observed,Fold Change,Q value
0,smooth muscle(WBbt:0005781),40.83870967741936,93.0,2.277251184834123,3.924804239776307e-14
1,hermaphrodite-specific(WBbt:0005758),183.38709677419357,240.0,1.308707124010554,1.0196319694955934e-06
2,anal sphincter muscle(WBbt:0005798),12.483870967741936,49.0,3.925064599483204,2.5388697926128747e-17
3,vulval muscle(WBbt:0005821),63.19354838709677,158.0,2.5002552322613583,7.141572838415592e-31
4,diagonal muscle(WBbt:0005815),2.4193548387096775,12.0,4.96,5.4682749634239685e-06
5,uterine muscle(WBbt:0005342),12.774193548387096,36.0,2.8181818181818183,7.615620720660642e-08
6,pharyngeal muscle cell(WBbt:0005451),36.87096774193549,69.0,1.8713910761154853,2.3217169041539707e-06
7,body wall musculature(WBbt:0005813),120.29032258064517,302.0,2.5105926521855726,2.0837650267666876e-74
8,head muscle(WBbt:0006761),17.129032258064516,32.0,1.8681732580037664,0.0067960898836173286
9,body muscle cell(WBbt:0007810),91.64516129032258,191.0,2.0841253079901443,2.8022147362170178e-27
10,anal depressor muscle(WBbt:0004292),41.70967741935484,119.0,2.8530549110595516,4.96483447504726e-28
11,muscular system(WBbt:0005737),178.93548387096774,346.0,1.9336578330629168,5.307154316233557e-57
12,muscle of the reproductive system(WBbt:0005786),22.838709677419356,40.0,1.751412429378531,0.006132356697139915
13,non-striated muscle(WBbt:0005780),121.16129032258064,231.0,1.9065495207667733,2.2092603288378774e-28
