,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell(WBbt:0003675),97.36363636363636,181.0,1.85901027077,6.120521988751158e-21,1.8590102707749767
1,muscular system(WBbt:0005737),130.45316205533598,255.0,1.95472456154,4.1376571729672066e-42,1.9547245615390556
2,uterine muscle(WBbt:0005342),9.31304347826087,25.0,2.68440709617,7.278473732247166e-05,2.684407096171802
3,anal sphincter muscle(WBbt:0005798),9.101383399209485,38.0,4.17518945563,9.270245187389662e-14,4.175189455627213
4,pharyngeal muscle cell(WBbt:0005451),26.88083003952569,52.0,1.93446407434,4.94469874408491e-05,1.9344640743436483
5,body wall musculature(WBbt:0005813),87.69782608695652,232.0,2.64544755955,1.086095006652861e-61,2.6454475595547953
6,vulval muscle(WBbt:0005821),46.07134387351779,116.0,2.51783408616,3.3945828668627244e-22,2.5178340861612636
7,anal depressor muscle(WBbt:0004292),30.408498023715413,95.0,3.12412668083,9.21129745520351e-25,3.124126680834747
8,intestinal muscle(WBbt:0005796),14.0401185770751,37.0,2.63530537843,6.453662166491233e-07,2.63530537843278
9,smooth muscle(WBbt:0005781),29.773517786561268,66.0,2.21673503525,4.704503167623513e-09,2.2167350352463258
