#ALM_PLM_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,nervous system WBbt:0005735,49.48695652173913,65.0,1.31347742049,0.004722515465173778,1.3134774204884905
1,ALM WBbt:0005406,1.5106719367588932,20.0,13.2391418106,7.219467424083748e-17,13.239141810570382
2,g2 WBbt:0003710,0.4316205533596838,3.0,6.95054945055,0.03056421952537489,6.950549450549451
3,SIA WBbt:0005361,0.4482213438735178,3.0,6.69312169312,0.03100077426110566,6.693121693121693
4,posterior lateral ganglion WBbt:0005465,2.822134387351779,19.0,6.7324929972,1.9731990512213414e-10,6.73249299719888
5,embryonic cell WBbt:0007028,15.704347826086957,34.0,2.1650055371,5.102278480514618e-05,2.16500553709856
6,interneuron WBbt:0005113,8.765217391304347,18.0,2.05357142857,0.03056421952537489,2.053571428571429
7,terminal bulb WBbt:0003732,3.3035573122529645,10.0,3.02703996171,0.01624053045399731,3.0270399617133283
8,PVD WBbt:0006831,1.1288537549407116,7.0,6.20098039216,0.0007252555227634989,6.200980392156862
9,AVM WBbt:0003832,1.1952569169960474,16.0,13.3862433862,1.2028619874946822e-13,13.386243386243386
10,sensory neuron WBbt:0005759,13.446640316205533,38.0,2.82598471487,3.4476366630948383e-09,2.825984714873604
11,FLP WBbt:0006828,0.5810276679841897,6.0,10.3265306122,7.410672380591811e-05,10.326530612244898
12,PLM WBbt:0005490,1.4940711462450593,24.0,16.0634920635,1.8707979242116263e-22,16.063492063492063
13,tail WBbt:0005741,27.7897233201581,49.0,1.76324173636,3.727853226085185e-05,1.7632417363600161
14,PVM WBbt:0004086,0.9794466403162055,13.0,13.2728006457,3.858214454579464e-11,13.272800645682002
15,g1 WBbt:0003712,0.48142292490118577,4.0,8.30870279146,0.004722515465173778,8.308702791461412
