#AVA-neuron_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,AVA WBbt:0005842,1.632806324110672,12.0,7.34931009441,2.036671697432433e-06,7.349310094408133
1,RIC WBbt:0006834,1.0885375494071146,5.0,4.59331880901,0.017657219296175534,4.593318809005083
2,DB neuron WBbt:0005274,1.7928853754940712,7.0,3.90432098765,0.011207493315047178,3.904320987654321
3,SMD WBbt:0005353,1.1525691699604743,7.0,6.07338820302,0.0006363860091532392,6.073388203017832
4,head motor neuron WBbt:0008610,4.354150197628458,17.0,3.90432098765,2.429476696973058e-05,3.9043209876543212
5,lateral ganglion WBbt:0005105,16.26403162055336,31.0,1.90604646641,0.0044135419642036535,1.9060464664139203
6,RMD WBbt:0005400,1.1525691699604743,10.0,8.67626886145,2.0764635666866266e-06,8.676268861454046
7,command interneuron WBbt:0007804,2.9134387351778654,14.0,4.80531813865,1.770468592911522e-05,4.805318138651472
8,PVC WBbt:0005840,1.376679841897233,8.0,5.81108240023,0.00038479028584359953,5.8110824002296875
9,cholinergic neuron WBbt:0006840,10.885375494071146,22.0,2.02106027596,0.01319799684068874,2.021060275962237
10,RMDVL WBbt:0005031,0.8324110671936759,8.0,9.6106362773,9.89150816815394e-06,9.610636277302945
11,ventral ganglion (ant) WBbt:0005266,3.3296442687747034,11.0,3.30365622032,0.004266036509719055,3.303656220322887
12,RMDVR WBbt:0005029,0.8003952569169961,7.0,8.74567901235,5.6339924490705544e-05,8.74567901234568
13,AVD WBbt:0006818,0.9284584980237154,6.0,6.46232439336,0.0011631188232439876,6.462324393358877
14,PVQ WBbt:0006976,1.6007905138339922,7.0,4.37283950617,0.005651883192537074,4.37283950617284
15,AVK WBbt:0006823,0.8964426877470356,4.0,4.46208112875,0.045068151893884495,4.462081128747795
16,motor neuron WBbt:0005409,14.022924901185771,31.0,2.2106657647,0.00038479028584359953,2.2106657646992502
17,AFD WBbt:0005662,1.7608695652173914,6.0,3.40740740741,0.045068151893884495,3.4074074074074074
18,RIM WBbt:0005835,0.8324110671936759,7.0,8.40930674264,6.787009543243782e-05,8.409306742640076
19,DVA WBbt:0004823,1.1205533596837944,7.0,6.24691358025,0.0005595450309624043,6.246913580246914
20,nerve ring neuron WBbt:0006974,13.446640316205535,26.0,1.93356848912,0.010383247114440929,1.9335684891240446
