,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,ASKR(WBbt:0003883),4.1729249011857705,24.0,5.75136159129,2.945168123113207e-12,5.751361591285816
1,R8AR(WBbt:0003992),1.0938735177865613,11.0,10.0560072267,9.619182516927023e-10,10.056007226738934
2,SDQL(WBbt:0004993),1.458498023715415,4.0,2.74254742547,0.04875593206171967,2.7425474254742546
3,anterior deirid sensillum(WBbt:0006927),1.6205533596837944,8.0,4.93658536585,9.7165511205315e-05,4.9365853658536585
4,ASHR(WBbt:0003889),4.132411067193676,24.0,5.80774748924,2.3930806313331174e-12,5.807747489239598
5,BAG(WBbt:0006825),1.5800395256916995,15.0,9.49343339587,8.238755849712152e-12,9.49343339587242
6,R1BL(WBbt:0004048),1.2154150197628457,13.0,10.6959349593,2.1899220061861583e-11,10.695934959349595
7,RICL(WBbt:0003941),1.3774703557312253,5.0,3.62984218077,0.008314596346885831,3.629842180774749
8,R4A(WBbt:0008394),1.0533596837944663,11.0,10.4427767355,6.451737902283553e-10,10.442776735459663
9,ASEL(WBbt:0003904),5.307312252964427,21.0,3.95680506423,4.173810101254652e-08,3.9568050642338486
10,nervous system(WBbt:0005735),120.7717391304348,163.0,1.34965349653,4.2896026612293566e-10,1.3496534965349651
11,PDER(WBbt:0004382),1.823122529644269,15.0,8.22764227642,7.279388346676732e-11,8.227642276422763
12,interneuron(WBbt:0005113),21.391304347826086,46.0,2.15040650407,4.270467382487888e-07,2.1504065040650406
13,R7A(WBbt:0006857),1.0533596837944663,11.0,10.4427767355,6.451737902283553e-10,10.442776735459663
14,PHAR(WBbt:0004365),3.5247035573122534,24.0,6.80908326325,8.220786745257547e-14,6.809083263246425
15,PDE(WBbt:0006747),1.823122529644269,15.0,8.22764227642,7.279388346676732e-11,8.227642276422763
16,R3BL(WBbt:0004034),1.174901185770751,12.0,10.2136248949,2.0151230923714164e-10,10.213624894869639
17,AWAL(WBbt:0003831),1.8636363636363635,10.0,5.36585365854,6.377712806683077e-06,5.365853658536586
18,ray 7(WBbt:0006952),1.7015810276679844,13.0,7.63995354239,2.312543289084565e-09,7.639953542392566
19,R7B(WBbt:0008403),1.2559288537549407,12.0,9.55468135327,4.726348736155936e-10,9.554681353265146
20,PHBL(WBbt:0004364),3.5247035573122534,23.0,6.52537146061,6.084065609234083e-13,6.525371460611157
21,ADF(WBbt:0005660),3.281620553359684,15.0,4.57091237579,4.544306172938308e-07,4.570912375790424
22,thermosensory neuron(WBbt:0005838),2.2282608695652173,15.0,6.73170731707,1.3080557394299722e-09,6.731707317073171
23,ADLL(WBbt:0003997),4.253952569169961,19.0,4.46643437863,2.2349565570832744e-08,4.4664343786295
24,PHA(WBbt:0007807),3.5247035573122534,24.0,6.80908326325,8.220786745257547e-14,6.809083263246425
25,P0(WBbt:0004422),1.1343873517786562,4.0,3.52613240418,0.017625216845934665,3.526132404181184
26,outer labial quadrant sensillum(WBbt:0005502),1.8636363636363635,17.0,9.12195121951,1.1718864204101417e-12,9.121951219512196
27,AFDR(WBbt:0003991),2.1877470355731226,15.0,6.85636856369,9.981313022963441e-10,6.856368563685637
28,OLQ(WBbt:0006848),1.41798418972332,17.0,11.9888501742,9.59236666094331e-15,11.98885017421603
29,ray neuron type A(WBbt:0006972),1.3774703557312253,15.0,10.8895265423,9.77193509883375e-13,10.889526542324246
