#FLP_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,nervous system WBbt:0005735,61.858695652173914,83.0,1.34176770339,0.0001089292755746791,1.3417677033913196
1,ALM WBbt:0005406,1.8883399209486167,23.0,12.1800104657,1.390699358223455e-18,12.18001046572475
2,DB neuron WBbt:0005274,1.1620553359683794,5.0,4.30272108844,0.022523772478924352,4.302721088435375
3,VB neuron WBbt:0005336,0.9752964426877471,4.0,4.10131712259,0.044652710893108294,4.101317122593718
4,postdeirid sensillum WBbt:0005471,1.016798418972332,4.0,3.93391642371,0.04936116274843451,3.933916423712342
5,PVD WBbt:0006831,1.4110671936758894,11.0,7.79551820728,5.002388579068031e-07,7.795518207282913
6,BDU WBbt:0006826,0.7677865612648221,6.0,7.81467181467,0.00027964087688610377,7.814671814671814
7,RMER WBbt:0005023,0.5602766798418973,3.0,5.3544973545,0.04215712539903649,5.3544973544973535
8,dorsal ganglion WBbt:0005214,2.573122529644269,9.0,3.49769585253,0.005573564983949824,3.497695852534562
9,pharyngeal interneuron WBbt:0003668,1.4110671936758894,10.0,7.08683473389,4.619938089781996e-06,7.086834733893557
10,SIA WBbt:0005361,0.5602766798418973,3.0,5.3544973545,0.04215712539903649,5.3544973544973535
11,RMEL WBbt:0005025,0.5602766798418973,3.0,5.3544973545,0.04215712539903649,5.3544973544973535
12,sperm WBbt:0006798,1.909090909090909,8.0,4.19047619048,0.002952885038944401,4.190476190476191
13,posterior lateral ganglion WBbt:0005465,3.527667984189723,26.0,7.37030812325,2.603124273498119e-15,7.3703081232493
14,PVC WBbt:0005840,0.892292490118577,5.0,5.60354374308,0.005573564983949824,5.603543743078627
15,cholinergic neuron WBbt:0006840,7.055335968379446,17.0,2.40952380952,0.0048143291670785186,2.40952380952381
16,embryonic cell WBbt:0007028,19.630434782608695,44.0,2.24141749723,4.1075293795242514e-07,2.241417497231451
17,NSM WBbt:0003666,1.016798418972332,8.0,7.86783284742,2.1416827307319246e-05,7.867832847424684
18,interneuron WBbt:0005113,10.956521739130434,32.0,2.92063492063,1.5642984828897898e-07,2.920634920634921
19,corpus WBbt:0003733,3.631422924901186,13.0,3.57986394558,0.00038409065175022374,3.579863945578231
20,ventral ganglion (ant) WBbt:0005266,2.158102766798419,7.0,3.24358974359,0.029082060164750446,3.2435897435897436
21,DA neuron WBbt:0005278,1.4110671936758894,5.0,3.54341736695,0.044652710893108294,3.5434173669467786
22,terminal bulb WBbt:0003732,4.129446640316206,15.0,3.63244795406,9.743370516124756e-05,3.6324479540559937
23,AVM WBbt:0003832,1.4940711462450593,21.0,14.0555555556,1.390699358223455e-18,14.055555555555555
24,sensory neuron WBbt:0005759,16.808300395256918,51.0,3.03421516755,6.690946191029571e-14,3.0342151675485005
25,FLP WBbt:0006828,0.7262845849802372,11.0,15.1455782313,1.6854812104101774e-10,15.145578231292516
26,PLM WBbt:0005490,1.8675889328063242,27.0,14.4571428571,5.0543733361886535e-24,14.457142857142856
27,AIA WBbt:0006812,0.5395256916996047,3.0,5.56043956044,0.03789114453135686,5.56043956043956
28,tail WBbt:0005741,34.737154150197625,62.0,1.7848324515,5.002388579068031e-07,1.7848324514991183
29,ciliated neuron WBbt:0006816,16.808300395256918,28.0,1.6658436214,0.03421445748701888,1.665843621399177
30,nerve ring neuron WBbt:0006974,8.715415019762846,17.0,1.95056689342,0.04215712539903649,1.9505668934240363
31,PDE WBbt:0006747,0.9337944664031621,4.0,4.2835978836,0.04215712539903649,4.283597883597883
32,PVM WBbt:0004086,1.2243083003952568,13.0,10.6182405165,5.336326735060594e-10,10.618240516545601
33,pharyngeal motor neuron WBbt:0003677,1.3695652173913042,7.0,5.11111111111,0.001657173833234261,5.111111111111112
34,g1 WBbt:0003712,0.6017786561264822,3.0,4.98522167488,0.044652710893108294,4.985221674876848
