#Larva_Pan_Neuronal_Enriched_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,AQR WBbt:0003927,4.676086956521739,9.0,1.92468619247,0.04792934445309723,1.9246861924686194
1,nervous system WBbt:0005735,422.4065217391305,615.0,1.45594342973,6.867158822193184e-61,1.455943429727184
2,glutamatergic neuron WBbt:0006829,16.153754940711462,50.0,3.09525557268,2.7964998871301178e-14,3.095255572683452
3,R3B WBbt:0008399,4.109288537549407,10.0,2.43351127783,0.005501351238129206,2.4335112778338863
4,AVA WBbt:0005842,7.226679841897234,25.0,3.45940328712,4.056244950775828e-09,3.4594032871167992
5,SDQR WBbt:0004991,5.242885375494072,15.0,2.86102001583,8.74480673167441e-05,2.861020015831731
6,R6B WBbt:0008402,4.109288537549407,12.0,2.9202135334,0.00032753297505047125,2.9202135334006636
7,PHA WBbt:0007807,12.327865612648223,37.0,3.001330576,1.917971088216017e-10,3.001330575995126
8,R1B WBbt:0008397,4.25098814229249,12.0,2.82287308229,0.00048245746992260955,2.822873082287308
9,RIC WBbt:0006834,4.817786561264822,14.0,2.90589876118,0.0001182936314387925,2.9058987611781113
10,ray 1 WBbt:0006942,5.242885375494072,12.0,2.28881601267,0.004749777635415931,2.288816012665385
11,R8B WBbt:0008404,4.25098814229249,10.0,2.35239423524,0.00724870950990301,2.3523942352394234
12,OLQ WBbt:0006848,4.959486166007905,19.0,3.83104204025,2.8598589133827263e-08,3.831042040247061
13,ALM WBbt:0005406,12.894664031620554,41.0,3.17960979049,2.2879224984630823e-12,3.1796097904884513
14,outer labial lateral sensillum WBbt:0005503,6.659881422924902,20.0,3.00305647052,2.5398072446714784e-06,3.0030564705184126
15,ray 2 WBbt:0006945,5.526284584980237,12.0,2.17144083253,0.007584584094006454,2.1714408325286985
16,ASE WBbt:0005663,20.40474308300395,50.0,2.45041066171,7.885911339887409e-10,2.4504106617077333
17,ADF WBbt:0005660,11.477667984189724,23.0,2.00389138557,0.0010549863933699537,2.0038913855743234
18,DVC WBbt:0004821,4.25098814229249,10.0,2.35239423524,0.00724870950990301,2.3523942352394234
19,DB neuron WBbt:0005274,7.935177865612649,26.0,3.27654911337,9.068184689857209e-09,3.276549113369197
20,AVG WBbt:0003850,4.109288537549407,14.0,3.40691578897,1.1136147153448624e-05,3.406915788967441
21,BAG WBbt:0006825,5.526284584980237,19.0,3.4381146515,2.976297412433107e-07,3.438114651503773
22,VB neuron WBbt:0005336,6.659881422924902,25.0,3.75382058815,4.421917526273331e-10,3.753820588148016
23,dorsal nerve cord WBbt:0006750,37.12529644268775,92.0,2.47809469056,9.70109086718181e-18,2.4780946905575605
24,odorsensory neuron WBbt:0005839,30.040316205533596,72.0,2.39677903213,4.3615828951064747e-13,2.3967790321307336
25,SMD WBbt:0005353,5.101185770750988,21.0,4.11668991167,8.893137299703644e-10,4.116689911668992
26,nociceptor neuron WBbt:0008434,14.59505928853755,43.0,2.9462024888,1.6113563847534656e-11,2.946202488795006
27,R4B WBbt:0008400,3.9675889328063243,10.0,2.5204223949,0.003969596342668894,2.520422394899382
28,postdeirid sensillum WBbt:0005471,6.943280632411067,25.0,3.60060342128,1.314673062301182e-09,3.600603421284832
29,ADE WBbt:0005415,4.676086956521739,18.0,3.84937238494,5.5648408404447e-08,3.8493723849372388
30,ray 7 WBbt:0006952,5.951383399209487,13.0,2.18436607558,0.005501351238129206,2.1843660755794647
31,phasmid sensillum WBbt:0005425,36.841897233201585,81.0,2.19858384294,2.4186375189594607e-12,2.198583842935307
32,PVD WBbt:0006831,9.635573122529644,27.0,2.80211666256,2.8332559199339387e-07,2.8021166625646075
33,DD neuron WBbt:0005270,8.785375494071147,31.0,3.52859135286,3.738587454795087e-11,3.5285913528591353
34,BDU WBbt:0006826,5.242885375494072,18.0,3.433224019,6.116964530342047e-07,3.4332240189980774
35,RMER WBbt:0005023,3.8258893280632416,16.0,4.18203419598,5.42172352298999e-08,4.182034195981197
36,PVQ WBbt:0006976,7.08498023715415,21.0,2.9640167364,1.9106986576052972e-06,2.9640167364016734
37,R5B WBbt:0008401,4.534387351778656,13.0,2.8669804742,0.00024536699845776927,2.866980474198048
38,uterine epithelial cell WBbt:0008435,15.728656126482214,25.0,1.58945556435,0.021199184376684835,1.5894555643509618
39,CEP WBbt:0005244,5.242885375494072,16.0,3.05175468355,1.8243466673317534e-05,3.0517546835538463
40,ASG WBbt:0005664,8.643675889328064,29.0,3.35505407321,6.687468746671965e-10,3.3550540732103253
