,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,ABarpppaa(WBbt:0006041),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
1,ASKR(WBbt:0003883),0.20355731225296442,1.0,4.91262135922,0.04495174900627215,4.9126213592233015
2,ABalaaaa(WBbt:0006427),0.07707509881422925,2.0,25.9487179487,0.009288641496684198,25.94871794871795
3,ABplappp(WBbt:0006470),0.07509881422924901,1.0,13.3157894737,0.015596978409352672,13.31578947368421
4,SDQL(WBbt:0004993),0.07114624505928853,1.0,14.0555555556,0.015596978409352672,14.055555555555557
5,ABplaaap(WBbt:0006478),0.05928853754940711,1.0,16.8666666667,0.015596978409352672,16.866666666666667
6,ABprappa(WBbt:0006269),0.07509881422924901,2.0,26.6315789474,0.009288641496684198,26.63157894736842
7,ASHR(WBbt:0003889),0.2015810276679842,1.0,4.96078431373,0.04430782173834453,4.96078431372549
8,socket cell(WBbt:0005750),0.16996047430830039,1.0,5.88372093023,0.03321047596605634,5.883720930232559
9,ABaraaapp(WBbt:0006189),0.05928853754940711,1.0,16.8666666667,0.015596978409352672,16.866666666666667
10,ASEL(WBbt:0003904),0.25889328063241107,2.0,7.72519083969,0.015596978409352672,7.7251908396946565
11,ABalappa(WBbt:0006157),0.06719367588932806,2.0,29.7647058824,0.009288641496684198,29.764705882352942
12,Caap(WBbt:0005921),0.07312252964426878,1.0,13.6756756757,0.015596978409352672,13.675675675675674
13,ABprpappa(WBbt:0006088),0.07509881422924901,1.0,13.3157894737,0.015596978409352672,13.31578947368421
14,ABpraaaaa(WBbt:0006631),0.05731225296442688,1.0,17.4482758621,0.015596978409352672,17.448275862068964
15,PDER(WBbt:0004382),0.08893280632411069,1.0,11.2444444444,0.015596978409352672,11.244444444444442
16,ABarpapa(WBbt:0006603),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
17,MSapp(WBbt:0006036),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
18,ABarpapp(WBbt:0006514),0.06126482213438735,1.0,16.3225806452,0.015596978409352672,16.322580645161292
19,ABprapppp(WBbt:0006056),0.05335968379446641,1.0,18.7407407407,0.015596978409352672,18.74074074074074
20,ABpraapap(WBbt:0006062),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
21,PHAR(WBbt:0004365),0.17193675889328064,1.0,5.81609195402,0.033810906031188734,5.816091954022988
22,MSpapp(WBbt:0006201),0.07114624505928853,1.0,14.0555555556,0.015596978409352672,14.055555555555557
23,AWBL(WBbt:0003829),0.14624505928853757,1.0,6.83783783784,0.025734119318099977,6.837837837837837
24,ABprpaapp(WBbt:0006605),0.06126482213438735,2.0,32.6451612903,0.009288641496684198,32.645161290322584
25,ABaraapa(WBbt:0005853),0.07114624505928853,1.0,14.0555555556,0.015596978409352672,14.055555555555557
26,ABarappa(WBbt:0006005),0.06521739130434782,2.0,30.6666666667,0.009288641496684198,30.666666666666668
27,AWAL(WBbt:0003831),0.09090909090909091,1.0,11.0,0.015596978409352672,11.0
28,ABprppapp(WBbt:0005929),0.05731225296442688,1.0,17.4482758621,0.015596978409352672,17.448275862068964
29,ABprppppp(WBbt:0005983),0.0691699604743083,1.0,14.4571428571,0.015596978409352672,14.457142857142857
30,PHBL(WBbt:0004364),0.17193675889328064,1.0,5.81609195402,0.033810906031188734,5.816091954022988
31,ABprpaapa(WBbt:0006047),0.06521739130434782,2.0,30.6666666667,0.009288641496684198,30.666666666666668
32,ABarapaa(WBbt:0006515),0.07312252964426878,2.0,27.3513513514,0.009288641496684198,27.351351351351347
33,interfacial epithelial cell(WBbt:0005754),0.6383399209486167,3.0,4.69969040248,0.015596978409352672,4.699690402476779
34,hyp7 precursor cell(WBbt:0008069),0.10276679841897232,2.0,19.4615384615,0.009288641496684198,19.461538461538463
35,thermosensory neuron(WBbt:0005838),0.10869565217391304,1.0,9.2,0.015596978409352672,9.200000000000001
36,Q cell(WBbt:0008598),0.05138339920948616,1.0,19.4615384615,0.015596978409352672,19.461538461538463
37,ABpraaapa(WBbt:0005895),0.05928853754940711,1.0,16.8666666667,0.015596978409352672,16.866666666666667
38,ABpraapp(WBbt:0006335),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
39,blast cell(WBbt:0006783),0.549407114624506,3.0,5.46043165468,0.015596978409352672,5.460431654676259
40,PHA(WBbt:0007807),0.17193675889328064,1.0,5.81609195402,0.033810906031188734,5.816091954022988
41,ABalapapp(WBbt:0006132),0.05533596837944664,1.0,18.0714285714,0.015596978409352672,18.071428571428573
42,MSppaa(WBbt:0006531),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
43,Capp(WBbt:0006098),0.07707509881422925,1.0,12.9743589744,0.015596978409352672,12.974358974358974
44,dorsal nerve cord(WBbt:0006750),0.5177865612648221,2.0,3.86259541985,0.03441663305152881,3.8625954198473282
45,MSpaaa(WBbt:0005933),0.05138339920948616,1.0,19.4615384615,0.015596978409352672,19.461538461538463
46,MSaaapp(WBbt:0005892),0.05138339920948616,1.0,19.4615384615,0.015596978409352672,19.461538461538463
47,neuronal sheath cell(WBbt:0005811),0.15217391304347827,2.0,13.1428571429,0.009288641496684198,13.142857142857142
48,outer labial quadrant sensillum(WBbt:0005502),0.09090909090909091,1.0,11.0,0.015596978409352672,11.0
49,AFDR(WBbt:0003991),0.10671936758893281,1.0,9.37037037037,0.015596978409352672,9.37037037037037
50,ABprapppa(WBbt:0005909),0.05335968379446641,1.0,18.7407407407,0.015596978409352672,18.74074074074074
51,Cappa(WBbt:0006664),0.05138339920948616,2.0,38.9230769231,0.009288641496684198,38.92307692307693
52,OLQ(WBbt:0006848),0.0691699604743083,1.0,14.4571428571,0.015596978409352672,14.457142857142857
53,ABpraaap(WBbt:0006534),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
54,ray neuron type A(WBbt:0006972),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
55,PHAL(WBbt:0004366),0.17193675889328064,1.0,5.81609195402,0.033810906031188734,5.816091954022988
56,ABplappaa(WBbt:0006371),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
57,ABprpppp(WBbt:0006179),0.06719367588932806,2.0,29.7647058824,0.009288641496684198,29.764705882352942
58,ABprapapp(WBbt:0006290),0.0691699604743083,1.0,14.4571428571,0.015596978409352672,14.457142857142857
59,ABplpaapa(WBbt:0006115),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
60,ABalppap(WBbt:0006112),0.0691699604743083,2.0,28.9142857143,0.009288641496684198,28.914285714285715
61,Cpap(WBbt:0006628),0.05533596837944664,1.0,18.0714285714,0.015596978409352672,18.071428571428573
62,ABalpppaa(WBbt:0006400),0.05138339920948616,1.0,19.4615384615,0.015596978409352672,19.461538461538463
63,Capa(WBbt:0006444),0.08102766798418973,1.0,12.3414634146,0.015596978409352672,12.341463414634145
64,head(WBbt:0005739),5.144268774703558,8.0,1.55512869766,0.03679736436867455,1.5551286976565502
65,ASK(WBbt:0005668),0.20750988142292492,1.0,4.81904761905,0.045684504552667794,4.819047619047619
66,ASJL(WBbt:0003886),0.16205533596837945,1.0,6.17073170732,0.030565761248735387,6.170731707317072
67,Cpppa(WBbt:0006024),0.05138339920948616,1.0,19.4615384615,0.015596978409352672,19.461538461538463
68,CEPDR(WBbt:0004937),0.07312252964426878,1.0,13.6756756757,0.015596978409352672,13.675675675675674
69,AFDL(WBbt:0003993),0.10869565217391304,1.0,9.2,0.015596978409352672,9.200000000000001
70,postdeirid sensillum(WBbt:0005471),0.09683794466403162,1.0,10.3265306122,0.015596978409352672,10.326530612244898
71,MSpppp(WBbt:0006409),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
72,ABalpappa(WBbt:0005924),0.05731225296442688,1.0,17.4482758621,0.015596978409352672,17.448275862068964
73,ABplappa(WBbt:0006095),0.05928853754940711,1.0,16.8666666667,0.015596978409352672,16.866666666666667
74,ABplppapa(WBbt:0006091),0.05731225296442688,1.0,17.4482758621,0.015596978409352672,17.448275862068964
75,cholinergic neuron(WBbt:0006840),0.6719367588932806,3.0,4.46470588235,0.015596978409352672,4.464705882352941
76,hyp4(WBbt:0004687),0.10474308300395258,1.0,9.54716981132,0.015596978409352672,9.547169811320755
77,ABalaapa(WBbt:0006130),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
78,P9/10L(WBbt:0004412),0.05335968379446641,1.0,18.7407407407,0.015596978409352672,18.74074074074074
79,ABpraappa(WBbt:0006035),0.08300395256916997,2.0,24.0952380952,0.009288641496684198,24.095238095238095
80,apoptotic cell(WBbt:0006925),0.10869565217391304,2.0,18.4,0.009288641496684198,18.400000000000002
81,ABprapapa(WBbt:0006510),0.07114624505928853,1.0,14.0555555556,0.015596978409352672,14.055555555555557
82,AWBR(WBbt:0003828),0.1442687747035573,1.0,6.93150684932,0.025181605714559456,6.931506849315069
83,serotonergic neuron(WBbt:0006837),0.46047430830039526,2.0,4.34334763948,0.02612415093579842,4.343347639484978
84,CEPVL(WBbt:0004933),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
85,ABalapaap(WBbt:0006217),0.05533596837944664,1.0,18.0714285714,0.015596978409352672,18.071428571428573
86,amphid sheath cell(WBbt:0006754),0.06324110671936758,1.0,15.8125,0.015596978409352672,15.812500000000002
87,OLQVL(WBbt:0004437),0.0691699604743083,1.0,14.4571428571,0.015596978409352672,14.457142857142857
88,ASGR(WBbt:0003891),0.11857707509881422,1.0,8.43333333333,0.017914408674534213,8.433333333333334
89,ASJR(WBbt:0003885),0.15810276679841895,1.0,6.325,0.029272167401789763,6.325000000000001
90,ABplpppaa(WBbt:0006222),0.06521739130434782,1.0,15.3333333333,0.015596978409352672,15.333333333333334
91,ABplpppp(WBbt:0006647),0.07509881422924901,1.0,13.3157894737,0.015596978409352672,13.31578947368421
92,ABaraaap(WBbt:0005861),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
93,MSpapap(WBbt:0005968),0.06126482213438735,1.0,16.3225806452,0.015596978409352672,16.322580645161292
94,ABalaaap(WBbt:0005982),0.07312252964426878,2.0,27.3513513514,0.009288641496684198,27.351351351351347
95,ABarpppp(WBbt:0006532),0.05928853754940711,1.0,16.8666666667,0.015596978409352672,16.866666666666667
96,ABalapppa(WBbt:0006476),0.05335968379446641,1.0,18.7407407407,0.015596978409352672,18.74074074074074
97,osmosensory neuron(WBbt:0008433),0.20355731225296442,1.0,4.91262135922,0.04495174900627215,4.9126213592233015
98,ABplppaa(WBbt:0006170),0.07509881422924901,1.0,13.3157894737,0.015596978409352672,13.31578947368421
99,CEPVR(WBbt:0004931),0.06719367588932806,1.0,14.8823529412,0.015596978409352672,14.882352941176471
100,ABplapppa(WBbt:0006697),0.06126482213438735,2.0,32.6451612903,0.009288641496684198,32.645161290322584
