,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,ASKR(WBbt:0003883),3.8472332015810276,15.0,3.89890584065,5.429946666394742e-06,3.8989058406534136
1,R8AR(WBbt:0003992),1.008498023715415,9.0,8.9241622575,1.3456186047608202e-07,8.92416225749559
2,SMDDR(WBbt:0004971),1.1952569169960474,4.0,3.34656084656,0.01878985234096075,3.3465608465608465
3,SDQL(WBbt:0004993),1.3446640316205534,6.0,4.46208112875,0.0013146129316743463,4.462081128747795
4,anterior deirid sensillum(WBbt:0006927),1.494071146245059,14.0,9.37037037037,8.322932521791609e-11,9.370370370370372
5,ALML(WBbt:0003954),3.39901185770751,7.0,2.05942205942,0.0470999855059144,2.0594220594220594
6,ASHR(WBbt:0003889),3.8098814229249016,14.0,3.6746550472,2.3040866058506665e-05,3.6746550472040664
7,AVAR(WBbt:0003869),1.9049407114624508,6.0,3.14970432617,0.010030070289273964,3.149704326174914
8,PLM(WBbt:0005490),3.3616600790513838,8.0,2.379776602,0.01878985234096075,2.379776601998824
9,socket cell(WBbt:0005750),3.2122529644268774,8.0,2.49046388581,0.01511532284661652,2.4904638858127233
10,R1BL(WBbt:0004048),1.1205533596837944,11.0,9.81657848325,3.3607007187759494e-09,9.81657848324515
11,AIA(WBbt:0006812),0.9711462450592885,3.0,3.08913308913,0.03848310912245462,3.0891330891330893
12,URX(WBbt:0006846),1.6434782608695653,5.0,3.04232804233,0.017575576639407828,3.0423280423280423
13,RMED(WBbt:0005027),1.1205533596837944,4.0,3.569664903,0.015409143506028908,3.5696649029982366
14,FLPR(WBbt:0004797),1.3073122529644268,7.0,5.3544973545,0.0001518052265327159,5.354497354497355
15,nervous system(WBbt:0005735),111.34565217391305,158.0,1.41900466624,8.820966409911839e-13,1.4190046662371385
16,ABprpappa(WBbt:0006088),1.4193675889328063,4.0,2.81815650237,0.03441591017804303,2.8181565023670285
17,PDER(WBbt:0004382),1.6808300395256919,19.0,11.3039388595,8.612432205548019e-16,11.303938859494414
18,MSapp(WBbt:0006036),1.2699604743083004,4.0,3.14970432617,0.023233749367663887,3.1497043261749145
19,interneuron(WBbt:0005113),19.72173913043478,39.0,1.97751322751,3.554218292910993e-05,1.9775132275132277
20,R7A(WBbt:0006857),0.9711462450592885,10.0,10.2971102971,7.2020029249580754e-09,10.297110297110297
21,male gonadal cell(WBbt:0008209),1.0458498023715415,4.0,3.8246409675,0.012157376400976675,3.8246409674981106
