,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,neuronal sheath cell(WBbt:0005811),2.6478260869565218,11.0,4.15435139573,0.0011368204770670159,4.154351395730706
1,excretory cell(WBbt:0005812),13.892490118577074,78.0,5.61454421304,7.571423060939919e-40,5.614544213041994
2,socket cell(WBbt:0005750),2.9573122529644267,9.0,3.04330392943,0.04322052114740363,3.0433039294306337
3,rectal gland cell(WBbt:0005799),8.906324110671937,20.0,2.24559534904,0.013447887094605324,2.245595349043625
4,interfacial epithelial cell(WBbt:0005754),11.10711462450593,24.0,2.16077719654,0.007524896814292011,2.160777196541048
5,amphid sheath cell(WBbt:0006754),1.1003952569169961,7.0,6.36135057471,0.0011368204770670159,6.3613505747126435
6,excretory secretory system(WBbt:0006850),16.78102766798419,81.0,4.82687959299,1.067413601830274e-36,4.82687959299039
7,rectum(WBbt:0005773),18.01897233201581,43.0,2.38637360709,1.3664901551956997e-06,2.386373607089585
8,excretory canal(WBbt:0005775),2.888537549407115,27.0,9.34729064039,7.68367488191509e-19,9.347290640394087
9,rectal valve cell(WBbt:0005797),1.4442687747035574,7.0,4.84674329502,0.006787822721647396,4.846743295019157
