,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,P0(WBbt:0004422),1.5106719367588932,8.0,5.29565672423,0.0007787940544540744,5.295656724228153
1,oocyte(WBbt:0006797),7.877075098814229,17.0,2.15816147323,0.03170515950436087,2.1581614732299665
2,germline precursor cell(WBbt:0006849),2.589723320158103,15.0,5.79212454212,1.0381554402035941e-06,5.792124542124542
3,germ cell(WBbt:0006796),12.40909090909091,26.0,2.09523809524,0.004539144527293541,2.095238095238095
4,Psub2(WBbt:0006873),1.5646245059288537,8.0,5.11304787167,0.0007787940544540744,5.113047871668561
5,Psub3(WBbt:0006875),1.5106719367588932,8.0,5.29565672423,0.0007787940544540744,5.295656724228153
6,ABp(WBbt:0005994),1.5106719367588932,8.0,5.29565672423,0.0007787940544540744,5.295656724228153
7,germline blastomere(WBbt:0008448),2.4818181818181815,11.0,4.43223443223,0.00039178639276126826,4.4322344322344325
8,epithelial system(WBbt:0005730),89.77707509881422,116.0,1.29208932094,0.01194861422004053,1.292089320935475
9,Psub1(WBbt:0006874),1.7264822134387352,9.0,5.21291208791,0.00039178639276126826,5.212912087912088
10,hyp7 syncytium(WBbt:0005734),7.931027667984189,17.0,2.14348010266,0.03237791298127061,2.1434801026637764
11,ABa(WBbt:0005906),1.5106719367588932,8.0,5.29565672423,0.0007787940544540744,5.295656724228153
12,somatic blastomere(WBbt:0008447),2.589723320158103,12.0,4.6336996337,0.00011418512454736418,4.633699633699633
13,EMS(WBbt:0006876),1.5106719367588932,6.0,3.97174254317,0.024013040586039616,3.9717425431711146
14,Z2(WBbt:0004576),2.4818181818181815,14.0,5.64102564103,2.4218965468699143e-06,5.641025641025641
15,Z3(WBbt:0004575),2.4818181818181815,14.0,5.64102564103,2.4218965468699143e-06,5.641025641025641
16,AB(WBbt:0004015),1.7804347826086955,10.0,5.61660561661,0.00010149161014483194,5.616605616605617
