#germline_specific_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,ABarppppp WBbt:0006186,3.381818181818182,9.0,2.66129032258,0.019040809713313702,2.661290322580645
1,ABalaaaa WBbt:0006427,4.254545454545454,10.0,2.35042735043,0.022503886893899313,2.350427350427351
2,ABpraapap WBbt:0006062,3.7090909090909094,8.0,2.1568627451,0.038266937511079,2.156862745098039
3,ABpraaaa WBbt:0006442,4.254545454545454,10.0,2.35042735043,0.022503886893899313,2.350427350427351
4,ABplaaaaa WBbt:0006348,3.9272727272727272,9.0,2.29166666667,0.02460604169763468,2.2916666666666665
5,Cpppp WBbt:0006059,2.7272727272727275,7.0,2.56666666667,0.02460604169763468,2.5666666666666664
6,ABaraapp WBbt:0006153,4.036363636363636,9.0,2.22972972973,0.02753861489776568,2.22972972972973
7,Dpa WBbt:0006045,3.2727272727272725,7.0,2.13888888889,0.049461129746138935,2.138888888888889
8,germ cell WBbt:0006796,25.09090909090909,70.0,2.78985507246,1.182670365730787e-14,2.789855072463768
9,ABplappap WBbt:0006067,3.9272727272727272,8.0,2.03703703704,0.04990074721879165,2.037037037037037
10,P7.p WBbt:0006895,7.8545454545454545,14.0,1.78240740741,0.04037116265829791,1.7824074074074074
11,ABplapapp WBbt:0006413,3.8181818181818183,8.0,2.09523809524,0.043490600024826145,2.0952380952380953
12,ABarpaap WBbt:0006517,2.9454545454545458,7.0,2.37654320988,0.030761372368368935,2.376543209876543
13,P4.p WBbt:0006892,6.9818181818181815,14.0,2.00520833333,0.02341639048150706,2.0052083333333335
14,ABprpaaa WBbt:0006167,3.8181818181818183,11.0,2.88095238095,0.00705532025299647,2.880952380952381
15,ABprpaap WBbt:0006253,3.5999999999999996,10.0,2.77777777778,0.015546060652976463,2.777777777777778
16,ABarpapap WBbt:0005867,2.7272727272727275,7.0,2.56666666667,0.02460604169763468,2.5666666666666664
17,ABprpapa WBbt:0006259,3.7090909090909094,9.0,2.42647058824,0.02341639048150706,2.426470588235294
18,ABarpaaa WBbt:0006398,4.909090909090909,10.0,2.03703703704,0.03383612175746861,2.037037037037037
