,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,ABprpapaa(WBbt:0006446),0.9391304347826086,4.0,4.25925925926,0.02742713024308339,4.2592592592592595
1,alimentary system(WBbt:0005748),82.04347826086956,105.0,1.27980922099,0.0003081181919572072,1.2798092209856917
2,ABprpappa(WBbt:0006088),0.991304347826087,4.0,4.0350877193,0.03086825612104077,4.035087719298246
3,pharyngeal epithelial cell(WBbt:0005459),0.7304347826086957,7.0,9.58333333333,5.716515489195178e-05,9.583333333333334
4,ABalpappp(WBbt:0006459),0.7043478260869566,4.0,5.67901234568,0.012493022494570481,5.679012345679012
5,ABprpaapp(WBbt:0006605),0.808695652173913,4.0,4.94623655914,0.0190920552585698,4.946236559139785
6,ABaraapa(WBbt:0005853),0.9391304347826086,5.0,5.32407407407,0.008608765813043848,5.324074074074074
7,ABprpaapa(WBbt:0006047),0.8608695652173912,5.0,5.80808080808,0.005741894783519195,5.808080808080809
8,ABarapaa(WBbt:0006515),0.9652173913043479,5.0,5.18018018018,0.009219365507838119,5.18018018018018
9,interfacial epithelial cell(WBbt:0005754),8.42608695652174,24.0,2.84829721362,7.785583761839498e-05,2.8482972136222906
10,ABprpappp(WBbt:0005847),0.9652173913043479,4.0,4.14414414414,0.028811222744302204,4.144144144144144
11,AVKL(WBbt:0003845),0.7043478260869566,4.0,5.67901234568,0.012493022494570481,5.679012345679012
12,blast cell(WBbt:0006783),7.252173913043478,15.0,2.06834532374,0.02742713024308339,2.068345323741007
13,MSppaa(WBbt:0006531),0.8869565217391304,4.0,4.50980392157,0.024260409613892548,4.509803921568627
14,MSaapp(WBbt:0006425),0.9391304347826086,4.0,4.25925925926,0.02742713024308339,4.2592592592592595
15,MSpaaa(WBbt:0005933),0.6782608695652174,3.0,4.42307692308,0.04355041786057837,4.423076923076923
16,ABalpapa(WBbt:0006573),1.0434782608695652,5.0,4.79166666667,0.011814784913994897,4.791666666666667
17,muscle cell(WBbt:0003675),36.0,50.0,1.38888888889,0.02951362297197012,1.3888888888888888
18,pm4(WBbt:0003739),1.0434782608695652,6.0,5.75,0.002795952812588688,5.75
19,MSpppp(WBbt:0006409),0.8608695652173912,4.0,4.64646464646,0.022603175644215216,4.646464646464647
20,ABalpappa(WBbt:0005924),0.7565217391304347,4.0,5.28735632184,0.01428975852950721,5.287356321839081
21,g2(WBbt:0003710),0.6782608695652174,6.0,8.84615384615,0.00025088466420114053,8.846153846153847
22,serotonergic neuron(WBbt:0006837),6.078260869565217,15.0,2.4678111588,0.0091912128708982,2.467811158798283
23,MSaaaa(WBbt:0005894),0.8347826086956521,4.0,4.79166666667,0.020538368775731217,4.791666666666667
24,ABaraaap(WBbt:0005861),0.8869565217391304,4.0,4.50980392157,0.024260409613892548,4.509803921568627
25,MSpapap(WBbt:0005968),0.808695652173913,4.0,4.94623655914,0.0190920552585698,4.946236559139785
26,MSaaap(WBbt:0006160),0.9130434782608695,4.0,4.38095238095,0.025001994573939115,4.380952380952381
27,ABprpaaaa(WBbt:0006278),0.808695652173913,4.0,4.94623655914,0.0190920552585698,4.946236559139785
28,ABaraaaa(WBbt:0006360),0.9652173913043479,4.0,4.14414414414,0.028811222744302204,4.144144144144144
29,syncytium precursor(WBbt:0008073),2.5304347826086957,9.0,3.55670103093,0.005941443643074339,3.556701030927835
30,pharyngeal muscle cell(WBbt:0005451),9.939130434782609,30.0,3.01837270341,1.7801534867181117e-06,3.0183727034120733
31,pharynx(WBbt:0003681),47.55652173913043,85.0,1.78734686414,3.6117245391088957e-09,1.7873468641433536
32,digestive tract(WBbt:0005743),80.13913043478261,105.0,1.31022135417,9.440463170727098e-05,1.3102213541666665
33,pm8(WBbt:0004302),0.7826086956521738,5.0,6.38888888889,0.0038619878969128095,6.388888888888889
34,MSappp(WBbt:0006125),0.8869565217391304,4.0,4.50980392157,0.024260409613892548,4.509803921568627
35,ABalaaaa(WBbt:0006427),1.017391304347826,5.0,4.91452991453,0.011019457109586494,4.914529914529915
36,pm3(WBbt:0003740),0.991304347826087,7.0,7.06140350877,0.0003081181919572072,7.06140350877193
37,ABarapap(WBbt:0006334),0.8347826086956521,5.0,5.98958333333,0.005332943993492108,5.989583333333334
38,ABalpaaa(WBbt:0006557),1.0695652173913044,4.0,3.73983739837,0.04123669584338604,3.7398373983739837
39,MSaap(WBbt:0006312),0.7043478260869566,3.0,4.25925925926,0.047316708592807094,4.259259259259259
40,ABplpaaa(WBbt:0006315),0.9391304347826086,4.0,4.25925925926,0.02742713024308339,4.2592592592592595
41,ABalpapp(WBbt:0006607),0.8347826086956521,4.0,4.79166666667,0.020538368775731217,4.791666666666667
42,pm6(WBbt:0003724),1.1478260869565218,7.0,6.09848484848,0.0006551382263603967,6.098484848484849
43,MSappa(WBbt:0006717),0.8869565217391304,4.0,4.50980392157,0.024260409613892548,4.509803921568627
44,rectal epithelial cell(WBbt:0008182),1.5913043478260869,5.0,3.14207650273,0.047316708592807094,3.1420765027322406
45,ABalaapp(WBbt:0006553),0.8608695652173912,4.0,4.64646464646,0.022603175644215216,4.646464646464647
46,MSpapaa(WBbt:0006351),0.6782608695652174,3.0,4.42307692308,0.04355041786057837,4.423076923076923
47,ABplppaap(WBbt:0006058),0.7043478260869566,3.0,4.25925925926,0.047316708592807094,4.259259259259259
48,arcade cell(WBbt:0005793),1.7739130434782608,6.0,3.38235294118,0.024260409613892548,3.3823529411764706
49,ABalpapaa(WBbt:0006386),0.7043478260869566,4.0,5.67901234568,0.012493022494570481,5.679012345679012
50,marginal cell(WBbt:0003673),1.7739130434782608,10.0,5.63725490196,0.00010186149127494255,5.637254901960785
51,ABpraaaa(WBbt:0006442),1.017391304347826,5.0,4.91452991453,0.011019457109586494,4.914529914529915
52,corpus(WBbt:0003733),4.565217391304348,15.0,3.28571428571,0.0005059937416771435,3.285714285714286
53,MSppap(WBbt:0006383),0.7565217391304347,5.0,6.6091954023,0.003353852257408054,6.609195402298851
54,V cell(WBbt:0008597),1.1217391304347826,4.0,3.56589147287,0.047316708592807094,3.565891472868217
55,terminal bulb(WBbt:0003732),5.191304347826088,21.0,4.04522613065,1.7801534867181117e-06,4.0452261306532655
56,AVK(WBbt:0006823),0.7304347826086957,4.0,5.47619047619,0.013141596099971894,5.476190476190476
57,ABprappp(WBbt:0006702),1.1217391304347826,4.0,3.56589147287,0.047316708592807094,3.565891472868217
58,ABplpaap(WBbt:0006077),0.9391304347826086,4.0,4.25925925926,0.02742713024308339,4.2592592592592595
59,ABarappa(WBbt:0006005),0.8608695652173912,4.0,4.64646464646,0.022603175644215216,4.646464646464647
60,pm5(WBbt:0003737),0.991304347826087,5.0,5.04385964912,0.009892010337616632,5.0438596491228065
61,AVKR(WBbt:0003844),0.7304347826086957,4.0,5.47619047619,0.013141596099971894,5.476190476190476
62,ABaraapp(WBbt:0006153),0.9652173913043479,5.0,5.18018018018,0.009219365507838119,5.18018018018018
63,pm7(WBbt:0003721),0.991304347826087,7.0,7.06140350877,0.0003081181919572072,7.06140350877193
64,MSpaaaa(WBbt:0006145),0.7043478260869566,4.0,5.67901234568,0.012493022494570481,5.679012345679012
65,ABpraapa(WBbt:0006302),1.017391304347826,4.0,3.93162393162,0.03355981623066291,3.931623931623932
66,ABprpaaap(WBbt:0006490),0.8347826086956521,5.0,5.98958333333,0.005332943993492108,5.989583333333334
67,MSaaa(WBbt:0006438),0.6782608695652174,3.0,4.42307692308,0.04355041786057837,4.423076923076923
68,g1(WBbt:0003712),0.7565217391304347,6.0,7.93103448276,0.00037173182117577114,7.931034482758621
69,ABplpapa(WBbt:0006087),0.991304347826087,4.0,4.0350877193,0.03086825612104077,4.035087719298246
70,ABplppaaa(WBbt:0005998),0.7304347826086957,4.0,5.47619047619,0.013141596099971894,5.476190476190476
