,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,muscle cell(WBbt:0003675),133.36363636363635,251.0,1.88207225631,5.924707886633039e-31,1.8820722563053853
1,muscular system(WBbt:0005737),178.68794466403162,346.0,1.93633655953,3.5041814633688437e-57,1.9363365595286681
2,uterine muscle(WBbt:0005342),12.756521739130434,36.0,2.82208588957,7.185710399888442e-08,2.8220858895705523
3,anal sphincter muscle(WBbt:0005798),12.466600790513834,49.0,3.93050205292,2.7381109488906937e-17,3.930502052916092
4,head muscle(WBbt:0006761),17.105335968379446,32.0,1.87076126766,0.007573323900637536,1.8707612676625882
5,pharyngeal muscle cell(WBbt:0005451),36.819960474308296,69.0,1.87398354347,2.3681950542997354e-06,1.8739835434681096
6,body wall musculature(WBbt:0005813),120.12391304347825,302.0,2.51407061549,1.4223971188959437e-74,2.514070615487631
7,vulval muscle(WBbt:0005821),63.10612648221344,158.0,2.50371887497,5.924707886633039e-31,2.503718874973772
8,anal depressor muscle(WBbt:0004292),41.651976284584975,119.0,2.85700729269,4.273182557275047e-28,2.857007292689755
9,intestinal muscle(WBbt:0005796),19.231422924901185,47.0,2.44391692614,7.087610080293797e-08,2.4439169261440123
10,muscle of the reproductive system(WBbt:0005786),22.807114624505928,40.0,1.75383868843,0.0068935107508157544,1.7538386884336765
11,smooth muscle(WBbt:0005781),40.78221343873518,93.0,2.28040589655,4.0234622221168007e-14,2.280405896548716
