,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,hermaphrodite-specific(WBbt:0005758),123.96146245059289,179.0,1.44399716219,5.535994909349711e-09,1.4439971621934014
1,muscular system(WBbt:0005737),120.95237154150198,258.0,2.13307103211,2.3075840762482707e-55,2.1330710321084805
2,uterine muscle(WBbt:0005342),8.634782608695652,29.0,3.35850956697,5.5090799586270584e-08,3.358509566968782
3,anal sphincter muscle(WBbt:0005798),8.438537549407114,42.0,4.97716574159,1.845676799196821e-18,4.977165741586455
4,non-striated muscle(WBbt:0005780),81.899604743083,167.0,2.03908187987,4.9646808224648636e-24,2.0390818798683434
5,vulval muscle(WBbt:0005821),42.71600790513834,123.0,2.87948256478,5.459353938695703e-30,2.8794825647835
6,body muscle cell(WBbt:0007810),61.94802371541502,145.0,2.34067192629,3.867912966906807e-26,2.3406719262929205
7,head muscle(WBbt:0006761),11.578458498023716,23.0,1.98644750542,0.02217521323171153,1.986447505419291
8,pharyngeal muscle cell(WBbt:0005451),24.923122529644267,47.0,1.88579901833,0.0002531622912320051,1.8857990183251263
9,body wall musculature(WBbt:0005813),81.31086956521739,230.0,2.82865010828,7.43172509173491e-70,2.8286501082800846
10,anal depressor muscle(WBbt:0004292),28.19387351778656,87.0,3.08577677151,2.606427679139012e-22,3.0857767715072795
11,intestinal muscle(WBbt:0005796),13.017588932806325,34.0,2.61185079476,2.535864044435405e-06,2.611850794759295
12,muscle of the reproductive system(WBbt:0005786),15.43794466403162,35.0,2.26714117466,5.893272758311122e-05,2.267141174663321
13,smooth muscle(WBbt:0005781),27.60513833992095,77.0,2.78933577698,9.971073945977206e-17,2.7893357769791383
