,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,SMDDR(WBbt:0004971),1.024505928853755,7.0,6.8325617284,0.0002692884925894046,6.832561728395061
1,interneuron(WBbt:0005113),16.904347826086955,28.0,1.65637860082,0.034530850570091934,1.6563786008230454
2,lateral ganglion right neuron(WBbt:0005100),15.431620553359684,31.0,2.00886225091,0.0011435203655250587,2.008862250909277
3,command interneuron(WBbt:0007804),2.9134387351778654,14.0,4.80531813865,1.5222720611949534e-05,4.805318138651472
4,AFDL(WBbt:0003993),1.7608695652173914,6.0,3.40740740741,0.02767870476793974,3.4074074074074074
5,cholinergic neuron(WBbt:0006840),10.885375494071146,22.0,2.02106027596,0.00901149646846367,2.021060275962237
6,DVA(WBbt:0004823),1.1205533596837944,7.0,6.24691358025,0.0003608281040785598,6.246913580246914
7,RICL(WBbt:0003941),1.0885375494071146,5.0,4.59331880901,0.012255775101523236,4.593318809005083
8,RIMR(WBbt:0005053),0.8324110671936759,7.0,8.40930674264,7.659171984548473e-05,8.409306742640076
9,SMDVL(WBbt:0004970),0.9284584980237154,7.0,7.53937845892,0.00014097278716565599,7.539378458918689
10,PVQR(WBbt:0004074),1.6007905138339922,7.0,4.37283950617,0.0037703506956338196,4.37283950617284
11,RIM(WBbt:0005835),0.8324110671936759,7.0,8.40930674264,7.659171984548473e-05,8.409306742640076
12,AFD(WBbt:0005662),1.7608695652173914,6.0,3.40740740741,0.02767870476793974,3.4074074074074074
13,DB neuron(WBbt:0005274),1.7928853754940712,7.0,3.90432098765,0.007446269985018602,3.904320987654321
14,nerve ring neuron(WBbt:0006974),13.446640316205535,26.0,1.93356848912,0.006695738793424524,1.9335684891240446
15,lateral ganglion(WBbt:0005105),16.26403162055336,31.0,1.90604646641,0.002846115846075253,1.9060464664139203
16,PVQL(WBbt:0004076),1.6007905138339922,7.0,4.37283950617,0.0037703506956338196,4.37283950617284
17,dorsal-rectal ganglion neuron(WBbt:0005801),2.241106719367589,10.0,4.46208112875,0.0003608281040785598,4.462081128747796
18,lateral ganglion left neuron(WBbt:0005102),15.463636363636365,31.0,2.00470311581,0.0011458419276182891,2.0047031158142268
19,pharyngeal neuron(WBbt:0005439),8.356126482213439,17.0,2.03443545717,0.026114094836325593,2.0344354571685352
20,PVQ(WBbt:0006976),1.6007905138339922,7.0,4.37283950617,0.0037703506956338196,4.37283950617284
21,AVA(WBbt:0005842),1.632806324110672,12.0,7.34931009441,2.6267354602399603e-06,7.349310094408133
22,dorso-rectal ganglion(WBbt:0005212),2.561264822134387,11.0,4.29475308642,0.0002702411670826539,4.294753086419753
23,AVAL(WBbt:0003870),1.632806324110672,12.0,7.34931009441,2.6267354602399603e-06,7.349310094408133
24,AVAR(WBbt:0003869),1.632806324110672,12.0,7.34931009441,2.6267354602399603e-06,7.349310094408133
25,SMDVR(WBbt:0004969),0.9604743083003952,7.0,7.28806584362,0.000171460232490076,7.2880658436214
26,RMD(WBbt:0005400),1.1525691699604743,10.0,8.67626886145,2.6267354602399603e-06,8.676268861454046
27,thermosensory neuron(WBbt:0005838),1.7608695652173914,6.0,3.40740740741,0.02767870476793974,3.4074074074074074
28,AFDR(WBbt:0003991),1.7288537549407117,6.0,3.47050754458,0.02605239244966574,3.470507544581618
29,PVCR(WBbt:0004092),1.376679841897233,8.0,5.81108240023,0.0002702411670826539,5.8110824002296875
30,SMDDL(WBbt:0004972),1.0885375494071146,7.0,6.43064633261,0.0003011212140094185,6.430646332607117
31,motor neuron(WBbt:0005409),14.022924901185771,31.0,2.2106657647,0.0002692884925894046,2.2106657646992502
32,RIC(WBbt:0006834),1.0885375494071146,5.0,4.59331880901,0.012255775101523236,4.593318809005083
33,head motor neuron(WBbt:0008610),4.354150197628458,17.0,3.90432098765,2.2381026981460748e-05,3.9043209876543212
34,PVC(WBbt:0005840),1.376679841897233,8.0,5.81108240023,0.0002702411670826539,5.8110824002296875
35,RIML(WBbt:0003926),0.8324110671936759,7.0,8.40930674264,7.659171984548473e-05,8.409306742640076
36,AVDL(WBbt:0003866),0.9284584980237154,6.0,6.46232439336,0.0008182348221291603,6.462324393358877
37,AVD(WBbt:0006818),0.9284584980237154,6.0,6.46232439336,0.0008182348221291603,6.462324393358877
38,ventral ganglion (ant)(WBbt:0005266),3.3296442687747034,11.0,3.30365622032,0.002649106783813079,3.303656220322887
39,AVK(WBbt:0006823),0.8964426877470356,4.0,4.46208112875,0.02767870476793974,4.462081128747795
40,AVKR(WBbt:0003844),0.8964426877470356,4.0,4.46208112875,0.02767870476793974,4.462081128747795
41,RMDVL(WBbt:0005031),0.8324110671936759,8.0,9.6106362773,7.654363330122861e-06,9.610636277302945
42,AVDR(WBbt:0003865),0.9284584980237154,6.0,6.46232439336,0.0008182348221291603,6.462324393358877
43,neuron(WBbt:0003679),89.93241106719368,108.0,1.20090186306,0.02248627965001703,1.2009018630592143
44,RICR(WBbt:0003940),1.0885375494071146,5.0,4.59331880901,0.012255775101523236,4.593318809005083
45,pharyngeal nervous system(WBbt:0005440),8.388142292490118,18.0,2.14588634436,0.012255775101523236,2.145886344359627
46,PVCL(WBbt:0004094),1.3446640316205534,8.0,5.949441505,0.0002692884925894046,5.94944150499706
