,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,SMDDR(WBbt:0004971),1.0118577075098814,6.0,5.9296875,0.0005694522214177697,5.9296875
1,RMER(WBbt:0005023),0.8537549407114625,14.0,16.3981481481,3.540450262886063e-14,16.398148148148145
2,ALML(WBbt:0003954),2.8774703557312256,9.0,3.12774725275,0.0038749694519244144,3.1277472527472523
3,pharyngeal segment(WBbt:0005789),8.758893280632412,21.0,2.3975631769,0.0005694522214177697,2.3975631768953067
4,somatic gonad(WBbt:0005785),15.304347826086957,25.0,1.63352272727,0.025131924283890477,1.6335227272727273
5,PLM(WBbt:0005490),2.845849802371542,11.0,3.86527777778,0.0002731328849254394,3.865277777777777
6,AIA(WBbt:0006812),0.8221343873517786,4.0,4.86538461538,0.007084548381226548,4.865384615384616
7,DD neuron(WBbt:0005270),1.9604743083003953,19.0,9.69153225806,1.0283315764180048e-13,9.691532258064516
8,RMED(WBbt:0005027),0.9486166007905138,13.0,13.7041666667,4.3458472326535566e-12,13.704166666666667
9,interneuron(WBbt:0005113),16.695652173913043,44.0,2.63541666667,7.252481294774908e-09,2.6354166666666665
10,male gonadal cell(WBbt:0008209),0.8853754940711462,4.0,4.51785714286,0.009542130386651857,4.517857142857143
11,RICL(WBbt:0003941),1.075098814229249,5.0,4.65073529412,0.004175321908643812,4.650735294117647
12,ALMR(WBbt:0003953),2.845849802371542,9.0,3.1625,0.003659661228753334,3.1624999999999996
13,lateral ganglion right neuron(WBbt:0005100),15.24110671936759,28.0,1.83713692946,0.00343866005525715,1.8371369294605808
14,retrovesicular ganglion neuron(WBbt:0005403),3.0988142292490117,13.0,4.19515306122,3.637118978822956e-05,4.19515306122449
15,command interneuron(WBbt:0007804),2.8774703557312256,13.0,4.51785714286,1.6294710478122535e-05,4.517857142857142
16,ventral nerve cord(WBbt:0005829),14.418972332015809,39.0,2.70476973684,4.072155138682885e-08,2.7047697368421058
17,cholinergic neuron(WBbt:0006840),10.75098814229249,37.0,3.44154411765,1.1412317534209192e-10,3.4415441176470587
18,ALN(WBbt:0006851),0.9802371541501976,7.0,7.14112903226,6.468097238560586e-05,7.141129032258064
19,serotonergic neuron(WBbt:0006837),7.367588932806324,19.0,2.57886266094,0.0004591978051491017,2.578862660944206
20,uterine muscle(WBbt:0005342),4.173913043478261,11.0,2.63541666667,0.0057782472161837265,2.6354166666666665
21,DA neuron(WBbt:0005278),2.150197628458498,14.0,6.51102941176,6.191094520738396e-08,6.511029411764706
22,CEPVR(WBbt:0004931),1.075098814229249,6.0,5.58088235294,0.0008077922660005821,5.580882352941177
23,lumbar neuron(WBbt:0006802),9.612648221343873,25.0,2.60074013158,4.312281461924831e-05,2.6007401315789473
24,anal sphincter muscle(WBbt:0005798),4.079051383399209,12.0,2.94186046512,0.0016156517570173057,2.9418604651162794
25,linker cell(WBbt:0005062),0.8537549407114625,4.0,4.68518518519,0.008252392944738656,4.685185185185185
26,uterine-vulval cell(WBbt:0006790),0.9802371541501976,4.0,4.08064516129,0.01453711651410041,4.080645161290323
27,AUA(WBbt:0006817),1.0434782608695652,5.0,4.79166666667,0.003681427269705768,4.791666666666667
28,pharyngeal nervous system(WBbt:0005440),8.284584980237154,23.0,2.77624045802,3.590025323578145e-05,2.776240458015267
29,GABAergic neuron(WBbt:0005190),4.996047430830039,37.0,7.40585443038,1.917088681691213e-21,7.4058544303797476
30,pharyngeal motor neuron(WBbt:0003677),2.0869565217391304,8.0,3.83333333333,0.0016547182365568057,3.8333333333333335
31,preanal ganglion neuron(WBbt:0005447),4.616600790513834,14.0,3.03253424658,0.0005694522214177697,3.0325342465753424
32,SMDVL(WBbt:0004970),0.9169960474308301,5.0,5.4525862069,0.0019182720343618948,5.452586206896552
33,PLMR(WBbt:0004103),2.782608695652174,11.0,3.953125,0.00022466103274223337,3.953125
34,PVQR(WBbt:0004074),1.5810276679841897,6.0,3.795,0.005844890839203546,3.795
35,non-striated muscle(WBbt:0005780),39.58893280632411,53.0,1.33875798722,0.03163848170613775,1.3387579872204474
36,RID(WBbt:0003938),0.8537549407114625,5.0,5.85648148148,0.0014079747010914583,5.856481481481481
37,AVM(WBbt:0003832),2.276679841897233,9.0,3.953125,0.0008077922660005821,3.9531250000000004
38,OLL(WBbt:0006847),1.2964426877470356,5.0,3.85670731707,0.009558781468769924,3.8567073170731705
39,embryonic cell(WBbt:0007028),29.91304347826087,57.0,1.90552325581,2.0955291767160533e-06,1.9055232558139534
40,ganglion(WBbt:0005189),56.34782608695652,91.0,1.6149691358,1.3481898794924898e-07,1.6149691358024691
41,DB neuron(WBbt:0005274),1.7707509881422925,12.0,6.77678571429,3.247322898658281e-07,6.776785714285714
42,dorsal ganglion(WBbt:0005214),3.9209486166007905,16.0,4.08064516129,6.176000018481731e-06,4.080645161290323
43,vulval muscle(WBbt:0005821),20.64822134387352,31.0,1.50133996937,0.03593919377068932,1.5013399693721285
44,outer labial lateral sensillum(WBbt:0005503),1.4861660079051384,5.0,3.36436170213,0.018583202310093805,3.3643617021276593
45,accessory cell(WBbt:0005762),4.8063241106719365,14.0,2.91282894737,0.0008126309114979084,2.9128289473684212
46,body muscle cell(WBbt:0007810),29.944664031620555,48.0,1.60295670539,0.0014060701534032531,1.6029567053854277
47,IL1 neuron(WBbt:0005119),1.1383399209486165,5.0,4.39236111111,0.005511777780327592,4.392361111111112
48,nerve ring neuron(WBbt:0006974),13.280632411067195,37.0,2.78601190476,4.643985252281931e-08,2.7860119047619043
49,AIAR(WBbt:0003987),0.8221343873517786,4.0,4.86538461538,0.007084548381226548,4.865384615384616
50,SIA(WBbt:0005361),0.8537549407114625,6.0,7.02777777778,0.00019929088916167736,7.027777777777777
51,VD neuron(WBbt:0005303),1.6758893280632412,20.0,11.9339622642,3.89028195018631e-16,11.933962264150942
52,tail(WBbt:0005741),52.93280632411067,71.0,1.34132317802,0.006065009743746691,1.3413231780167265
53,lateral ganglion(WBbt:0005105),16.063241106719367,31.0,1.92987204724,0.0009422827145851937,1.9298720472440944
54,PVQL(WBbt:0004076),1.5810276679841897,6.0,3.795,0.005844890839203546,3.795
55,RIC(WBbt:0006834),1.075098814229249,5.0,4.65073529412,0.004175321908643812,4.650735294117647
