,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,RMER(WBbt:0005023),0.2721343873517787,6.0,22.0479302832,9.068708299825837e-07,22.047930283224396
1,DD neuron(WBbt:0005270),0.624901185770751,13.0,20.8032890576,2.2928076426839754e-13,20.803289057558505
2,RMED(WBbt:0005027),0.30237154150197626,5.0,16.5359477124,2.9348398120976982e-05,16.535947712418302
3,interneuron(WBbt:0005113),5.321739130434782,17.0,3.19444444444,8.88940109094156e-05,3.1944444444444446
4,retrovesicular ganglion neuron(WBbt:0005403),0.9877470355731225,6.0,6.07442977191,0.0018214511336781358,6.074429771908764
5,ventral nerve cord(WBbt:0005829),4.596047430830039,11.0,2.39336085311,0.03254531014713381,2.3933608531131756
6,cholinergic neuron(WBbt:0006840),3.4268774703557314,14.0,4.08535178777,4.088515024350895e-05,4.0853517877739325
7,GABAergic neuron(WBbt:0005190),1.592490118577075,15.0,9.41921072226,2.454335582304594e-10,9.419210722263589
8,RID(WBbt:0003938),0.2721343873517787,2.0,7.34931009441,0.046910018203122274,7.349310094408133
9,DB neuron(WBbt:0005274),0.5644268774703557,4.0,7.08683473389,0.0060921671619461465,7.086834733893558
10,dorsal ganglion(WBbt:0005214),1.249802371541502,5.0,4.00063251107,0.031187051037528456,4.000632511068943
11,nerve ring neuron(WBbt:0006974),4.233201581027668,11.0,2.59850606909,0.016777046246407377,2.5985060690943045
12,VD neuron(WBbt:0005303),0.5341897233201581,11.0,20.5919348872,1.8754268168393854e-11,20.59193488716241
13,ventral ganglion (post)(WBbt:0005264),1.3102766798418972,6.0,4.57918552036,0.007530279805216541,4.579185520361991
14,dorso-rectal ganglion(WBbt:0005212),0.8063241106719367,5.0,6.20098039216,0.003962130954031052,6.200980392156864
15,ventral cord neuron(WBbt:0005300),6.531225296442688,21.0,3.2153231663,6.6431886194492295e-06,3.215323166303558
16,VB neuron(WBbt:0005336),0.47371541501976283,4.0,8.44388819358,0.0029766354675757755,8.443888193575303
17,nerve ring(WBbt:0006749),6.359881422924901,17.0,2.67300581088,0.000924782647419854,2.6730058108821977
18,dorsal nerve cord(WBbt:0006750),2.640711462450593,10.0,3.78685825475,0.0017658444694665027,3.7868582547522824
19,DA neuron(WBbt:0005278),0.6853754940711463,5.0,7.2952710496,0.001915216630445288,7.295271049596309
20,AS neuron(WBbt:0005334),0.29229249011857705,4.0,13.6849222448,0.000387522706566312,13.684922244759974
21,motor neuron(WBbt:0005409),4.414624505928853,18.0,4.07735697019,1.801551417577083e-06,4.077356970185335
22,anterior ganglion (post)(WBbt:0005371),2.16699604743083,11.0,5.07615139079,5.3682731130487626e-05,5.076151390788874
23,head motor neuron(WBbt:0008610),1.3707509881422926,7.0,5.10668973472,0.001915216630445288,5.106689734717416
24,retrovesicular ganglion(WBbt:0005656),1.199407114624506,6.0,5.00247157687,0.004707480830129291,5.00247157686604
25,lumbar left ganglion neuron(WBbt:0005097),2.93300395256917,8.0,2.72757900411,0.044167950424075515,2.7275790041102352
26,ganglion(WBbt:0005189),17.960869565217394,29.0,1.6146211571,0.01180216361907471,1.614621157104817
27,RMEL(WBbt:0005025),0.2721343873517787,6.0,22.0479302832,9.068708299825837e-07,22.047930283224396
28,sensory neuron(WBbt:0005759),8.16403162055336,16.0,1.95981602518,0.035308254728564054,1.9598160251755024
29,dorsal-rectal ganglion neuron(WBbt:0005801),0.7055335968379447,5.0,7.08683473389,0.0020442000552774297,7.086834733893557
30,head neuron(WBbt:0006751),21.871541501976285,33.0,1.5088099756,0.012166000403256837,1.5088099756031443
31,ventral ganglion (ant)(WBbt:0005266),1.0482213438735177,7.0,6.67797888386,0.0003668728274753757,6.677978883861237
32,pharyngeal interneuron(WBbt:0003668),0.6853754940711463,4.0,5.83621683968,0.013085220658151823,5.836216839677047
33,RMEV(WBbt:0005021),0.28221343873517785,5.0,17.7170868347,2.127220541412611e-05,17.717086834733895
34,neuron(WBbt:0003679),28.31205533596838,44.0,1.55410829337,3.2215896672876766e-05,1.554108293370748
