,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,SMDDR(WBbt:0004971),4.534387351778656,20.0,4.41073919107,3.0174169985074783e-10,4.41073919107392
1,amphid left sensillum(WBbt:0005395),61.92272727272727,119.0,1.92174998165,3.034244932263498e-13,1.9217499816486825
2,anterior deirid sensillum(WBbt:0006927),5.667984189723319,18.0,3.17573221757,1.9363243859991675e-06,3.175732217573222
3,RMER(WBbt:0005023),3.8258893280632416,16.0,4.18203419598,4.02223637426352e-08,4.182034195981197
4,ALML(WBbt:0003954),12.894664031620554,41.0,3.17960979049,2.087136047150503e-12,3.1796097904884513
5,pharyngeal segment(WBbt:0005789),39.250790513834,67.0,1.70697199019,6.771410382639193e-06,1.7069719901917837
6,PLM(WBbt:0005490),12.75296442687747,38.0,2.97969936464,1.1672164329880435e-10,2.9796993646366032
7,R9BR(WBbt:0003966),4.109288537549407,10.0,2.43351127783,0.0037405660395178754,2.4335112778338863
8,pharyngeal nervous system(WBbt:0005440),37.12529644268775,87.0,2.34341563129,4.6719446482934216e-15,2.343415631288128
9,URX(WBbt:0006846),6.234782608695652,16.0,2.56624825662,0.00018243414146361638,2.5662482566248257
10,DD neuron(WBbt:0005270),8.785375494071147,31.0,3.52859135286,3.309030127663601e-11,3.5285913528591353
11,RMED(WBbt:0005027),4.25098814229249,13.0,3.05811250581,7.184784103753342e-05,3.0581125058112506
12,PDER(WBbt:0004382),6.376482213438735,24.0,3.76383077638,6.476256149505107e-10,3.7638307763830774
13,interneuron(WBbt:0005113),74.81739130434782,185.0,2.47268712227,9.883842665329592e-37,2.4726871222687126
14,PVT(WBbt:0004070),12.469565217391304,25.0,2.00488145049,0.0004303150920540773,2.004881450488145
15,PDE(WBbt:0006747),6.376482213438735,24.0,3.76383077638,6.476256149505107e-10,3.7638307763830774
16,AWAL(WBbt:0003831),6.518181818181818,16.0,2.45467224547,0.0003295996576699016,2.4546722454672247
17,R7B(WBbt:0008403),4.392687747035573,12.0,2.73181266028,0.00046982586916519516,2.73181266027804
18,PHBL(WBbt:0004364),12.327865612648223,38.0,3.08244761859,3.94205305373057e-11,3.082447618589589
19,AVKL(WBbt:0003845),3.8258893280632416,8.0,2.09101709799,0.023735580365182318,2.0910170979905986
20,PHA(WBbt:0007807),12.327865612648223,37.0,3.001330576,1.5642166626544588e-10,3.001330575995126
21,phasmid left sensillum(WBbt:0005431),16.862252964426876,46.0,2.72798659213,5.338237747953828e-11,2.7279865921263906
22,outer labial quadrant sensillum(WBbt:0005502),6.518181818181818,19.0,2.91492329149,5.356445418437716e-06,2.9149232914923293
23,ALMR(WBbt:0003953),12.75296442687747,41.0,3.21493878816,1.327110456931788e-12,3.2149387881605453
24,OLQ(WBbt:0006848),4.959486166007905,19.0,3.83104204025,2.177921928162226e-08,3.831042040247061
25,ray neuron type A(WBbt:0006972),4.817786561264822,12.0,2.49077036672,0.0013353781069362501,2.4907703667240955
26,lateral ganglion right neuron(WBbt:0005100),68.299209486166,157.0,2.29870888962,9.700286478667926e-27,2.2987088896219263
27,AIYR(WBbt:0003961),10.769169960474308,31.0,2.8785876826,1.371513442846759e-08,2.8785876825956103
28,ASK(WBbt:0005668),14.878458498023717,43.0,2.89008434615,2.955621084424978e-11,2.8900843461512915
29,retrovesicular ganglion neuron(WBbt:0005403),13.886561264822134,52.0,3.74462755814,1.8856402969160118e-19,3.744627558136225
30,command interneuron(WBbt:0007804),12.894664031620554,39.0,3.02450687388,4.2425848119033174e-11,3.024506873879259
31,R5AL(WBbt:0004024),3.684189723320158,9.0,2.44287093659,0.005217754702675879,2.4428709365947863
32,ventral nerve cord(WBbt:0005829),64.61501976284585,122.0,1.88810589934,5.58030290864304e-13,1.8881058993369058
33,AFDL(WBbt:0003993),7.793478260869565,22.0,2.82287308229,2.0785843368962555e-06,2.822873082287308
34,R9AR(WBbt:0003970),3.9675889328063243,9.0,2.26838015541,0.0094632045068735,2.268380155409444
35,cholinergic neuron(WBbt:0006840),48.17786561264822,136.0,2.82287308229,2.7222869873205238e-33,2.8228730822873085
36,ALN(WBbt:0006851),4.392687747035573,13.0,2.9594637153,0.0001116433861529406,2.95946371530121
37,R2BL(WBbt:0004040),4.25098814229249,12.0,2.82287308229,0.0003295996576699016,2.822873082287308
38,AWBR(WBbt:0003828),10.34407114624506,25.0,2.41684339237,1.3035337828420799e-05,2.4168433923692705
39,R6BL(WBbt:0004014),4.109288537549407,12.0,2.9202135334,0.0002266137902729458,2.9202135334006636
40,serotonergic neuron(WBbt:0006837),33.01600790513834,83.0,2.5139320368,1.898752643246034e-16,2.513932036800929
41,R7AL(WBbt:0004006),3.684189723320158,8.0,2.17144083253,0.01830580263663907,2.171440832528699
42,uv1(WBbt:0006791),3.8258893280632416,15.0,3.92065705873,3.268332142957155e-07,3.920657058732372
43,R4BR(WBbt:0004027),3.9675889328063243,10.0,2.5204223949,0.0027014409471366125,2.520422394899382
44,ASGR(WBbt:0003891),8.50197628458498,29.0,3.4109716411,3.20802616851227e-10,3.410971641097164
45,AQR(WBbt:0003927),4.676086956521739,9.0,1.92468619247,0.032347852210531707,1.9246861924686194
46,R7BR(WBbt:0004000),4.392687747035573,12.0,2.73181266028,0.00046982586916519516,2.73181266027804
47,R1BR(WBbt:0004046),4.25098814229249,12.0,2.82287308229,0.0003295996576699016,2.822873082287308
48,glutamatergic neuron(WBbt:0006829),16.153754940711462,50.0,3.09525557268,2.5762148492920983e-14,3.095255572683452
49,R9A(WBbt:0006858),3.9675889328063243,9.0,2.26838015541,0.0094632045068735,2.268380155409444
50,DA neuron(WBbt:0005278),9.635573122529644,30.0,3.11346295841,2.4203567313701252e-09,3.1134629584051194
51,ray 1(WBbt:0006942),5.242885375494072,12.0,2.28881601267,0.003217374703955266,2.288816012665385
52,CEPVR(WBbt:0004931),4.817786561264822,16.0,3.32102715563,3.0468468629437338e-06,3.3210271556321276
53,IL sensillum dorsal left(WBbt:0005126),5.101185770750988,10.0,1.96032852937,0.02228724616900885,1.9603285293661865
54,lumbar neuron(WBbt:0006802),43.07667984189723,121.0,2.80894443221,3.160398041751471e-29,2.808944432210233
55,AWC(WBbt:0005672),16.153754940711462,33.0,2.04286867797,3.962309514020654e-05,2.0428686779710783
56,FLP(WBbt:0006828),4.959486166007905,21.0,4.23430962343,3.447346368030566e-10,4.2343096234309625
57,uterine-vulval cell(WBbt:0006790),4.392687747035573,16.0,3.64241688037,5.871929426704194e-07,3.64241688037072
58,FLPL(WBbt:0004798),4.959486166007905,21.0,4.23430962343,3.447346368030566e-10,4.2343096234309625
59,AUA(WBbt:0006817),4.676086956521739,15.0,3.20781032078,1.0307130770128985e-05,3.2078103207810322
60,postdeirid sensillum(WBbt:0005471),6.943280632411067,25.0,3.60060342128,1.0097152974557224e-09,3.600603421284832
61,RICL(WBbt:0003941),4.817786561264822,14.0,2.90589876118,8.30635031972082e-05,2.9058987611781113
62,R4A(WBbt:0008394),3.684189723320158,9.0,2.44287093659,0.005217754702675879,2.4428709365947863
63,ASJ(WBbt:0005667),11.619367588932807,31.0,2.66795931558,1.0773344453813722e-07,2.6679593155764194
64,GABAergic neuron(WBbt:0005190),22.388537549407115,72.0,3.21593135957,1.7321468685189025e-21,3.2159313595678194
65,BAGR(WBbt:0003823),5.526284584980237,19.0,3.4381146515,2.109758941994389e-07,3.438114651503773
66,RIMR(WBbt:0005053),3.684189723320158,15.0,4.07145156099,1.6535388351776727e-07,4.07145156099131
67,pharyngeal motor neuron(WBbt:0003677),9.352173913043478,28.0,2.9939562994,2.213462158908379e-08,2.99395629939563
68,ASIR(WBbt:0003887),19.69624505928854,51.0,2.58932602872,4.8296038972539534e-11,2.5893260287167754
69,AWCL(WBbt:0003827),15.445256916996048,33.0,2.13657825036,1.3562874779826892e-05,2.1365782503550728
70,RID(WBbt:0003938),3.8258893280632416,14.0,3.65927992148,2.4167439132813043e-06,3.6592799214835474
71,preanal ganglion neuron(WBbt:0005447),20.68814229249012,50.0,2.41684339237,9.911605542972993e-10,2.4168433923692705
72,URXL(WBbt:0004928),6.234782608695652,16.0,2.56624825662,0.00018243414146361638,2.5662482566248257
73,ASKL(WBbt:0003884),14.878458498023717,43.0,2.89008434615,2.955621084424978e-11,2.8900843461512915
74,R4AL(WBbt:0004030),3.684189723320158,9.0,2.44287093659,0.005217754702675879,2.4428709365947863
75,PLMR(WBbt:0004103),12.469565217391304,38.0,3.04741980474,5.338237747953828e-11,3.0474198047419803
76,PVQR(WBbt:0004074),7.08498023715415,21.0,2.9640167364,1.345733673739901e-06,2.9640167364016734
77,IL sensillum left(WBbt:0005123),6.234782608695652,12.0,1.92468619247,0.016185913902362653,1.9246861924686192
78,PQR(WBbt:0004096),7.935177865612649,22.0,2.77246463439,2.983974572085706e-06,2.7724646343893204
79,R5B(WBbt:0008401),4.534387351778656,13.0,2.8669804742,0.00017013689974460937,2.866980474198048
80,AVM(WBbt:0003832),10.202371541501975,32.0,3.13652564699,5.953530512356303e-10,3.1365256469858984
81,OLL(WBbt:0006847),5.8096837944664035,21.0,3.61465455659,1.8244017261479805e-08,3.6146545565874066
82,embryonic cell(WBbt:0007028),134.04782608695652,246.0,1.83516590445,2.3631052723185917e-26,1.8351659044468231
83,AFD(WBbt:0005662),7.793478260869565,22.0,2.82287308229,2.0785843368962555e-06,2.822873082287308
84,ray 5(WBbt:0006950),5.8096837944664035,14.0,2.40976970439,0.0008836717286188884,2.4097697043916044
85,DB neuron(WBbt:0005274),7.935177865612649,26.0,3.27654911337,6.7337242301913345e-09,3.276549113369197
86,RMD(WBbt:0005400),5.101185770750988,19.0,3.7246242058,3.990719664780446e-08,3.724624205795754
87,dorsal ganglion(WBbt:0005214),17.570750988142294,53.0,3.01637647906,1.5659803340475964e-14,3.0163764790570027
88,outer labial lateral sensillum(WBbt:0005503),6.659881422924902,20.0,3.00305647052,1.7603775561961002e-06,3.0030564705184126
89,IL1 neuron(WBbt:0005119),5.101185770750988,15.0,2.94049279405,3.989207685153297e-05,2.9404927940492795
90,R2AL(WBbt:0004042),3.8258893280632416,10.0,2.61377137249,0.001925977289507497,2.613771372488248
91,nerve ring neuron(WBbt:0006974),59.51383399209487,135.0,2.26838015541,4.188279678989347e-22,2.268380155409444
92,AWBL(WBbt:0003829),10.485770750988143,25.0,2.38418334653,1.7147889888774533e-05,2.3841833465264424
93,AIAR(WBbt:0003987),3.684189723320158,11.0,2.98573114473,0.0003010977345089523,2.9857311447269606
94,SIA(WBbt:0005361),3.8258893280632416,11.0,2.87514850974,0.00043516261287767705,2.875148509737073
95,FLPR(WBbt:0004797),4.959486166007905,21.0,4.23430962343,3.447346368030566e-10,4.2343096234309625
96,R9BL(WBbt:0003968),4.109288537549407,10.0,2.43351127783,0.0037405660395178754,2.4335112778338863
97,VD neuron(WBbt:0005303),7.510079051383399,28.0,3.72832293887,4.69897372576668e-11,3.7283229388700296
98,ADFR(WBbt:0003999),11.052569169960474,23.0,2.08096413117,0.00038932497966687174,2.080964131173336
99,tail(WBbt:0005741),237.20513833992092,386.0,1.62728346739,8.13724392015346e-34,1.6272834673878451
100,ray 6(WBbt:0006951),5.101185770750988,13.0,2.54842708818,0.0006774286301558945,2.5484270881760422
101,ASG(WBbt:0005664),8.643675889328064,29.0,3.35505407321,5.131305133197016e-10,3.3550540732103253
102,lateral ganglion(WBbt:0005105),71.98339920948617,165.0,2.29219517016,4.795970582496831e-28,2.292195170164399
103,PVQL(WBbt:0004076),7.08498023715415,21.0,2.9640167364,1.345733673739901e-06,2.9640167364016734
104,RIC(WBbt:0006834),4.817786561264822,14.0,2.90589876118,8.30635031972082e-05,2.9058987611781113
105,R4BL(WBbt:0004028),3.9675889328063243,10.0,2.5204223949,0.0027014409471366125,2.520422394899382
106,ADFL(WBbt:0004003),11.477667984189724,23.0,2.00389138557,0.0007177670437615179,2.0038913855743234
107,IL sensillum right(WBbt:0005122),6.234782608695652,12.0,1.92468619247,0.016185913902362653,1.9246861924686192
108,ASHL(WBbt:0003890),14.59505928853755,43.0,2.9462024888,1.464184922254742e-11,2.946202488795006
109,ray 8(WBbt:0006953),5.667984189723319,10.0,1.76429567643,0.04901267546561762,1.7642956764295679
110,lateral ganglion left neuron(WBbt:0005102),68.44090909090909,157.0,2.29394965797,1.1926924682475613e-26,2.2939496579663943
111,OLLL(WBbt:0004445),5.526284584980237,20.0,3.61906805421,3.573124618758856e-08,3.6190680542144977
