#Spermatogenic_W
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,germ cell WBbt:0006796,21.90909090909091,60.0,2.73858921162,4.847791812689017e-12,2.7385892116182573
1,uterus WBbt:0006760,29.62490118577075,54.0,1.82279089005,0.0003626243821508986,1.8227908900481649
2,smooth muscle WBbt:0005781,40.19841897233202,66.0,1.64185561739,0.001116788005942261,1.641855617391988
3,sperm WBbt:0006798,8.763636363636364,53.0,6.04771784232,8.579894067428468e-30,6.047717842323651
4,muscle cell WBbt:0003675,131.45454545454544,164.0,1.24757952974,0.016363069115237397,1.2475795297372063
5,muscle of the reproductive system WBbt:0005786,22.480632411067194,41.0,1.82379210915,0.0033805295317750374,1.8237921091497291
6,egg-laying apparatus WBbt:0008587,133.7407114624506,164.0,1.22625338393,0.03261280078941529,1.2262533839297323
7,reproductive system WBbt:0005747,205.08814229249012,244.0,1.18973236225,0.005565370704720256,1.1897323622543474
8,oocyte WBbt:0006797,13.907509881422925,35.0,2.51662593077,8.31601495000862e-06,2.516625930767919
9,spermatheca WBbt:0005319,51.057707509881425,74.0,1.44934043476,0.016363069115237397,1.4493404347556822
