#dopaminergic-neurons_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,AQR WBbt:0003927,1.2326086956521738,4.0,3.24514991182,0.030623624825956704,3.2451499118165787
1,nervous system WBbt:0005735,111.34565217391305,158.0,1.41900466624,1.0482244979746767e-12,1.4190046662371385
2,glutamatergic neuron WBbt:0006829,4.258102766798419,14.0,3.28784925276,0.00013010442032221155,3.287849252761534
3,R3B WBbt:0008399,1.083201581027668,11.0,10.1550811896,3.4592104708958688e-09,10.155081189563948
4,AVA WBbt:0005842,1.9049407114624508,6.0,3.14970432617,0.014835429418842215,3.149704326174914
5,R6B WBbt:0008402,1.083201581027668,10.0,9.23189199051,3.8995709563673855e-08,9.231891990512679
6,ray 8 WBbt:0006953,1.494071146245059,11.0,7.36243386243,1.324457715808314e-07,7.362433862433863
7,R1B WBbt:0008397,1.1205533596837944,11.0,9.81657848325,5.149682566209464e-09,9.81657848324515
8,RIC WBbt:0006834,1.2699604743083004,4.0,3.14970432617,0.033467709117733765,3.1497043261749145
9,ray 1 WBbt:0006942,1.38201581027668,11.0,7.95938795939,5.6950548728001445e-08,7.959387959387959
10,R8B WBbt:0008404,1.1205533596837944,11.0,9.81657848325,5.149682566209464e-09,9.81657848324515
11,male gonadal cell WBbt:0008209,1.0458498023715415,4.0,3.8246409675,0.017990330397615484,3.8246409674981106
12,R3A WBbt:0008393,0.9337944664031621,9.0,9.6380952381,1.0182760294280511e-07,9.638095238095238
13,outer labial lateral sensillum WBbt:0005503,1.7555335968379446,13.0,7.40515591579,1.2089252875309565e-08,7.4051559157942135
14,ray 2 WBbt:0006945,1.4567193675889327,11.0,7.55121421788,1.0182760294280511e-07,7.551214217880885
15,ASE WBbt:0005663,5.3786561264822135,19.0,3.53248089359,2.447849574509318e-06,3.532480893592005
16,ADF WBbt:0005660,3.0254940711462455,14.0,4.62734339278,1.8980640280878422e-06,4.627343392775491
17,DB neuron WBbt:0005274,2.091699604743083,7.0,3.34656084656,0.006337960639119699,3.3465608465608465
18,ABarpapaa WBbt:0006385,0.9337944664031621,3.0,3.2126984127,0.04788561585145431,3.2126984126984124
19,ABprpapa WBbt:0006259,1.2699604743083004,4.0,3.14970432617,0.033467709117733765,3.1497043261749145
20,H cell WBbt:0008596,0.9337944664031621,3.0,3.2126984127,0.04788561585145431,3.2126984126984124
21,VB neuron WBbt:0005336,1.7555335968379446,5.0,2.84813689069,0.0321856140561406,2.8481368906900824
22,dorsal nerve cord WBbt:0006750,9.786166007905138,25.0,2.55462660043,2.88399546526035e-05,2.5546266004281275
23,ABprpappa WBbt:0006088,1.4193675889328063,4.0,2.81815650237,0.04788561585145431,2.8181565023670285
24,PDE WBbt:0006747,1.6808300395256919,19.0,11.3039388595,9.628450518550549e-16,11.303938859494414
25,odorsensory neuron WBbt:0005839,7.918577075098814,21.0,2.65199161426,7.585603330096012e-05,2.651991614255765
26,SMD WBbt:0005353,1.3446640316205534,4.0,2.9747207525,0.040772540015608906,2.97472075249853
27,nociceptor neuron WBbt:0008434,3.8472332015810276,14.0,3.63897878461,4.0503971339725756e-05,3.6389787846098525
28,postdeirid sensillum WBbt:0005471,1.8302371541501976,19.0,10.3811683404,6.702747514405203e-15,10.381168340352014
29,post-embryonic cell WBbt:0007030,7.806521739130434,22.0,2.81815650237,1.9605301188915753e-05,2.818156502367029
30,ADE WBbt:0005415,1.2326086956521738,13.0,10.5467372134,8.328692299990372e-11,10.546737213403881
31,ray 7 WBbt:0006952,1.5687747035573123,12.0,7.649281935,2.6051216802246215e-08,7.64928193499622
32,phasmid sensillum WBbt:0005425,9.711462450592885,44.0,4.53072853073,2.3435948607012466e-17,4.530728530728531
33,MSappp WBbt:0006125,1.2699604743083004,5.0,3.93713040772,0.00875633278424718,3.937130407718643
34,ABalppap WBbt:0006112,1.3073122529644268,4.0,3.059712774,0.0364541817355265,3.0597127739984886
35,ABpraapa WBbt:0006302,1.4567193675889327,5.0,3.43237009904,0.016298224674606402,3.432370099036766
36,R5B WBbt:0008401,1.1952569169960474,11.0,9.20304232804,1.090927087080449e-08,9.203042328042327
37,CEP WBbt:0005244,1.38201581027668,20.0,14.4716144716,7.042606066202098e-19,14.47161447161447
38,ABplpappp WBbt:0006390,1.4567193675889327,4.0,2.74589607923,0.0498001920944931,2.745896079229413
39,ray 5 WBbt:0006950,1.5314229249011857,12.0,7.83584978707,2.0230007208849988e-08,7.8358497870693
40,dorsal ganglion WBbt:0005214,4.631620553359684,28.0,6.04540023895,1.797032976827851e-14,6.045400238948625
41,RMED WBbt:0005027,1.1205533596837944,4.0,3.569664903,0.02252869116926733,3.5696649029982366
42,lateral nerve cord WBbt:0006769,3.100197628458498,7.0,2.25792057117,0.04452233996098154,2.2579205711735835
43,R1A WBbt:0008391,0.9337944664031621,9.0,9.6380952381,1.0182760294280511e-07,9.638095238095238
44,Cpap WBbt:0006628,1.0458498023715415,4.0,3.8246409675,0.017990330397615484,3.8246409674981106
45,osmosensory neuron WBbt:0008433,3.8472332015810276,14.0,3.63897878461,4.0503971339725756e-05,3.6389787846098525
46,PHA WBbt:0007807,3.249604743083004,15.0,4.61594599526,8.236693865658931e-07,4.6159459952563395
47,ABprpappp WBbt:0005847,1.38201581027668,4.0,2.89432289432,0.04441406557865114,2.8943228943228942
48,R7B WBbt:0008403,1.157905138339921,11.0,9.4999146612,7.289222480245299e-09,9.499914661204983
49,R9A WBbt:0006858,1.0458498023715415,10.0,9.56160241875,2.6051216802246215e-08,9.561602418745276
50,AWA WBbt:0005670,1.718181818181818,5.0,2.91005291005,0.02991139395527064,2.9100529100529102
51,R2B WBbt:0008398,1.1205533596837944,11.0,9.81657848325,5.149682566209464e-09,9.81657848324515
52,MSappa WBbt:0006717,1.2699604743083004,5.0,3.93713040772,0.00875633278424718,3.937130407718643
53,amphid sensillum WBbt:0005391,25.063043478260873,67.0,2.67325873883,2.1266126835771857e-14,2.673258738832509
54,FLP WBbt:0006828,1.3073122529644268,7.0,5.3544973545,0.00023039942182979579,5.354497354497355
55,retrovesicular ganglion neuron WBbt:0005403,3.660474308300395,8.0,2.18550912428,0.04111370943693686,2.1855091242846347
56,Caapa WBbt:0006123,1.4193675889328063,4.0,2.81815650237,0.04788561585145431,2.8181565023670285
57,pharyngeal interneuron WBbt:0003668,2.539920948616601,7.0,2.7559912854,0.018359592732453803,2.75599128540305
58,ABprpppa WBbt:0005943,1.2326086956521738,4.0,3.24514991182,0.030623624825956704,3.2451499118165787
59,OLL WBbt:0006847,1.5314229249011857,13.0,8.48883726933,2.253641984210475e-09,8.488837269325074
60,copulatory spicule WBbt:0005312,1.5687747035573123,6.0,3.8246409675,0.005198578751747412,3.82464096749811
61,R4A WBbt:0008394,0.9711462450592885,9.0,9.2673992674,1.4534677111347515e-07,9.267399267399268
62,anterior deirid sensillum WBbt:0006927,1.494071146245059,14.0,9.37037037037,1.1041100293866087e-10,9.370370370370372
63,lateral ganglion WBbt:0005105,18.974703557312253,46.0,2.4242802983,2.3724576409521176e-08,2.4242802982960465
64,AUA WBbt:0006817,1.2326086956521738,5.0,4.05643738977,0.007526001559231269,4.056437389770723
65,ABarapaa WBbt:0006515,1.38201581027668,4.0,2.89432289432,0.04441406557865114,2.8943228943228942
66,IL2 neuron WBbt:0005118,1.6061264822134387,11.0,6.84877568598,2.9218064042728334e-07,6.848775685984989
67,R2A WBbt:0008392,1.008498023715415,9.0,8.9241622575,2.123806228057597e-07,8.92416225749559
68,ABalpppaa WBbt:0006400,0.9711462450592885,4.0,4.11884411884,0.013755518700855354,4.118844118844119
69,RMD WBbt:0005400,1.3446640316205534,4.0,2.9747207525,0.040772540015608906,2.97472075249853
70,SIA WBbt:0005361,1.008498023715415,6.0,5.949441505,0.0002928682207299839,5.94944150499706
71,OLQ WBbt:0006848,1.3073122529644268,14.0,10.708994709,1.1745650635317235e-11,10.70899470899471
72,ASI WBbt:0005666,5.191897233201582,11.0,2.11868600358,0.02567172581062064,2.1186860035780897
73,posterior lateral ganglion WBbt:0005465,6.349802371541502,30.0,4.72455648926,1.899608763066944e-12,4.724556489262372
