,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,SMDDR(WBbt:0004971),2.5802371541501974,7.0,2.71292892157,0.012574312988806484,2.712928921568628
1,amphid left sensillum(WBbt:0005395),35.236363636363635,58.0,1.64602683179,0.0004960232333848191,1.6460268317853457
2,anterior deirid sensillum(WBbt:0006927),3.2252964426877466,17.0,5.27083333333,1.7885964552069672e-08,5.270833333333334
3,ALML(WBbt:0003954),7.337549407114625,16.0,2.18056453351,0.004243976572271975,2.18056453350571
4,pharyngeal segment(WBbt:0005789),22.33517786561265,34.0,1.52226233454,0.017385048418670238,1.5222623345367026
5,pharyngeal nervous system(WBbt:0005440),21.125691699604744,37.0,1.75142194282,0.0022445533977544763,1.7514219428229307
6,DD neuron(WBbt:0005270),4.999209486166008,12.0,2.40037950664,0.0052421888525956105,2.400379506641366
7,PDER(WBbt:0004382),3.628458498023716,18.0,4.96078431373,1.8789992397060828e-08,4.9607843137254894
8,interneuron(WBbt:0005113),42.57391304347826,79.0,1.85559640523,1.6877431876800598e-07,1.8555964052287583
9,PDE(WBbt:0006747),3.628458498023716,18.0,4.96078431373,1.8789992397060828e-08,4.9607843137254894
10,R7B(WBbt:0008403),2.499604743083004,8.0,3.20050600886,0.0036164200472211003,3.2005060088551547
11,PHBL(WBbt:0004364),7.01501976284585,17.0,2.42337164751,0.0016293795570316949,2.4233716475095783
12,PHA(WBbt:0007807),7.01501976284585,18.0,2.56592292089,0.0006292339503637475,2.5659229208924947
13,phasmid left sensillum(WBbt:0005431),9.595256916996048,20.0,2.08436315703,0.003432956662348945,2.084363157027517
14,MSpaaa(WBbt:0005933),2.0964426877470355,5.0,2.38499245852,0.04950358650866903,2.3849924585218703
15,ASHR(WBbt:0003889),8.224505928853755,18.0,2.18858131488,0.003432956662348945,2.1885813148788924
16,ALMR(WBbt:0003953),7.256916996047432,16.0,2.20479302832,0.004186792653901896,2.20479302832244
17,OLQ(WBbt:0006848),2.822134387351779,13.0,4.60644257703,4.509981009015593e-06,4.606442577030812
18,ray neuron type A(WBbt:0006972),2.741501976284585,10.0,3.6476355248,0.0006132518216591023,3.6476355247981544
19,lateral ganglion right neuron(WBbt:0005100),38.86482213438735,68.0,1.74965421853,1.3849242442681017e-05,1.7496542185338866
20,AIYR(WBbt:0003961),6.1280632411067195,16.0,2.61093911249,0.0009962794006577566,2.6109391124871
21,BDU(WBbt:0006826),2.983399209486166,9.0,3.01669316375,0.003470376945669197,3.016693163751987
22,ASK(WBbt:0005668),8.466403162055336,18.0,2.12605042017,0.003944501203582247,2.1260504201680672
23,retrovesicular ganglion neuron(WBbt:0005403),7.90197628458498,21.0,2.65756302521,0.00011302514326280559,2.6575630252100844
24,R5AL(WBbt:0004024),2.0964426877470355,7.0,3.33898944193,0.004186792653901896,3.3389894419306185
25,ventral nerve cord(WBbt:0005829),36.76837944664031,58.0,1.57744238046,0.0013063381178505873,1.5774423804609565
26,AFDL(WBbt:0003993),4.434782608695652,10.0,2.25490196078,0.015001039071707514,2.2549019607843137
27,R9AR(WBbt:0003970),2.2577075098814228,8.0,3.54341736695,0.002311360998783368,3.543417366946779
28,cholinergic neuron(WBbt:0006840),27.41501976284585,52.0,1.8967704729,2.1695487469929824e-05,1.8967704728950403
29,R2BL(WBbt:0004040),2.41897233201581,8.0,3.30718954248,0.003432956662348945,3.3071895424836604
30,PVD(WBbt:0006831),5.48300395256917,13.0,2.37096309112,0.004434501963553255,2.3709630911188
31,AWBR(WBbt:0003828),5.886166007905138,12.0,2.03867848509,0.01822369122870986,2.0386784850926674
32,R6BL(WBbt:0004014),2.3383399209486164,8.0,3.42123056119,0.00275206380192344,3.4212305611899936
33,serotonergic neuron(WBbt:0006837),18.787351778656127,37.0,1.96941008163,0.00024915350796033537,1.9694100816292182
34,CEPVL(WBbt:0004933),2.660869565217391,22.0,8.26797385621,1.0480719276366738e-15,8.267973856209151
35,R7AL(WBbt:0004006),2.0964426877470355,7.0,3.33898944193,0.004186792653901896,3.3389894419306185
36,uv1(WBbt:0006791),2.1770750988142296,6.0,2.7559912854,0.017385048418670238,2.7559912854030495
37,R4BR(WBbt:0004027),2.2577075098814228,7.0,3.10049019608,0.005873305676837992,3.1004901960784315
38,ASGR(WBbt:0003891),4.83794466403162,11.0,2.27369281046,0.010520054726445795,2.2736928104575167
39,AQR(WBbt:0003927),2.660869565217391,7.0,2.63071895425,0.015001039071707514,2.6307189542483664
40,R7BR(WBbt:0004000),2.499604743083004,8.0,3.20050600886,0.0036164200472211003,3.2005060088551547
41,R7BL(WBbt:0004001),2.499604743083004,8.0,3.20050600886,0.0036164200472211003,3.2005060088551547
42,glutamatergic neuron(WBbt:0006829),9.192094861660077,20.0,2.17578259374,0.0023793357194552885,2.1757825937392505
43,R9A(WBbt:0006858),2.2577075098814228,8.0,3.54341736695,0.002311360998783368,3.543417366946779
44,ray 1(WBbt:0006942),2.983399209486166,8.0,2.68150503445,0.008934501242367873,2.681505034446211
45,CEPVR(WBbt:0004931),2.741501976284585,22.0,8.02479815456,1.0480719276366738e-15,8.02479815455594
46,lumbar neuron(WBbt:0006802),24.512252964426878,42.0,1.71342879257,0.0016293795570316949,1.7134287925696594
47,FLP(WBbt:0006828),2.822134387351779,7.0,2.48039215686,0.020427700131584972,2.480392156862745
48,uterine-vulval cell(WBbt:0006790),2.499604743083004,7.0,2.80044275775,0.010433609828063796,2.8004427577482605
49,FLPL(WBbt:0004798),2.822134387351779,7.0,2.48039215686,0.020427700131584972,2.480392156862745
50,ASJ(WBbt:0005667),6.611857707509881,14.0,2.11740793879,0.008612451853917263,2.11740793878527
51,GABAergic neuron(WBbt:0005190),12.7399209486166,23.0,1.80534872177,0.007515042383158389,1.805348721767188
52,ASIR(WBbt:0003887),11.207905138339921,22.0,1.96290026802,0.003948627816475545,1.9629002680208774
53,ASKL(WBbt:0003884),8.466403162055336,18.0,2.12605042017,0.003944501203582247,2.1260504201680672
54,R4AL(WBbt:0004030),2.0964426877470355,7.0,3.33898944193,0.004186792653901896,3.3389894419306185
55,ray 9(WBbt:0006954),3.3059288537549407,8.0,2.41989478718,0.017385048418670238,2.419894787183166
56,SMDVL(WBbt:0004970),2.3383399209486164,6.0,2.56592292089,0.023935166952935405,2.565922920892495
57,PQR(WBbt:0004096),4.5154150197628455,11.0,2.43609943978,0.006404118215249678,2.4360994397759104
58,R5B(WBbt:0008401),2.5802371541501974,8.0,3.10049019608,0.004186792653901896,3.1004901960784315
59,AVM(WBbt:0003832),5.805533596837944,11.0,1.89474400871,0.03846817506891533,1.8947440087145972
60,OLL(WBbt:0006847),3.3059288537549407,11.0,3.32735533238,0.0007357377820096281,3.327355332376853
61,embryonic cell(WBbt:0007028),76.27826086956522,112.0,1.46830825353,3.656008295067379e-05,1.4683082535339718
62,AFD(WBbt:0005662),4.434782608695652,10.0,2.25490196078,0.015001039071707514,2.2549019607843137
63,ray 5(WBbt:0006950),3.3059288537549407,9.0,2.72238163558,0.005772839322040569,2.7223816355810615
64,R3B(WBbt:0008399),2.3383399209486164,6.0,2.56592292089,0.023935166952935405,2.565922920892495
65,dorsal ganglion(WBbt:0005214),9.998418972332017,32.0,3.20050600886,1.7885964552069672e-08,3.2005060088551547
66,vulval muscle(WBbt:0005821),52.652964426877475,67.0,1.27248295949,0.04262585423326465,1.2724829594931386
67,outer labial lateral sensillum(WBbt:0005503),3.7897233201581026,11.0,2.90258656654,0.002381066268823001,2.9025865665415105
68,IL1 neuron(WBbt:0005119),2.902766798418972,8.0,2.7559912854,0.007687023838930228,2.7559912854030504
69,R2AL(WBbt:0004042),2.1770750988142296,7.0,3.2153231663,0.004772190318469134,3.215323166303558
70,nerve ring neuron(WBbt:0006974),33.865612648221344,65.0,1.91935107376,1.0010883931691389e-06,1.9193510737628385
71,AWBL(WBbt:0003829),5.966798418972332,12.0,2.01112877583,0.020427700131584972,2.011128775834658
72,FLPR(WBbt:0004797),2.822134387351779,7.0,2.48039215686,0.020427700131584972,2.480392156862745
73,R9BL(WBbt:0003968),2.3383399209486164,7.0,2.99357674104,0.00720014292166522,2.9935767410412444
74,R4A(WBbt:0008394),2.0964426877470355,7.0,3.33898944193,0.004186792653901896,3.3389894419306185
75,ADFR(WBbt:0003999),6.289328063241107,13.0,2.06699346405,0.013287244498381291,2.0669934640522873
76,tail(WBbt:0005741),134.9786561264822,182.0,1.3483613278,3.996753902389016e-06,1.3483613278047182
77,ray 6(WBbt:0006951),2.902766798418972,8.0,2.7559912854,0.007687023838930228,2.7559912854030504
78,ASG(WBbt:0005664),4.918577075098814,11.0,2.23641915783,0.012023224186819515,2.2364191578270654
79,lateral ganglion(WBbt:0005105),40.96126482213439,71.0,1.73334491277,1.155250701903788e-05,1.7333449127682568
80,R4BL(WBbt:0004028),2.2577075098814228,7.0,3.10049019608,0.005873305676837992,3.1004901960784315
81,ADFL(WBbt:0004003),6.531225296442688,13.0,1.99043815057,0.017724739772103103,1.9904381505688693
82,ASHL(WBbt:0003890),8.30513833992095,18.0,2.1673329526,0.0034629109024364225,2.1673329525985148
83,ray 8(WBbt:0006953),3.2252964426877466,7.0,2.17034313725,0.04262585423326465,2.170343137254902
84,lateral ganglion left neuron(WBbt:0005102),38.945454545454545,68.0,1.74603174603,1.4589335485716265e-05,1.746031746031746
85,OLLL(WBbt:0004445),3.1446640316205534,11.0,3.49798893917,0.0004960232333848191,3.4979889391654098
86,pharyngeal neuron(WBbt:0005439),21.04505928853755,36.0,1.71061528059,0.003432956662348945,1.7106152805949966
87,R3BR(WBbt:0004033),2.3383399209486164,6.0,2.56592292089,0.023935166952935405,2.565922920892495
88,metacorpus(WBbt:0003711),13.304347826086957,24.0,1.80392156863,0.006577769847477463,1.803921568627451
89,AWB(WBbt:0005671),5.966798418972332,12.0,2.01112877583,0.020427700131584972,2.011128775834658
90,R8BL(WBbt:0003990),2.41897233201581,7.0,2.89379084967,0.008612451853917263,2.893790849673203
91,CAN(WBbt:0006827),5.966798418972332,16.0,2.68150503445,0.0007341999548122933,2.681505034446211
92,PVDR(WBbt:0004088),5.48300395256917,13.0,2.37096309112,0.004434501963553255,2.3709630911188
93,AVG(WBbt:0003850),2.3383399209486164,7.0,2.99357674104,0.00720014292166522,2.9935767410412444
94,lumbar right ganglion neuron(WBbt:0005600),24.270355731225294,42.0,1.73050615595,0.0013148426965150885,1.7305061559507526
95,SMDDL(WBbt:0004972),2.741501976284585,7.0,2.55334486736,0.01739780486183028,2.553344867358708
96,ADLR(WBbt:0003995),8.466403162055336,18.0,2.12605042017,0.003944501203582247,2.1260504201680672
97,ventral ganglion (post)(WBbt:0005264),10.482213438735178,27.0,2.5757918552,1.711392325805724e-05,2.57579185520362
98,posterior lateral left ganglion(WBbt:0005464),13.626877470355732,36.0,2.64183780021,2.9596970107281497e-07,2.6418378002088407
99,AVA(WBbt:0005842),4.112252964426878,9.0,2.18858131488,0.023330490973923913,2.1885813148788924
