,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,ABarpppaa(WBbt:0006041),6.443478260869565,13.0,2.01754385965,0.005735486513175057,2.017543859649123
1,uterine seam cell(WBbt:0006789),8.200790513833994,13.0,1.58521303258,0.04133402412090277,1.5852130325814533
2,SMDDR(WBbt:0004971),6.248221343873518,13.0,2.08059210526,0.004481059852207067,2.080592105263158
3,P2(WBbt:0006771),6.443478260869565,15.0,2.32793522267,0.0009886056220812579,2.327935222672065
4,ALML(WBbt:0003954),17.768379446640317,35.0,1.96979134226,0.00010076360155408278,1.9697913422609779
5,ABprappa(WBbt:0006269),7.419762845849802,15.0,2.02162795653,0.003673102558175423,2.021627956531004
6,ABplpapap(WBbt:0006177),5.857707509881423,14.0,2.39001349528,0.000998036425522808,2.390013495276653
7,somatic gonad(WBbt:0005785),94.50434782608696,125.0,1.32269046743,0.0009158810259816965,1.3226904674273094
8,PLM(WBbt:0005490),17.57312252964427,34.0,1.93477282951,0.0001686216863197159,1.9347728295096716
9,ABplaapaa(WBbt:0005866),7.029249011857707,14.0,1.99167791273,0.005283308851913326,1.9916779127305444
10,ABaraaapp(WBbt:0006189),5.857707509881423,13.0,2.21929824561,0.0025434021008170333,2.219298245614035
11,DD neuron(WBbt:0005270),12.105928853754941,21.0,1.73468721431,0.005997053764366907,1.7346872143136998
12,FLPR(WBbt:0004797),6.83399209486166,19.0,2.78021978022,1.894221240050882e-05,2.78021978021978
13,ABprpappa(WBbt:0006088),7.419762845849802,17.0,2.29117835074,0.0007141756622209128,2.2911783507351373
14,ABplpaaaa(WBbt:0006099),5.857707509881423,15.0,2.56072874494,0.0003648485453928497,2.5607287449392713
15,ABarpppa(WBbt:0006689),5.662450592885375,10.0,1.7660198241,0.029082022680183738,1.7660198240960492
16,interneuron(WBbt:0005113),103.09565217391304,148.0,1.43556005398,6.217433181810015e-06,1.4355600539811066
17,ABprapppp(WBbt:0006056),5.271936758893281,12.0,2.27620332883,0.0026563492145741936,2.2762033288349075
18,ABprapapp(WBbt:0006290),6.83399209486166,16.0,2.34123770966,0.0007303149434305431,2.3412377096587624
19,digestive tract(WBbt:0005743),599.8292490118578,666.0,1.11031597925,1.3773804430336923e-05,1.110315979251012
20,ABprpaapp(WBbt:0006605),6.0529644268774705,13.0,2.14770797963,0.0033898465044650047,2.1477079796264857
21,ABaraapa(WBbt:0005853),7.029249011857707,14.0,1.99167791273,0.005283308851913326,1.9916779127305444
22,ABprppapp(WBbt:0005929),5.662450592885375,13.0,2.29582577132,0.0019855087710924694,2.295825771324864
23,hermaphrodite-specific(WBbt:0005758),370.0118577075099,449.0,1.21347462425,1.7079154220353735e-07,1.2134746242509054
24,gonadal sheath cell(WBbt:0005828),41.19920948616601,53.0,1.28643245006,0.029082022680183738,1.2864324500642783
25,ABprpaapa(WBbt:0006047),6.443478260869565,14.0,2.17273954116,0.002405227043741409,2.172739541160594
