,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,excretory cell(WBbt:0005812),13.892490118577074,78.0,5.61454421304,7.939638164207514e-40,5.614544213041994
1,interfacial epithelial cell(WBbt:0005754),11.10711462450593,24.0,2.16077719654,0.006312679394360471,2.160777196541048
2,rectal valve cell(WBbt:0005797),1.4442687747035574,7.0,4.84674329502,0.0055361674680102875,4.846743295019157
3,amphid sheath cell(WBbt:0006754),1.1003952569169961,7.0,6.36135057471,0.0009934221494126657,6.3613505747126435
4,accessory cell(WBbt:0005762),5.226877470355731,15.0,2.86978221416,0.0047681667418676835,2.86978221415608
5,excretory system(WBbt:0005736),15.474308300395258,80.0,5.16985951469,1.748138084748273e-38,5.169859514687101
6,extracellular component(WBbt:0005732),5.2956521739130435,30.0,5.66502463054,4.499774014881814e-14,5.665024630541872
7,neuronal sheath cell(WBbt:0005811),2.6478260869565218,11.0,4.15435139573,0.0009934221494126657,4.154351395730706
8,socket cell(WBbt:0005750),2.9573122529644267,9.0,3.04330392943,0.03776869249203205,3.0433039294306337
9,rectal gland cell(WBbt:0005799),8.906324110671937,20.0,2.24559534904,0.011537908104103213,2.245595349043625
10,rectum(WBbt:0005773),18.01897233201581,43.0,2.38637360709,1.1463564827781552e-06,2.386373607089585
11,excretory canal(WBbt:0005775),2.888537549407115,27.0,9.34729064039,8.057349040306097e-19,9.347290640394087
