#germline-precursors_embryo_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,germ cell WBbt:0006796,12.40909090909091,26.0,2.09523809524,0.003690641826902803,2.095238095238095
1,epithelial system WBbt:0005730,89.77707509881422,116.0,1.29208932094,0.009715058674349063,1.292089320935475
2,hyp7 syncytium WBbt:0005734,7.931027667984189,17.0,2.14348010266,0.026325506755288414,2.1434801026637764
3,ABa WBbt:0005906,1.5106719367588932,8.0,5.29565672423,0.0006332140108403188,5.295656724228153
4,AB WBbt:0004015,1.7804347826086955,10.0,5.61660561661,8.251977420590438e-05,5.616605616605617
5,Z3 WBbt:0004575,2.4818181818181815,14.0,5.64102564103,3.9383424090437815e-06,5.641025641025641
6,Psub4 WBbt:0004421,1.348814229249012,8.0,5.93113553114,0.00028830931677819075,5.9311355311355305
7,Psub1 WBbt:0006874,1.7264822134387352,9.0,5.21291208791,0.00030360840134504923,5.212912087912088
8,EMS WBbt:0006876,1.5106719367588932,6.0,3.97174254317,0.01952428071965227,3.9717425431711146
9,Psub2 WBbt:0006873,1.5646245059288537,8.0,5.11304787167,0.0006332140108403188,5.113047871668561
10,somatic blastomere WBbt:0008447,2.589723320158103,12.0,4.6336996337,9.284048880370797e-05,4.633699633699633
11,ABp WBbt:0005994,1.5106719367588932,8.0,5.29565672423,0.0006332140108403188,5.295656724228153
12,Z2 WBbt:0004576,2.4818181818181815,14.0,5.64102564103,3.9383424090437815e-06,5.641025641025641
13,oocyte WBbt:0006797,7.877075098814229,17.0,2.15816147323,0.025778511147162713,2.1581614732299665
14,P0 WBbt:0004422,1.5106719367588932,8.0,5.29565672423,0.0006332140108403188,5.295656724228153
15,reproductive system WBbt:0005747,116.1598814229249,156.0,1.34297657753,4.0910792561176966e-05,1.3429765775330105
16,Psub3 WBbt:0006875,1.5106719367588932,8.0,5.29565672423,0.0006332140108403188,5.295656724228153
