#pharyngeal_enriched_
,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,MSpapaa WBbt:0006351,0.6782608695652174,3.0,4.42307692308,0.03382403274386888,4.423076923076923
1,ABalaaaa WBbt:0006427,1.017391304347826,5.0,4.91452991453,0.008639603666303567,4.914529914529915
2,ABpraaaa WBbt:0006442,1.017391304347826,5.0,4.91452991453,0.008639603666303567,4.914529914529915
3,ABaraapp WBbt:0006153,0.9652173913043479,5.0,5.18018018018,0.00782190122377702,5.18018018018018
4,blast cell WBbt:0006783,7.252173913043478,15.0,2.06834532374,0.022300174285789686,2.068345323741007
5,ABprappp WBbt:0006702,1.1217391304347826,4.0,3.56589147287,0.03682300085777617,3.565891472868217
6,ABplpaaaa WBbt:0006099,0.7826086956521738,3.0,3.83333333333,0.04618469934949098,3.833333333333334
7,MSpppp WBbt:0006409,0.8608695652173912,4.0,4.64646464646,0.018815532482818458,4.646464646464647
8,syncytium precursor WBbt:0008073,2.5304347826086957,9.0,3.55670103093,0.00507234949315655,3.556701030927835
9,pm6 WBbt:0003724,1.1478260869565218,7.0,6.09848484848,0.0005736480378114767,6.098484848484849
10,ABarpaaa WBbt:0006398,1.173913043478261,4.0,3.40740740741,0.04063243633454028,3.407407407407407
11,ABalpapa WBbt:0006573,1.0434782608695652,5.0,4.79166666667,0.009286037889596293,4.791666666666667
12,ABprpappa WBbt:0006088,0.991304347826087,4.0,4.0350877193,0.025098050189600016,4.035087719298246
13,pharyngeal muscle cell WBbt:0005451,9.939130434782609,30.0,3.01837270341,1.4473892331218689e-06,3.0183727034120733
14,alimentary system WBbt:0005748,82.04347826086956,105.0,1.27980922099,0.000281836834018608,1.2798092209856917
15,ABprpaapa WBbt:0006047,0.8608695652173912,5.0,5.80808080808,0.004914275650588338,5.808080808080809
16,ABpraapa WBbt:0006302,1.017391304347826,4.0,3.93162393162,0.027286476722499477,3.931623931623932
17,ABplpaaa WBbt:0006315,0.9391304347826086,4.0,4.25925925926,0.022300174285789686,4.2592592592592595
18,MSpapap WBbt:0005968,0.808695652173913,4.0,4.94623655914,0.01594272091541625,4.946236559139785
19,g2 WBbt:0003710,0.6782608695652174,6.0,8.84615384615,0.00023312773833714318,8.846153846153847
20,ABalaapp WBbt:0006553,0.8608695652173912,4.0,4.64646464646,0.018815532482818458,4.646464646464647
