,Tissue,Expected,Observed,Fold Change,Q value,Enrichment Fold Change
0,hermaphrodite-specific(WBbt:0005758),183.13339920948616,240.0,1.31052009648,8.259301180071209e-07,1.3105200964760348
1,muscular system(WBbt:0005737),178.68794466403162,346.0,1.93633655953,3.674597583167936e-57,1.9363365595286681
2,muscle of the reproductive system(WBbt:0005786),22.807114624505928,40.0,1.75383868843,0.006116640939758193,1.7538386884336765
3,uterine muscle(WBbt:0005342),12.756521739130434,36.0,2.82208588957,6.781650696551249e-08,2.8220858895705523
4,anal sphincter muscle(WBbt:0005798),12.466600790513834,49.0,3.93050205292,2.461089736953424e-17,3.930502052916092
5,anal depressor muscle(WBbt:0004292),41.651976284584975,119.0,2.85700729269,4.48099690656502e-28,2.857007292689755
6,body wall musculature(WBbt:0005813),120.12391304347825,302.0,2.51407061549,1.4915714468665671e-74,2.514070615487631
7,non-striated muscle(WBbt:0005780),120.99367588932806,231.0,1.90919069366,1.8172307455075677e-28,1.909190693663145
8,vulval muscle(WBbt:0005821),63.10612648221344,158.0,2.50371887497,6.212839577168384e-31,2.503718874973772
9,body muscle cell(WBbt:0007810),91.51837944664032,191.0,2.0870124794,2.388581971785552e-27,2.08701247940434
10,head muscle(WBbt:0006761),17.105335968379446,32.0,1.87076126766,0.006807112667963394,1.8707612676625882
11,pharyngeal muscle cell(WBbt:0005451),36.819960474308296,69.0,1.87398354347,2.0694713620400426e-06,1.8739835434681096
12,intestinal muscle(WBbt:0005796),19.231422924901185,47.0,2.44391692614,6.606485586494725e-08,2.4439169261440123
13,smooth muscle(WBbt:0005781),40.78221343873518,93.0,2.28040589655,3.6917406027401496e-14,2.280405896548716
